before,chai_khrong,after,type,length
BPBPPB,BPBPBPBP,PBPPPP,ชายโครงแท้,8
BBBPPP,PBPBPBP,PBBBBB,ชายโครงแท้,7
BBBBPB,BPBPBPB,BBPPPP,ชายโครงแท้,7
BBBBPB,BPBPBP,PPPBPB,ชายโครงแท้,6
BPBPPP,PBPBPB,BBBBBB,ชายโครงแท้,6
BPBBBB,BPBPBP,PPBBPB,ชายโครงแท้,6
PPPPPB,BPBPBPBP,PBPBBP,ชายโครงแท้,8
PPPPBB,BPBPBPBPBPB,BPBPBB,ชายโครงแท้,11
BPBP,PBPBPBP,PPPBBB,ชายโครงแท้,7
BPBBBP,PBPBPBP,PBPBPP,ชายโครงแท้,7
BBPPBP,PBPBPB,BBBPPB,ชายโครงแท้,6
BPPBPB,BPBPBP,PBP,ชายโครงแท้,6
BPBBBB,BPBPBP,PPPPPB,ชายโครงแท้,6
PBBPPP,PBPBPBPBPB,,ชายโครงแท้,10
PBPPPP,PBPBPBPBP,PPPPBP,ชายโครงแท้,9
PPBBPB,BPBPBPBPB,BBPPBB,ชายโครงแท้,9
PBPPBB,BPBPBP,PBPBPP,ชายโครงแท้,6
PP,PBPBPB,BPBBPP,ชายโครงแท้,6
PBPPPP,PBPBPB,BPBBPB,ชายโครงแท้,6
BPBPPB,BPBPBPB,BPBBBP,ชายโครงแท้,7
PBBBPP,PBPBPBP,PPBBP,ชายโครงแท้,7
BBPBBB,BPBPBPB,BBBBPP,ชายโครงแท้,7
BBPBPB,BPBPBP,PBBPPB,ชายโครงแท้,6
PPBPBB,BPBPBPBP,PPBBBP,ชายโครงแท้,8
PPPBPB,BPBPBP,PBPBBP,ชายโครงแท้,6
PBBBBP,PBPBPB,BPBBPB,ชายโครงแท้,6
PPBBBB,BPBPBPB,BPPPPP,ชายโครงแท้,7
BBBPPP,PBPBPB,BBPBPB,ชายโครงแท้,6
BPBPBB,BPBPBPB,BBPBBB,ชายโครงแท้,7
PBPBPP,PBPBPB,BPPBPB,ชายโครงแท้,6
PBBPPB,BPBPBPBP,PPBPPP,ชายโครงแท้,8
PPBPPP,PBPBPB,BBPBBB,ชายโครงแท้,6
BBBBBP,PBPBPB,BPBPBB,ชายโครงแท้,6
PBBPPP,PBPBPBP,PPPPBB,ชายโครงแท้,7
BBPBPB,BPBPBPBPBPBP,PBBPPB,ชายโครงแท้,12
BPBPPP,PBPBPBPBPBPB,BBBPP,ชายโครงแท้,12
BBBPBP,PBPBPB,BBPPBB,ชายโครงแท้,6
PPBPBP,PBPBPB,BPPBPB,ชายโครงแท้,6
BPPPPP,PBPBPB,BPBBPP,ชายโครงแท้,6
BBBBPB,BPBPBP,PBBPPP,ชายโครงแท้,6
PBBPBP,PBPBPBPBP,PBPPBB,ชายโครงแท้,9
BPBBPB,BPBPBPBPB,BBBPPB,ชายโครงแท้,9
BBPBBP,PBPBPBPB,BBPPPB,ชายโครงแท้,8
BBPPPP,PBPBPB,BBPBBB,ชายโครงแท้,6
BBPBBB,BPBPBPB,BBBPBB,ชายโครงแท้,7
PPBP,PBPBPB,BPBBBB,ชายโครงแท้,6
PBBBPB,BPBPBPB,BPPPPP,ชายโครงแท้,7
BBBBBP,PBPBPB,BBBBBP,ชายโครงแท้,6
BPPBBB,BPBPBP,PPPPBB,ชายโครงแท้,6
BBPBPP,PBPBPB,,ชายโครงแท้,6
PPBPBB,BPBPBP,PBBPPP,ชายโครงแท้,6
BPBPPP,PBPBPB,BPBBBB,ชายโครงแท้,6
PPPPPP,PBPBPBP,P,ชายโครงแท้,7
BBP,PBPBPBPB,BBBPBB,ชายโครงแท้,8
BPPPPB,BPBPBPBPB,BPBBPB,ชายโครงแท้,9
BBBBB,BPBPBP,PBPBBP,ชายโครงแท้,6
BBBPPB,BPBPBP,PBBBBP,ชายโครงแท้,6
PBPPBP,PBPBPBPB,BPPBBP,ชายโครงแท้,8
PPBBPB,BPBPBP,PBPPBB,ชายโครงแท้,6
BBBPP,PBPBPB,BPBBBB,ชายโครงแท้,6
BPBBPP,PBPBPBPB,BBBBPP,ชายโครงแท้,8
BPPPBB,BPBPBPB,BPPBPP,ชายโครงแท้,7
BBBBB,BPBPBP,PBBBPP,ชายโครงแท้,6
BPBBPB,BPBPBPB,BPBBBB,ชายโครงแท้,7
PBPPBB,BPBPBPBPBPBP,PPBPPP,ชายโครงแท้,12
PPBBBP,PBPBPB,BPBBBB,ชายโครงแท้,6
BPBPPB,BPBPBP,PBBPPP,ชายโครงแท้,6
PBBPBP,PBPBPBP,PBBBPP,ชายโครงแท้,7
BBBBPP,PBPBPBPBP,PBBPBB,ชายโครงแท้,9
BBPBBB,BPBPBP,PPBPPP,ชายโครงแท้,6
PPPBPP,PBPBPBPB,BPPBPB,ชายโครงแท้,8
PBBBBP,PBPBPBPB,BBBBBB,ชายโครงแท้,8
BBBBBP,PBPBPB,BBBBPB,ชายโครงแท้,6
BBBPPP,PBPBPB,BBPPBP,ชายโครงแท้,6
BPBBPP,PBPBPB,BBBPPB,ชายโครงแท้,6
BBBBBP,PBPBPBPB,BBBBPB,ชายโครงแท้,8
BPBBBP,PBPBPB,B,ชายโครงแท้,6
BBBPPP,PBPBPB,BPPBPP,ชายโครงแท้,6
BBBBPP,PBPBPBP,PPBPPB,ชายโครงแท้,7
PBBPPB,BPBPBPB,BPPBPB,ชายโครงแท้,7
BPPPPP,PBPBPB,BB,ชายโครงแท้,6
PBBBBP,PBPBPB,BPBBBB,ชายโครงแท้,6
PPPPBB,BPBPBPB,BBBBBP,ชายโครงแท้,7
BBPBBB,BPBPBP,PBBPBB,ชายโครงแท้,6
BPBBBB,BPBPBP,PBBBBB,ชายโครงแท้,6
,BPBPBP,PBPPPP,ชายโครงแท้,6
BBBBPP,PBPBPB,BBPBBP,ชายโครงแท้,6
BBBBBB,BPBPBP,PPBPPB,ชายโครงแท้,6
PBPPBB,BPBPBP,PPBPPP,ชายโครงแท้,6
PBPPPP,PBPBPBP,PPBPPB,ชายโครงแท้,7
PPBPPP,PBPBPB,BPPBBB,ชายโครงแท้,6
PBPPPP,PBPBPB,BBPPBB,ชายโครงแท้,6
PPPBPP,PBPBPBP,PBBBPP,ชายโครงแท้,7
BPP,PBPBPBP,PBBPPB,ชายโครงแท้,7
BBPPPB,BPBPBP,PBBBBP,ชายโครงแท้,6
PPPBPP,PBPBPB,BPBBBB,ชายโครงแท้,6
BBBBPB,BPBPBP,PPBBBB,ชายโครงแท้,6
PPPBBB,BPBPBP,PPBBPB,ชายโครงแท้,6
PBBBBB,BPBPBPBP,PPPPBB,ชายโครงแท้,8
,BPBPBPBPB,BPPBBP,ชายโครงแท้,9
PPBBBB,BPBPBP,PBBBBB,ชายโครงแท้,6
PPBBBB,BPBPBP,PPPPBB,ชายโครงแท้,6
BPPPPB,BPBPBP,PPPBBP,ชายโครงแท้,6
BPBBB,BPBPBP,PBBBBP,ชายโครงแท้,6
BBBBBP,PBPBPB,BPBBBB,ชายโครงแท้,6
BBBBBP,PBPBPBP,PPPPPP,ชายโครงแท้,7
,PBPBPBPBP,PPPBBP,ชายโครงแท้,9
BPBPPB,BPBPBPBP,PPBPBP,ชายโครงแท้,8
PPBBPP,PBPBPBPB,BPBBBB,ชายโครงแท้,8
BBBPBB,BPBPBP,PPPBBP,ชายโครงแท้,6
BPBPP,PBPBPB,BPPPPB,ชายโครงแท้,6
BBPBBP,PBPBPBP,PBBBBP,ชายโครงแท้,7
,BPBPBP,PPBBBP,ชายโครงแท้,6
BBBPBB,BPBPBPBP,PBBPBB,ชายโครงแท้,8
BPPPPB,BPBPBP,PPBPPP,ชายโครงแท้,6
BPB,BPBPBPBPBP,PPBPBP,ชายโครงแท้,10
PBPBPP,PBPBPB,BBPBPB,ชายโครงแท้,6
BPBPBB,BPBPBPB,BPBBPP,ชายโครงแท้,7
BPBBBB,BPBPBP,PPBBBB,ชายโครงแท้,6
PBB,BPBPBP,PBBPPP,ชายโครงแท้,6
PPBBPP,PBPBPB,BPPPBP,ชายโครงแท้,6
BPBBPP,PBPBPB,BBPPPB,ชายโครงแท้,6
PPBPBP,PBPBPB,BPPPPB,ชายโครงแท้,6
PPPBPB,BPBPBP,PBPBBP,ชายโครงแท้,6
BPBPPB,BPBPBPBP,PBBP,ชายโครงแท้,8
PBBPB,BPBPBP,PBBPBP,ชายโครงแท้,6
BBPBBP,PBPBPB,BB,ชายโครงแท้,6
BBBBBB,BPBPBPB,BPBBBP,ชายโครงแท้,7
BBPBBB,BPBPBPB,BPPBBP,ชายโครงแท้,7
PPPBPB,BPBPBPB,BPPPPP,ชายโครงแท้,7
