Before,During,After
BPB,PP,BPP
BPB,PP,BPB
BPB,PP,BPB
PBP,BB,PBP
BPB,PP,BPB
PBP,BB,PBB
BBP,BB,PBP
BBP,BB,PBP
PPP,BB,PBB
BBP,BB,PBP
PPP,BB,PBP
PPP,BB,PBP
BBB,PP,BPB
BBP,BB,PBB
BPB,PP,BPB
BBB,PP,BPP
BPB,PP,BPB
PPB,PP,BPP
BBB,BB,PBB
PPB,PP,BPP
BBB,PP,BPP
PPB,PP,B
BPB,PP,BPB
PBP,BB,PBP
BPB,PP,BPB
BPB,PP,BPB
BBB,PP,BPB
BPB,PP,BPB
BPB,PP,B
BBP,BB,PBB
BBP,BB,PBP
PBP,BB,PBP
PPP,BB,PBP
BBP,BB,PBB
BBP,BB,PBP
PPP,BB,PBB
PPB,PP,BPB
BBB,PP,BPP
PBP,BB,PBP
BBB,PP,BPB
PBP,BB,PBP
PPB,PP,BPB
PBP,BB,PBP
BPB,PP,BPP
BBP,BB,PBB
BBB,PP,BPB
BBB,PP,BPB
PBP,BB,PBP
BPB,PP,BP
BBP,BB,PBP
PPB,PP,BPB
PBP,BB,PBP
BPB,PP,BPP
PPB,PP,BPB
BBB,PP,BPP
PPB,PP,BPB
BBP,BB,PBP
BBP,BB,PBB
PPB,PP,BPP
PBP,BB,PBP
BBB,PP,BPP
BPB,PP,BPB
PBP,BB,PBB
BPB,PP,BPP
PPB,PP,BPP
PPB,PP,BPP
PPP,PP,BPP
BBB,PP,BPP
PPB,PP,BP
PBP,BB,PBB
BBP,BB,PBP
PBP,BB,PBB
PPP,BB,P
BPB,PP,BPB
PPP,BB,PBB
PBP,BB,PBP
BBB,PP,BPP
PPP,BB,PBP
PBP,BB,P
PBP,BB,PBP
BPB,PP,BPB
BBB,PP,BPB
PBP,BB,PBB
BBP,BB,PBP
BPB,PP,BPP
PPP,BB,PBP
PBP,BB,PBP
BPB,PP,B
,PP,BPP
BPB,PP,BPP
PPB,PP,BPP
PPB,PP,BPB
PPP,BB,PBB
BBP,BB,PB
PPP,BB,PBB
BBP,BB,PBP
BBP,BB,PBP
BBB,PP,BPP
BBB,PP,BPB
BBP,BB,PBB
BBP,BB,PBB
PPB,PP,BPP
PPB,PP,BPP
PPP,BB,PBB
BBP,BB,PBB
PPB,PP,B
BBB,PP,BPB
PBP,BB,PBP
PPP,BB,PBB
BPB,PP,BPP
BBP,BB,PBB
PBP,BB,PBP
BPB,PP,BPB
BBB,PP,BPP
PBP,BB,PBB
PPP,PP,BPB
,PP,BPB
BPB,PP,BPB
PPB,PP,BPP
BPB,PP,BPB
PBP,BB,PBB
,PP,BPP
PBP,BB,PBB
BBP,BB,PBB
,PP,BPP
BBP,BB,PBP
PPP,BB,PBB
BBB,PP,BPB
BBP,BB,PBP
BPB,PP,BPB
BPB,PP,BPP
PBP,BB,PBB
BBP,BB,PBP
PBP,BB,PBP
PBP,BB,PBP
BPB,PP,BPP
PPP,BB,PBB
BBP,BB,PBB
BBP,BB,PBB
BBP,BB,PBB
BBP,BB,PBP
PPB,PP,BP
PPP,PP,BPB
BPB,PP,BPB
PPP,BB,PBB
BBP,BB,PBP
BPB,PP,BPB
PBP,BB,P
PBP,BB,PBB
,PP,BPB
PBP,BB,PBB
BBP,BB,PBB
PPP,BB,PBB
BBP,BB,PBB
BBP,BB,PBP
PPB,PP,BPB
PBP,BB,PBP
BBB,PP,BPP
PPB,PP,BPP
,PP,BPP
PPB,PP,BPB
PBP,BB,PBB
BBB,PP,BPP
PPB,PP,BPB
BPB,PP,BPP
PPB,PP,BPB
BBB,PP,BPB
BBP,BB,PBP
PPB,PP,BPP
BBP,BB,PBB
BPB,PP,BPP
BPB,PP,BPB
BBP,BB,PBB
BBB,PP,BPP
BBB,PP,BPB
PBP,BB,PBB
PPP,BB,P
PPB,PP,BPP
PPP,BB,PBB
PBP,BB,PBB
BBP,BB,PBP
BBP,BB,PBB
BBP,BB,PBB
BBP,BB,PBB
BBB,PP,BPB
BBB,PP,BPB
BPB,PP,BPB
PPB,PP,BPP
PPB,PP,BPP
BBP,BB,P
PPB,PP,BPP
PPB,PP,BPP
PPB,PP,BPB
BBP,BB,PBP
BPB,PP,BPP
PBP,BB,PBB
PBP,BB,PBP
PPB,PP,BPB
PBP,BB,PBB
PPB,PP,BPP
PBP,BB,PBB
BBP,BB,PBP
PBP,BB,PBB
BBP,BB,PBP
BPB,PP,BPB
BPB,PP,BPP
BBB,PP,BPB
PBP,BB,PBB
PPB,PP,BPP
PPB,PP,BPP
PPP,BB,PBP
,PP,BPP
BBB,BB,PBB
PPP,BB,PBB
BBP,BB,PBP
PPP,BB,PBP
BPB,PP,BPB
BBB,PP,BPP
PPP,BB,PBB
BBP,BB,PBB
PPB,PP,BPB
BBP,BB,PBP
BPB,PP,BPP
PPP,BB,PBP
PPP,BB,PBP
,PP,BPP
PBP,BB,PBB
,PP,BPB
PBP,BB,PBB
BBB,PP,BPB
BP,BB,PBP
BBB,PP,BPB
PPP,BB,PBB
BBB,PP,BPB
BBB,PP,BPB
BBP,BB,PBP
BPB,PP,BPB
BBB,PP,BPB
BPB,PP,BPB
PPP,BB,PB
P,BB,PBB
PPP,PP,BPP
BBB,PP,BPB
BBB,PP,BPB
PPP,BB,PBB
BBB,PP,BPB
BBP,BB,PBB
BBP,BB,PBB
PPB,PP,BPP
PPB,PP,BPB
PPP,PP,B
,BB,PBP
PBP,BB,PBB
BBB,PP,BPB
PBP,BB,PBB
PBP,BB,PBP
PBP,BB,PBB
PPP,BB,PBP
PBP,BB,PBP
PBP,BB,P
PPP,BB,P
BBP,BB,PBB
PPB,PP,BPB
BBB,PP,BPP
BPB,PP,BPP
BBB,PP,BPB
BBB,PP,BPP
PPB,PP,BPB
BBP,BB,PBB
BBP,BB,P
BPB,PP,BPP
PPB,PP,BPB
BBB,PP,BPB
BBB,PP,B
,PP,BPP
BBB,PP,BPB
PBP,BB,PBB
BBB,BB,PBP
BBB,PP,BPP
PPB,PP,BPP
PPB,PP,BP
PPP,BB,PBB
BBP,BB,PBB
PPP,BB,PBB
BPB,PP,BPB
PBP,BB,PBB
BBP,BB,PBP
BPB,PP,BPB
PBP,BB,PBB
BBP,BB,PBB
PPB,PP,BPP
,PP,BPB
PBP,BB,PBP
PBP,BB,PBB
BBB,PP,BPB
PPP,BB,PBB
BBB,PP,BPP
PPB,PP,B
BPB,PP,BPB
PBP,BB,P
PPP,BB,PBB
PPP,BB,PBP
BBB,PP,BPB
BBB,PP,BPB
PPP,BB,PBP
BBB,PP,BPP
PBP,BB,PBB
PPB,PP,BPB
PBP,BB,PBP
BBP,BB,PBB
BBB,PP,BPP
PPP,BB,PBB
BBP,BB,PBP
PPP,BB,PBB
PPP,BB,PBP
BPB,PP,BPP
PBP,BB,PBB
BPB,PP,BPB
,BB,PBP
PPP,BB,PBB
PPP,BB,PBP
BBB,PP,BPP
