Game_ID,Before,Pattern,After,Full_Sequence
Game_5,BBBPP,BBPBBP,BPBBB,BBBPPBBPBBPBPBBB
Game_7,BPPBP,BBPBBP,BPPBB,BPPBPBBPBBPBPPBB
Game_8,PBPPP,BBPBBP,BBBPB,PBPPPBBPBBPBBBPB
Game_16,PPPBP,BBPBBP,BPBPP,PPPBPBBPBBPBPBPP
Game_21,PPBBB,PPBPPB,PBPBB,PPBBBPPBPPBPBPBB
Game_21,PBBBP,BBPBBP,BPBP,PBBBPBBPBBPBPBP
Game_25,PBBBB,PPBPPB,PBPBP,PBBBBPPBPPBPBPBP
Game_28,PBPBP,BBPBBP,BPPBB,PBPBPBBPBBPBPPBB
Game_34,PBBBP,BBPBBP,BPBBP,PBBBPBBPBBPBPBBP
Game_36,BPBPB,PPBPPB,PPPPB,BPBPBPPBPPBPPPPB
Game_41,BPBBB,PPBPPB,PPPPP,BPBBBPPBPPBPPPPP
Game_41,PPPPB,PPBPPB,PPPPP,PPPPBPPBPPBPPPPP
Game_44,BPBBB,PPBPPB,PBPPB,BPBBBPPBPPBPBPPB
Game_53,PPPBB,PPBPPB,P,PPPBBPPBPPBP
Game_54,BBPBP,BBPBBP,BPPPP,BBPBPBBPBBPBPPPP
Game_62,BPPPB,PPBPPB,P,BPPPBPPBPPBP
Game_66,BBBBP,BBPBBP,BBBPB,BBBBPBBPBBPBBBPB
Game_67,PBBPP,BBPBBP,BPBPB,PBBPPBBPBBPBPBPB
Game_71,PBBBB,PPBPPB,PBPBB,PBBBBPPBPPBPBPBB
Game_76,PBPBP,BBPBBP,BPPPB,PBPBPBBPBBPBPPPB
Game_85,PPBPP,BBPBBP,BBP,PPBPPBBPBBPBBP
Game_86,BPBPP,BBPBBP,BPBPP,BPBPPBBPBBPBPBPP
Game_87,BPPBB,PPBPPB,PBBBB,BPPBBPPBPPBPBBBB
Game_90,PPBPB,PPBPPB,PPBPP,PPBPBPPBPPBPPBPP
Game_90,PBPPB,PPBPPB,PPBB,PBPPBPPBPPBPPBB
Game_92,PPPPP,BBPBBP,BPPBB,PPPPPBBPBBPBPPBB
Game_101,PPPPP,BBPBBP,BPPPB,PPPPPBBPBBPBPPPB
Game_103,PPPBP,BBPBBP,BPBBB,PPPBPBBPBBPBPBBB
Game_104,PPPPB,PPBPPB,PPBPB,PPPPBPPBPPBPPBPB
Game_104,PBPPB,PPBPPB,PBPPP,PBPPBPPBPPBPBPPP
Game_105,PPBPP,BBPBBP,BBBPB,PPBPPBBPBBPBBBPB
Game_105,BBPPP,BBPBBP,BPP,BBPPPBBPBBPBPP
Game_107,BBPBP,BBPBBP,BBP,BBPBPBBPBBPBBP
Game_112,PPPBP,BBPBBP,BPPBP,PPPBPBBPBBPBPPBP
Game_115,BPPBP,BBPBBP,BBPBP,BPPBPBBPBBPBBPBP
