Before,During,After
BPPB,PPPP,BBB
PPPP,BBBB,PPB
BP,BBBBB,PBP
BBPB,PPPP,BBB
BBPB,PPP,B
PPPP,BBBB,PBB
PBPB,PPPP,BPB
BPBP,BBBB,PBB
BPBP,BBBBB,PBP
,PPPP,BPP
BPPB,PPPP,BBB
PPBP,BBBBB,PPB
BBPB,PPP,BP
PPBP,BBBB,PPP
BBBB,PPPP,BBP
PPPB,PPPP,
P,BBBBB,PBP
BBPB,PPPPP,BBB
PBPB,PPPP,BBB
PPPP,BBBBB,PPP
PPPP,BBBB,PBP
BBPB,PPPPP,BPP
PPBP,BBBB,PBB
PBBP,BBBB,PBB
BBPB,PPP,BB
BBBP,BBBB,PPP
BPBP,BBBB,PPB
BBBP,BBB,P
P,BBBB,PPP
PPBP,BBBBB,PPP
BBBB,PPPP,BBP
PPBP,BBBB,PBP
BPPB,PPPP,BPB
PPPB,PPPP,BPP
PPPB,PPPPP,
PPBP,BBBB,PPB
PBBP,BBBBB,PBP
BBBP,BBBB,PBB
BP,BBBB,PBB
BPPB,PPPPP,BPB
PBPB,PPPPP,BPP
PBPB,PPPP,BBB
PPPP,BBBBB,PPB
,BBBB,PPP
PPPB,PPPPP,BBB
BPPP,BBBBB,PPB
BPPB,PPPP,BBP
BPPP,BBBB,PBB
BBBP,BBBB,PBB
PPPB,PPPP,BBB
BBPB,PPPPP,BPB
,BBBB,PBP
BBBP,BBBB,PBP
BPBP,BBBBB,PPB
BPPB,PPPP,BBB
PPPP,BBBB,PPP
BBBP,BBBB,PBB
PPBP,BBBB,PPB
BPPB,PPPPP,BPB
BBBP,BBBBB,PBP
PPBP,BBBBB,PBP
BPPB,PPPP,BPP
BPPB,PPPPP,BBP
BBPB,PPPP,BBP
PPPB,PPPP,BPB
PPBP,BBBB,PB
BBBP,BBBB,PB
BPPB,PPPP,BPB
PBBP,BBBB,PPP
PBPB,PPPPP,BBB
PBBP,BBBB,PPB
,BBBB,PPB
BBPB,PPP,BP
,PPPP,BBB
BPPP,BBBB,PBP
PPPB,PPPP,BPP
PPPB,PPPP,BBB
BBBB,PPP,
BBPB,PPPP,BPB
BPBP,BBBB,PP
PPPP,BBBB,PBP
PPPP,BBBB,PPP
BBBB,PPPP,BPB
PPPB,PPPPP,
PPPP,BBBB,PBP
BPPB,PPP,B
BBBP,BBBBB,PBP
BBPB,PPP,B
PPPB,PPPP,BBB
PBBP,BBBBB,PBB
BBBP,BBBBB,PPP
BBBB,PPPP,
PBBP,BBBB,PPB
BBPB,PPP,B
BBPB,PPPP,BBP
PBBP,BBBB,
BPBP,BBBB,PPB
PBBB,PPPP,BBB
BBBP,BBBBB,PPP
BBBB,PPPPP,BBP
B,PPPP,BBB
PBPB,PPPPP,BPB
BBBP,BBBBB,PPP
BBBB,PPPP,BBP
BBBB,PPPPP,BBB
PBBP,BBBB,PBP
BPBP,BBBB,PBB
BPPP,BBBB,PPP
PBBP,BBBBB,PBB
PPPB,PPPP,BPB
BBPB,PPPPP,B
,BBBB,PPB
BPPB,PPPP,BBB
PBPB,PPPPP,BBB
B,PPPPP,BPB
PBPB,PPPP,BPB
PBBP,BBBB,PBB
BBBP,BBBB,PPP
BBBB,PPPP,BBP
PBBP,BBBB,PBP
BBPB,PPPPP,BBB
BBPB,PPPP,BPP
BPPB,PPP,B
B,PPPP,BBB
PBBP,BBBB,PPP
BPBP,BBBB,PBB
PPBP,BBBB,PPP
BBBB,PPPP,B
PBP,BBBB,PPP
BBBB,PPPPP,BPP
BPPB,PPPP,BPB
BPBP,BBBBB,PPP
BBBB,PPPP,BPB
PPBP,BBBBB,PBB
,PPPP,BBB
PBBP,BBBB,PBB
BBBP,BBBB,PPB
BPBP,BBBBB,PPP
BBBB,PPP,
PBBP,BBBBB,PPP
BPPB,PPP,B
BBPB,PPPP,BBP
PBBP,BBBBB,
BPB,PPPP,BBB
PPPP,BBBBB,PBB
PBBP,BBBB,PPP
BBPB,PPP,
BBBP,BBBB,PBP
BBBB,PPPP,BBP
P,BBBB,PPP
BBBP,BBBB,PBP
PPPB,PPP,
PBPB,PPPPP,BBP
BPBP,BBBB,PPP
BP,BBBB,PPP
