Before,During,After
PBB,BPBP,PBB
PBB,PBPBPBP,PBP
BPP,PBPB,BPP
BPP,BPBP,PBP
PPP,PBPBPBP,PBB
PBB,PBPB,BBB
PBB,PBPBPB,BBP
BPP,BPBP,
PBB,PBPBP,PPP
PPP,BPBPB,BBB
BBB,PBPB,BBB
,BPBPB,BBB
BBB,PBPBP,PPB
PBB,PBPB,BBP
BPP,BPBP,PPB
PPP,BPBP,PPB
PBB,PBPBPBP,PBP
,BPBP,PBP
BPP,BPBP,PPB
BBB,BPBPB,BBP
PBB,BPBP,PBB
BBB,PBPBPBPBPB,BPB
PBB,PBPB,BPP
BBB,BPBP,
,BPBP,PBP
BPP,BPBPBP,PPP
BBB,PBPB,BBP
BPP,BPBPBP,PBP
BPP,BPBP,PB
BBB,BPBP,PPP
,PBPB,BPP
PBB,BPBPB,BPB
PBB,PBPB,BPP
PBB,PBPB,
PPP,BPBP,PBB
BPP,BPBPB,BBB
PBB,PBPB,BPP
BPP,PBPB,BBB
BPP,BPBP,PPB
PBB,PBPB,BPP
BBB,PBPB,BPB
PBB,PBPBP,PBP
BBB,PBPBP,PPP
PPP,BPBPBPBPB,
BBB,BPBPB,BPB
PPP,BPBPBPBP,PPP
BPP,BPBP,PPP
PBB,PBPBPBPB,BBP
,BPBPB,BBB
,PBPBP,PBB
PBB,PBPB,BPP
,PBPB,BBP
PBB,BPBPBP,PBP
BPP,BPBP,PPB
PPP,BPBPB,BPB
,PBPB,BBB
PPP,BPBPB,BPB
PBB,PBPBPB,BPB
PPP,BPBPBP,PPB
BBB,PBPB,BBB
BBB,PBPBPB,BBB
PPP,BPBP,PBP
BPP,BPBP,
BBB,PBPB,BPB
PBB,PBPBP,PBB
BPP,BPBP,PBB
PBB,PBPB,BPP
BBB,PBPB,BBP
BPP,PBPB,BBP
BBB,PBPBPBP,PPB
PBB,PBPB,BP
PBB,PBPBP,PBP
BPP,PBPB,BBB
BPP,BPBPB,BPB
PPP,BPBP,PBB
BBB,BPBPBPB,BPP
PBB,PBPB,BPB
PPP,BPBP,PPB
PPP,PBPBPB,BBP
BBB,PBPBPB,BBP
BBB,PBPB,
,BPBP,PBB
PBB,PBPB,BBP
PBB,PBPB,BBP
PBB,PBPB,BPP
PPP,BPBP,PPB
PPP,BPBPB,BPP
BPP,BPBP,PPB
BBB,BPBP,PPB
PBB,PBPBPBP,PPB
PPP,BPBPB,BBP
BPP,BPBPB,BPB
PBB,PBPB,BPP
PPP,BPBPBP,PPP
PBB,BPBPB,BBB
