Game_ID,Before,Pattern,After,Full_Sequence
Game_14,PPBPP,BPBPBP,BPBBP,PPBPPBPBPBPBPBBP
Game_14,PBPPB,PBPBPB,PBBP,PBPPBPBPBPBPBBP
Game_14,BPPBP,BPBPBP,BBP,BPPBPBPBPBPBBP
Game_17,PBBBB,PBPBPB,PBBPB,PBBBBPBPBPBPBBPB
Game_17,BBBBP,BPBPBP,BBPBB,BBBBPBPBPBPBBPBB
Game_19,BPBBB,PBPBPB,PPPBB,BPBBBPBPBPBPPPBB
Game_28,BPBPP,BPBPBP,BBPBB,BPBPPBPBPBPBBPBB
Game_28,BBBBB,PBPBPB,PBPP,BBBBBPBPBPBPBPP
Game_28,BBBBP,BPBPBP,BPP,BBBBPBPBPBPBPP
Game_28,BBBPB,PBPBPB,PP,BBBPBPBPBPBPP
Game_34,PBPBB,PBPBPB,PBBPB,PBPBBPBPBPBPBBPB
Game_34,BPBBP,BPBPBP,BBPBB,BPBBPBPBPBPBBPBB
Game_36,BPPPP,BPBPBP,BPBPP,BPPPPBPBPBPBPBPP
Game_36,PPPPB,PBPBPB,PBPPB,PPPPBPBPBPBPBPPB
Game_36,PPPBP,BPBPBP,BPPBP,PPPBPBPBPBPBPPBP
Game_36,PPBPB,PBPBPB,PPBPP,PPBPBPBPBPBPPBPP
Game_45,BBPBB,PBPBPB,PBBBP,BBPBBPBPBPBPBBBP
Game_45,BPBBP,BPBPBP,BBBPP,BPBBPBPBPBPBBBPP
Game_45,BBBPP,BPBPBP,BB,BBBPPBPBPBPBB
Game_48,BBBBB,PBPBPB,PPPBB,BBBBBPBPBPBPPPBB
Game_49,PPPBP,BPBPBP,BBPBP,PPPBPBPBPBPBBPBP
Game_51,PPBBB,PBPBPB,PPPBP,PPBBBPBPBPBPPPBP
Game_53,PBPPP,BPBPBP,BBPPP,PBPPPBPBPBPBBPPP
Game_63,PBBPP,BPBPBP,BBBPP,PBBPPBPBPBPBBBPP
Game_67,BBPBB,PBPBPB,PPPPB,BBPBBPBPBPBPPPPB
Game_84,BPBPP,BPBPBP,BPPBP,BPBPPBPBPBPBPPBP
Game_84,PBPPB,PBPBPB,PPBPP,PBPPBPBPBPBPPBPP
Game_99,PPBPP,BPBPBP,BBBPP,PPBPPBPBPBPBBBPP
Game_103,PBBBB,PBPBPB,PPPBP,PBBBBPBPBPBPPPBP
Game_104,PPPPP,BPBPBP,BPPBP,PPPPPBPBPBPBPPBP
Game_104,PPPPB,PBPBPB,PPBPB,PPPPBPBPBPBPPBPB
Game_108,PBBPP,BPBPBP,BPPBP,PBBPPBPBPBPBPPBP
Game_108,BBPPB,PBPBPB,PPBPB,BBPPBPBPBPBPPBPB
Game_108,BPBPP,BPBPBP,BP,BPBPPBPBPBPBP
Game_108,PBPPB,PBPBPB,P,PBPPBPBPBPBP
Game_119,BBPPP,BPBPBP,BBPBP,BBPPPBPBPBPBBPBP
Game_124,BBPPP,BPBPBP,BPPPP,BBPPPBPBPBPBPPPP
Game_124,BPPPB,PBPBPB,PPPPB,BPPPBPBPBPBPPPPB
Game_129,BPBBB,PBPBPB,PBBPP,BPBBBPBPBPBPBBPP
Game_129,PBBBP,BPBPBP,BBPPB,PBBBPBPBPBPBBPPB
