Game_ID,Before,Pattern,After,Full_Sequence
Game_1,PPPPP,BBBB,PPBPB,PPPPPBBBBPPBPB
Game_1,PPPPP,BBB,PBBPB,PPPPPBBBPBBPB
Game_2,PPPPB,PPP,BPBPP,PPPPBPPPBPBPP
Game_2,PBPPB,PPPP,BBBPB,PBPPBPPPPBBBPB
Game_2,BPPPP,BBB,PBPPP,BPPPPBBBPBPPP
Game_2,BBBPB,PPP,BBBPP,BBBPBPPPBBBPP
Game_2,PBPPP,BBB,PPBBP,PBPPPBBBPPBBP
Game_3,BBBPP,BBB,PPBPP,BBBPPBBBPPBPP
Game_3,PPPBB,PPP,BPBBP,PPPBBPPPBPBBP
Game_4,BBPBP,BBB,PPBBP,BBPBPBBBPPBBP
Game_4,PPPPB,PPP,BPBBB,PPPPBPPPBPBBB
Game_4,PPPBP,BBBB,PPBPB,PPPBPBBBBPPBPB
Game_5,BPBPP,BBB,PBBBB,BPBPPBBBPBBBB
Game_5,PBBBP,BBBB,PBBBP,PBBBPBBBBPBBBP
Game_5,BBBBP,BBB,PBPBB,BBBBPBBBPBPBB
Game_5,BBPBP,BBB,PBPPP,BBPBPBBBPBPPP
Game_5,BBBPB,PPPP,B,BBBPBPPPPB
Game_6,BPBPB,PPPP,BPBBP,BPBPBPPPPBPBBP
Game_7,BPPPP,BBBB,PPPBB,BPPPPBBBBPPPBB
Game_7,PBBBB,PPP,BBPPP,PBBBBPPPBBPPP
Game_7,PPPBB,PPP,BPPBP,PPPBBPPPBPPBP
Game_7,BPBPP,BBB,PBBPP,BPBPPBBBPBBPP
Game_8,PBPPB,PPP,BBPBB,PBPPBPPPBBPBB
Game_8,BPBBP,BBB,PBBPP,BPBBPBBBPBBPP
Game_8,PBBPP,BBB,PBPBP,PBBPPBBBPBPBP
Game_8,BPBPB,PPP,BBBBB,BPBPBPPPBBBBB
Game_8,BBBBP,BBB,PBPPP,BBBBPBBBPBPPP
Game_8,BBBPB,PPP,BBBBB,BBBPBPPPBBBBB
Game_9,BBPBP,BBBB,PPBBB,BBPBPBBBBPPBBB
Game_9,BBBPP,BBB,PBBBP,BBBPPBBBPBBBP
Game_9,PBBBP,BBB,PBBPP,PBBBPBBBPBBPP
Game_9,BBPBB,PPPP,BPPBP,BBPBBPPPPBPPBP
Game_10,PPPBP,BBBB,PBBPP,PPPBPBBBBPBBPP
Game_10,PPPBB,PPPP,BBBBB,PPPBBPPPPBBBBB
Game_10,BBBBP,BBBB,PBPPP,BBBBPBBBBPBPPP
Game_10,BBBPB,PPP,BBPPB,BBBPBPPPBBPPB
Game_11,PBPPB,PPPP,BBBBP,PBPPBPPPPBBBBP
Game_11,BPPPP,BBBB,PBBPB,BPPPPBBBBPBBPB
Game_11,PPPPP,BBB,PBBBB,PPPPPBBBPBBBB
Game_11,BBBBB,PPP,B,BBBBBPPPB
Game_12,PPPPB,PPP,BBPBB,PPPPBPPPBBPBB
Game_12,BBPBB,PPPP,BBBBP,BBPBBPPPPBBBBP
Game_12,BPPPP,BBBB,PPBPP,BPPPPBBBBPPBPP
Game_12,BBPPB,PPPP,BPBPB,BBPPBPPPPBPBPB
Game_12,PBPBP,BBBB,PPBBP,PBPBPBBBBPPBBP
Game_12,PBPPB,PPPP,BPPBB,PBPPBPPPPBPPBB
Game_12,PPBPP,BBB,PPBPB,PPBPPBBBPPBPB
Game_13,BPBPP,BBBB,PPBPP,BPBPPBBBBPPBPP
Game_13,BPPBB,PPP,BPBBP,BPPBBPPPBPBBP
Game_13,PBPBB,PPP,BPBB,PBPBBPPPBPBB
Game_14,BBPPB,PPPP,BBBPP,BBPPBPPPPBBBPP
Game_14,BPPPP,BBB,PPPPB,BPPPPBBBPPPPB
Game_14,PPBBB,PPPP,BPPPP,PPBBBPPPPBPPPP
Game_14,BBBPB,PPP,BPPBP,BBBPBPPPBPPBP
Game_15,BPPBP,BBB,PBBPP,BPPBPBBBPBBPP
Game_15,BBPPB,PPP,BPPBP,BBPPBPPPBPPBP
Game_15,PBPBP,BBBB,PBPPP,PBPBPBBBBPBPPP
Game_15,BBBPB,PPPP,BBBPB,BBBPBPPPPBBBPB
Game_15,BPPPP,BBB,PBPBP,BPPPPBBBPBPBP
Game_15,BPBPB,PPP,BBPBB,BPBPBPPPBBPBB
Game_16,BPBPB,PPP,BPPPB,BPBPBPPPBPPPB
Game_16,BPPPB,PPP,BPBPB,BPPPBPPPBPBPB
Game_16,BBBBB,PPP,BBPPB,BBBBBPPPBBPPB
Game_16,PBBPP,BBB,PPBPB,PBBPPBBBPPBPB
Game_17,BBPPB,PPP,BBPBB,BBPPBPPPBBPBB
Game_17,PPBBP,BBBB,PBPBP,PPBBPBBBBPBPBP
Game_17,BPBBP,BBB,PBBPB,BPBBPBBBPBBPB
Game_18,BBPPB,PPPP,BPBBB,BBPPBPPPPBPBBB
Game_18,BBBBB,PPPP,BBBPP,BBBBBPPPPBBBPP
Game_18,BPPPP,BBB,PPPPP,BPPPPBBBPPPPP
Game_18,PPPPP,BBB,PPBPB,PPPPPBBBPPBPB
Game_18,BBPPB,PPP,BBBBB,BBPPBPPPBBBBB
Game_19,BPBBP,BBB,PBPBP,BPBBPBBBPBPBP
Game_19,PPPPP,BBBB,PPPP,PPPPPBBBBPPPP
Game_20,PPPPP,BBB,PBPBB,PPPPPBBBPBPBB
Game_20,BBBBB,PPPP,BBBBB,BBBBBPPPPBBBBB
Game_20,BBBBP,BBB,PPBBB,BBBBPBBBPPBBB
Game_20,BBBPP,BBB,PP,BBBPPBBBPP
Game_21,BPBPP,BBBB,PBBBP,BPBPPBBBBPBBBP
Game_21,BBBBP,BBB,PBBPB,BBBBPBBBPBBPB
Game_21,PBBPB,PPP,BPPBB,PBBPBPPPBPPBB
Game_21,PPBPP,BBB,PPBPP,PPBPPBBBPPBPP
Game_21,PBPBP,BBB,PBBPB,PBPBPBBBPBBPB
Game_22,PPPPB,PPP,BBPBP,PPPPBPPPBBPBP
Game_22,BBPBP,BBBB,PPPPB,BBPBPBBBBPPPPB
Game_22,PBBBB,PPPP,BBPB,PBBBBPPPPBBPB
Game_23,PBBBP,BBB,PBBBB,PBBBPBBBPBBBB
Game_23,BBBBB,PPP,BBBPB,BBBBBPPPBBBPB
Game_23,BBPPP,BBB,PBBBP,BBPPPBBBPBBBP
Game_23,PBBBP,BBB,PPBPB,PBBBPBBBPPBPB
Game_24,PBBPP,BBBB,PBPBB,PBBPPBBBBPBPBB
Game_24,BBBPP,BBBB,PPPBP,BBBPPBBBBPPPBP
Game_24,PBBBB,PPP,BPPBP,PBBBBPPPBPPBP
Game_24,PBPPB,PPP,BPPBP,PBPPBPPPBPPBP
Game_24,PPBBP,BBBB,PBPPP,PPBBPBBBBPBPPP
Game_24,BBBPB,PPPP,BPB,BBBPBPPPPBPB
Game_25,PBBPP,BBB,PBPPB,PBBPPBBBPBPPB
Game_25,BPBPP,BBB,PBPBB,BPBPPBBBPBPBB
Game_25,BBPBP,BBBB,PPBPP,BBPBPBBBBPPBPP
Game_26,BPPBP,BBBB,PBBBB,BPPBPBBBBPBBBB
Game_27,PBBPB,PPP,BBBPP,PBBPBPPPBBBPP
Game_27,PBPPP,BBB,PPBPP,PBPPPBBBPPBPP
Game_27,BBPPB,PPP,BBBPB,BBPPBPPPBBBPB
Game_27,PBPPP,BBB,PBBPP,PBPPPBBBPBBPP
Game_27,BBPBB,PPP,BPPBP,BBPBBPPPBPPBP
Game_28,PPBBP,BBB,PPPBP,PPBBPBBBPPPBP
Game_28,BPBBB,PPP,BPBPB,BPBBBPPPBPBPB
Game_28,BPBPP,BBB,PPBPP,BPBPPBBBPPBPP
Game_28,BBPPB,PPPP,BBBBP,BBPPBPPPPBBBBP
Game_28,BPPPP,BBBB,PBBBB,BPPPPBBBBPBBBB
Game_29,BPBBB,PPP,BPBPP,BPBBBPPPBPBPP
Game_29,PPBPB,PPPP,BPPPP,PPBPBPPPPBPPPP
Game_29,PBBPB,PPP,BBPBP,PBBPBPPPBBPBP
Game_29,BPBPB,PPPP,BPBBB,BPBPBPPPPBPBBB
Game_29,PPPBP,BBB,PBPB,PPPBPBBBPBPB
Game_30,PBPPB,PPP,BBBBB,PBPPBPPPBBBBB
Game_30,BBPBP,BBB,PBBBP,BBPBPBBBPBBBP
Game_30,PBBBP,BBB,PBPPB,PBBBPBBBPBPPB
Game_30,BPBPP,BBB,PPBPB,BPBPPBBBPPBPB
Game_31,PPBPB,PPP,BBBBP,PPBPBPPPBBBBP
Game_31,PBPPP,BBBB,PBBBP,PBPPPBBBBPBBBP
Game_31,BBBBP,BBB,PPPBP,BBBBPBBBPPPBP
Game_31,BPBBB,PPP,BPPBP,BPBBBPPPBPPBP
Game_32,BPPPP,BBB,PBBBP,BPPPPBBBPBBBP
Game_32,PBBBP,BBB,PBBBP,PBBBPBBBPBBBP
Game_32,PBBBP,BBB,PPPPB,PBBBPBBBPPPPB
