Before,During,After
BBB,PPBBBBBBPP,BPP
PPB,PPBB,BPB
BPB,PPBB,PBP
BBB,PPBB,BPB
BBP,BBPP,PBP
PBP,BBPPPP,BPB
BPB,PPBBBB,BPP
BBB,PPBB,PBP
BBP,BBPP,BPB
BBP,BBPP,BPP
BPB,PPBBPP,BPB
PPP,BBPP,B
,PPBBBB,BPP
BBP,BBPPPPPPBB,PBP
PBP,BBPPPPPP,B
PPB,PPBB,BPP
BBP,BBPPPP,PBB
PPP,BBPP,BPP
BBB,PPBBBB,PBB
PPP,BBPP,BPB
PPP,BBPPPP,PBP
BPB,PPBBBB,BPB
PPB,PPBB,BPP
BBB,PPBB,BPB
BPB,PPBB,BPP
P,BBPP,BPP
PBP,BBPP,PBP
,BBPP,PBB
PPP,BBPP,BPP
PPB,PPBBPP,BPB
PBP,BBPPBB,BPB
PBP,BBPPPP,PBB
BPB,PPBB,PBB
BBB,PPBB,PBB
BBP,BBPPBBBB,PBB
BPB,PPBBPP,BPP
PPB,PPBBBB,PBB
PBP,BBPP,PBP
PPP,BBPP,BPB
PPP,BBPP,PBB
PPP,BBPP,BPP
PPB,PPBBPP,
PBP,BBPP,PBP
BBP,BBPPBB,BPP
BBB,PPBB,BPP
BBB,PPBB,BPP
,PPBB,PBB
BBP,BBPPPP,BPP
PPB,PPBBPPPP,BPB
BPB,PPBBBB,BPB
PPP,BBPPPPBB,PBP
BBB,PPBBPP,B
BPB,PPBB,PBB
BBB,PPBB,B
BBP,BBPP,PBB
BBB,PPBBPPBB,PBB
BBP,BBPPPP,PBP
PPP,BBPPPP,B
BPB,PPBB,PBB
BBB,PPBB,PBB
BBP,BBPPPP,PBP
PPB,PPBB,PBB
BBP,BBPP,BPB
PBP,BBPP,BPB
BBP,BBPPPP,
PPB,PPBB,BPB
PBP,BBPP,PBB
BBP,BBPPBB,PBP
PPB,PPBBPP,PBB
BPB,PPBB,PBP
BBB,PPBBPP,BPP
BPB,PPBBPP,BPB
BPB,PPBB,PBP
PBP,BBPPBBBB,PBP
,PPBBPP,PBP
PBP,BBPP,PBP
BPB,PPBB,
BBB,PPBBBB,BPB
PBP,BBPPPPPP,BPP
PPB,PPBB,PBB
BBP,BBPPBB,PBP
B,PPBBBBPP,BPP
BBB,PPBBPPPP,BPP
PPP,BBPP,BPP
BPB,PPBBPPBB,PBP
BBB,PPBB,PBP
PPP,BBPPPPPPPP,P
,BBPP,BPP
PPB,PPBB,PBB
PBP,BBPP,BPB
PBP,BBPP,BPP
PBP,BBPP,BPB
,PPBBBB,PBB
PPB,PPBB,BPP
PBP,BBPPBBPPBBBB,BPP
BBB,PPBB,
,BBPPPP,BPB
PPP,PPBBPPBB,PBP
BP,BBPP,PBP
PPB,PPBBPPBB,PBB
BBP,BBPPPPBBBB,P
PBP,BBPPBB,PBB
BPB,PPBBPPBBPPBB,BPP
PBP,BBPP,PBB
PPP,BBPPPP,BPB
BBB,PPBB,PBB
,PPBB,BPB
BBP,BBPP,BPP
BBB,PPBB,BPB
BBB,PPBBPPPPBBPPPPPPBB,PBP
PBP,BBPPBBBBBBPP,PBP
PPP,BBPP,PBP
P,BBPPBB,BPB
BBP,BBPPBB,BPB
PBP,BBPPBBPPBB,PBP
BPB,PPBBPPBB,PBP
PBP,BBPP,PBB
BPB,PPBBPP,PBP
,PPBB,PBB
BBB,BBPP,PBB
PPP,BBPPBBBBBBBBBB,PBP
BPB,PPBB,BPP
PPP,BBPPBBBB,PBP
BBP,BBPPPPPP,PBB
BBB,PPBBBB,BPB
PBP,BBPPBBBB,PBP
PBP,BBPPBB,BPP
PBP,BBPPBBPP,BPP
,BBPP,BPP
PBP,BBPP,BPB
BBP,BBPP,BPB
BPB,PPBB,BPB
BBB,PPBB,BPB
