Before,During,After
P,BBB,PPB
PPP,BBBPPP,PBP
BBB,PPPBBB,PBP
,BBB,PPB
PBP,BBBPPP,PBB
PPP,BBBPPP,BBP
BBP,BBB,PBB
BPB,PPP,BBP
PBP,BBBPPP,BBP
BPB,PPP,BPB
BPB,PPPBBB,PBB
BBP,BBB,PBB
PPP,BBB,PBB
PPB,PPP,BPB
BBP,BBB,PBP
BPB,PPP,BBP
PPB,PPPBBB,BBP
BBP,BBBPPP,BPP
PBP,BBB,PBB
BBP,BBBPPP,BPP
PPB,PPP,BPP
PPB,PPPBBB,PBP
PPP,BBB,PBP
PPB,PPPBBB,BPB
PBP,BBB,PBP
PBP,BBB,PPB
PPB,PPP,BPP
PPB,PPPBBB,BPB
BBP,BBB,PPB
BBP,BBB,PBB
,PPP,BBP
BBB,PPP,BPB
BPB,PPP,BBP
,BBB,PPB
PBP,BBBPPP,BPP
,PPP,BPB
PBP,BBB,PBB
BBP,BBB,PBB
BPB,PPP,BPP
PBP,BBB,PBP
PBP,BBBPPP,BBP
P,BBB,PBB
BBP,BBB,PBB
BBP,BBB,PPB
BBP,BBBPPPBBB,PBP
PBP,BBB,PPB
PBP,BBB,PBB
PBP,BBB,PPB
BPB,PPP,BPB
BBB,PPPBBBBBB,PP
,PPP,BPB
PPP,BBBPPP,PPB
PPP,BBB,PPB
BBB,PPP,BPP
PPB,PPPBBB,PBP
BBP,BBBPPP,BPB
BPB,PPP,BBP
BBB,PPP,BPB
B,PPP,BBP
BBP,BBB,PBB
BBP,BBB,PBP
PBP,BBBPPP,P
PBP,BBB,PBP
BPB,PPPBBB,PPB
PPB,PPP,BBP
,BBBPPP,BPB
P,BBBPPP,PBB
BPB,PPP,BPB
PBP,BBB,PPB
PPB,PPP,BPB
BPB,PPP,BPB
PBP,BBBPPP,PBP
PBP,BBB,PBP
PBP,BBB,PBB
PPB,PPPBBB,PPB
PPB,PPPBBBPPP,BBP
PBP,BBB,PBB
BBP,BBB,PPB
PBP,BBBPPPPPP,BBP
PPB,PPP,BPP
BPB,PPP,BPB
BBP,BBB,PPB
PPB,PPP,BPP
BPB,PPPBBB,BPB
BPB,PPP,BPB
PBP,BBBPPP,PPB
BPB,PPP,BPP
PPB,PPPBBB,PBB
PPB,PPP,BPP
PBP,BBB,PBB
BBB,PPP,BPP
,PPP,BPB
BBP,BBB,PBB
BBP,BBB,PBP
BBB,PPP,BBP
BBB,PPP,BPP
PPP,BBB,PPB
BBP,BBBPPP,P
PPB,PPP,BBP
PBP,BBBPPPBBB,BPP
BBB,PPP,BPB
PPB,PPP,BBP
BBP,BBBPPPBBB,BBP
BBB,PPP,BBP
PBP,BBB,PBB
PBP,BBB,PPB
PBP,BBB,PPB
BBP,BBBPPP,PPB
PBP,BBB,PBB
BBP,BBBPPP,BPP
BBB,PPP,BPB
PPB,PPP,BPB
PBP,BBBPPPPPP,BPB
PBP,BBB,PBB
PPB,PPP,BPP
BBP,BBB,PBP
BPB,PPPBBB,BPB
PBP,BBB,PBP
,BBB,PBP
PBP,BBB,PBB
PPP,BBBPPP,PBP
PPB,PPP,BPP
PPB,PPP,BPB
PBP,BBBPPP,PPB
PBP,BBB,PBB
BBP,BBB,PPB
PPP,BBB,PBP
BPB,PPP,BBP
BBP,BBB,PPB
PBP,BBB,PBP
PBP,BBBPPP,BPP
PBP,BBBPPPBBB,PBB
PBP,BBB,PBB
PPP,BBB,PBP
,BBB,PPB
BBB,PPP,BPP
PPB,PPPBBBBBB,PBB
BBP,BBBPPP,PBP
PBP,BBB,PBB
BBP,BBB,PBP
PBP,BBB,PBB
BBP,BBB,PBP
PPP,BBB,PBP
BPB,PPP,BPB
PBP,BBB,PBP
BBB,PPP,BPB
P,BBB,PBB
PPP,BBB,PBP
PPB,PPPBBB,PPB
PPP,BBBPPP,BBP
PPP,BBB,PBB
BBP,BBBPPP,PPB
PBP,BBB,PBP
PPP,BBBPPP,PBP
,BBBPPP,BPB
BPB,PPPBBB,PPB
PPP,BBBPPP,BPP
BBB,PPP,BPB
,PPP,BPB
PBP,BBB,PBB
PPP,BBB,PBP
PPB,PPPBBB,PBP
PBP,BBBPPP,BPB
PBP,BBB,PBB
BPB,PPP,BPP
PPB,PPP,BPP
BBP,BBB,PBP
PPP,BBB,PBB
BBB,PPP,BPP
,BBB,PBP
PPP,BBB,PPB
PPB,PPP,BBP
PPB,PPPBBB,BBP
BBP,BBBPPP,PPB
BBP,BBB,PBP
PB,PPP,BPB
BBB,PPP,BPB
BPB,PPP,BBP
BBB,PPP,BBP
BBP,BBB,PBP
BBB,PPP,BPB
BBP,BBB,PBP
PBP,BBB,PPB
PPB,PPP,BPP
BPB,PPPBBB,PBB
PBP,BBB,PPB
PBP,BBB,PPB
,BBB,PBB
PBP,BBB,PBB
BBP,BBB,PBP
BBP,BBB,PBB
PPB,PPP,BPP
PPB,PPP,BPP
PPP,BBBPPP,BPP
PPB,PPP,BPP
BBB,PPP,BPP
PPB,PPP,BPP
BBB,PPPBBB,BP
PPB,PPP,BPB
BPB,PPP,BPP
PPB,PPP,BPP
PPB,PPP,BPB
BPB,PPP,BPB
PBP,BBB,PBB
PBP,BBBPPP,PBP
BBP,BBB,PPB
PPP,BBB,PBB
BBP,BBB,PPB
BBB,PPP,BBP
BBP,BBBPPP,B
,BBB,PBP
PBP,BBB,PPB
PBP,BBB,PBP
BPB,PPPBBB,PPB
BPB,PPP,BBP
BPB,PPPBBBPPP,BPB
BPB,PPP,BBP
PPP,BBBPPP,PPB
PPB,PPPBBBBBB,PPB
PBP,BBB,PPB
PPB,PPPBBBPPP,BBP
P,BBB,PBP
PBP,BBB,PPB
BBB,PPP,BPB
BPB,PPP,BPP
BBB,PPP,BPP
PPP,BBBPPP,PPB
BPB,PPP,BPP
BBP,BBB,PBB
BPB,PPPBBB,BPB
BBP,BBB,PPB
BBP,BBB,PBB
BBP,BBBPPPBBBPPP,PBB
PPB,PPP,BPB
BP,BBBPPP,PBB
PPP,BBB,PBP
BBP,BBBPPPBBB,BPP
BBB,PPP,BBP
PBP,BBB,PBB
BBP,BBB,PPB
PPP,BBB,PPB
PPB,PPP,BBP
BBB,PPP,BPB
PBP,BBB,PBB
BBB,PPP,BBP
BBP,BBB,PBP
PPP,BBB,PBB
BBP,BBB,PPB
BPB,PPPBBBBBBBBB,PBP
BPB,PPP,BPP
PPB,PPP,BPB
PBP,BBB,PPB
BBP,BBBPPPBBB,BBP
BPB,PPP,BPB
PBP,BBBPPP,PPB
BPB,PPP,BPP
PPB,PPP,BPB
BBB,PPP,BBP
BBP,BBB,PBP
BPB,PPP,BPB
BPB,PPPBBB,PB
BPB,PPP,BPP
BBP,BBB,PPB
PBP,BBBPPP,BBP
BBP,BBB,PPB
BBP,BBB,PBB
PBP,BBB,PPB
PPB,PPP,BPB
BBB,PPP,BPP
PB,PPPBBB,PPB
BPB,PPP,BPP
B,PPP,BPB
BBB,PPP,BBP
PPB,PPP,BPB
PPB,PPP,BPB
BBP,BBB,PBB
BBP,BBB,PPB
BPB,PPPBBB,BPB
BPB,PPP,BBP
PPP,BBB,PBB
BBP,BBB,PPB
BBP,BBB,PBP
,PPPBBBBBB,BPP
PBP,BBB,PBB
BBP,BBB,PBB
BBB,PPPBBB,PBB
BBB,PPP,BPP
PPB,PPP,BPB
PPP,BBBPPPBBB,PP
PPB,PPP,BBP
PPP,BBB,PPB
BP,BBB,PBB
BPB,PPP,BPB
BBP,BBB,PBP
PPB,PPP,BPP
PPB,PPP,BBP
PPB,PPPBBBPPP,
PPP,BBBPPP,BPB
PPP,BBB,PBB
PPB,PPP,BBP
BPB,PPP,BPB
BPB,PPPBBB,PBP
PPP,BBBPPP,BPP
