Game_ID,Before,Pattern,After,Full_Sequence
Game_2,BBBPB,PPPBBB,PPBBP,BBBPBPPPBBBPPBBP
Game_23,BBBBB,PPPBBB,PBBBP,BBBBBPPPBBBPBBBP
Game_27,PBBPB,PPPBBB,PPBPP,PBBPBPPPBBBPPBPP
Game_27,BBPPB,PPPBBB,PBBPP,BBPPBPPPBBBPBBPP
Game_28,PPBBP,BBBPPP,BPBPB,PPBBPBBBPPPBPBPB
Game_31,BBBBP,BBBPPP,BPPBP,BBBBPBBBPPPBPPBP
Game_33,PPPBP,BBBPPP,BPBBB,PPPBPBBBPPPBPBBB
Game_38,PPBPB,PPPBBB,PBBBB,PPBPBPPPBBBPBBBB
Game_58,BBBBB,PPPBBB,PPBPP,BBBBBPPPBBBPPBPP
Game_58,BBBPB,PPPBBB,PBBPP,BBBPBPPPBBBPBBPP
Game_59,BPPPP,BBBPPP,BBPPB,BPPPPBBBPPPBBPPB
Game_62,PPPBP,BBBPPP,BPPBP,PPPBPBBBPPPBPPBP
Game_63,PBPBP,BBBPPP,BPBBB,PBPBPBBBPPPBPBBB
Game_65,PPBPB,PPPBBB,PPBBP,PPBPBPPPBBBPPBBP
Game_68,BPPBP,BBBPPP,BBPPP,BPPBPBBBPPPBBPPP
Game_73,BPBPB,PPPBBB,PPPPB,BPBPBPPPBBBPPPPB
Game_75,PBPBP,BBBPPP,BPPBP,PBPBPBBBPPPBPPBP
Game_77,PBBPB,PPPBBB,PBPPB,PBBPBPPPBBBPBPPB
Game_78,BBBPP,BBBPPP,BPPB,BBBPPBBBPPPBPPB
Game_80,PBBPP,BBBPPP,BBBPB,PBBPPBBBPPPBBBPB
Game_80,PPBBB,PPPBBB,PBBP,PPBBBPPPBBBPBBP
Game_81,BBPBP,BBBPPP,BBPBP,BBPBPBBBPPPBBPBP
Game_84,BBPBP,BBBPPP,BPBBP,BBPBPBBBPPPBPBBP
Game_93,PBPBP,BBBPPP,BBBBP,PBPBPBBBPPPBBBBP
Game_95,BPBPB,PPPBBB,PBBBP,BPBPBPPPBBBPBBBP
Game_95,PBBBP,BBBPPP,BPBBB,PBBBPBBBPPPBPBBB
Game_97,PBBPP,BBBPPP,BPPPB,PBBPPBBBPPPBPPPB
Game_100,BPPBB,PPPBBB,PBBPP,BPPBBPPPBBBPBBPP
Game_106,BBBPB,PPPBBB,PPPBP,BBBPBPPPBBBPPPBP
Game_106,PBPPP,BBBPPP,BPBPP,PBPPPBBBPPPBPBPP
Game_110,BBBBP,BBBPPP,BBBBP,BBBBPBBBPPPBBBBP
Game_113,PBBPB,PPPBBB,PP,PBBPBPPPBBBPP
Game_116,BBBBP,BBBPPP,BPBPP,BBBBPBBBPPPBPBPP
Game_117,BBBBB,PPPBBB,PPBBB,BBBBBPPPBBBPPBBB
Game_118,BPPPB,PPPBBB,PBPPB,BPPPBPPPBBBPBPPB
Game_124,BPPPP,BBBPPP,BPPBP,BPPPPBBBPPPBPPBP
Game_126,PPBPP,BBBPPP,BBBPB,PPBPPBBBPPPBBBPB
Game_126,PPBBB,PPPBBB,PBBPP,PPBBBPPPBBBPBBPP
Game_131,PPPBP,BBBPPP,BBBPP,PPPBPBBBPPPBBBPP
Game_131,BPBBB,PPPBBB,PPB,BPBBBPPPBBBPPB
Game_137,PBBPP,BBBPPP,BPBBB,PBBPPBBBPPPBPBBB
Game_150,PBPBP,BBBPPP,BBBPP,PBPBPBBBPPPBBBPP
Game_150,BPBBB,PPPBBB,PPPBB,BPBBBPPPBBBPPPBB
Game_150,BBPPP,BBBPPP,BBPBB,BBPPPBBBPPPBBPBB
Game_165,BBPPB,PPPBBB,PPBPP,BBPPBPPPBBBPPBPP
Game_171,BPBPP,BBBPPP,BBBBP,BPBPPBBBPPPBBBBP
Game_172,BBPBP,BBBPPP,BPPBB,BBPBPBBBPPPBPPBB
Game_176,BBBPP,BBBPPP,BPBPP,BBBPPBBBPPPBPBPP
Game_177,PPPBP,BBBPPP,BPBPB,PPPBPBBBPPPBPBPB
Game_179,PPBBP,BBBPPP,BBB,PPBBPBBBPPPBBB
Game_180,BBPBB,PPPBBB,P,BBPBBPPPBBBP
Game_183,PPBPB,PPPBBB,PPPPP,PPBPBPPPBBBPPPPP
Game_186,PPBPB,PPPBBB,PPPBB,PPBPBPPPBBBPPPBB
