Game_ID,Before,Pattern,After,Full_Sequence
Game_1,PPPPP,BBBBPP,BPBPB,PPPPPBBBBPPBPBPB
Game_1,PPPBB,BBPPBP,BPBPP,PPPBBBBPPBPBPBPP
Game_1,PBBBB,PPBPBP,BPPPP,PBBBBPPBPBPBPPPP
Game_1,BBBBP,PBPBPB,PPPPP,BBBBPPBPBPBPPPPP
Game_1,BBBPP,BPBPBP,PPPPP,BBBPPBPBPBPPPPPP
Game_1,BBPPB,PBPBPP,PPPPP,BBPPBPBPBPPPPPPP
Game_1,BPPBP,BPBPPP,PPPPP,BPPBPBPBPPPPPPPP
Game_1,PPBPB,PBPPPP,PPPPB,PPBPBPBPPPPPPPPB
Game_1,BPPPP,PPPPBB,BPBBP,BPPPPPPPPBBBPBBP
Game_1,PPPPP,PPBBBP,BBPBP,PPPPPPPBBBPBBPBP
Game_1,PPPPB,BBPBBP,BPPPP,PPPPBBBPBBPBPPPP
Game_1,PPPBB,BPBBPB,PPPPP,PPPBBBPBBPBPPPPP
Game_1,PBBBP,BBPBPP,PPPPP,PBBBPBBPBPPPPPPP
Game_1,BBBPB,BPBPPP,PPPPP,BBBPBBPBPPPPPPPP
Game_1,BBPBB,PBPPPP,PPPPB,BBPBBPBPPPPPPPPB
Game_1,BPPPP,PPPPBP,BP,BPPPPPPPPBPBP
Game_2,PPPPP,PPPPBP,PPBPB,PPPPPPPPPBPPPBPB
Game_2,PPPPP,PPBPPP,BPBPP,PPPPPPPBPPPBPBPP
Game_2,PPPPP,PBPPPB,PBPPB,PPPPPPBPPPBPBPPB
Game_2,PPPBP,PPBPBP,PBPPP,PPPBPPPBPBPPBPPP
Game_2,PPBPP,PBPBPP,BPPPP,PPBPPPBPBPPBPPPP
Game_2,PBPPP,BPBPPB,PPPPB,PBPPPBPBPPBPPPPB
Game_2,BPPPB,PBPPBP,PPPBB,BPPPBPBPPBPPPPBB
Game_2,PPBPB,PPBPPP,PBBBP,PPBPBPPBPPPPBBBP
Game_2,PBPBP,PBPPPP,BBBPB,PBPBPPBPPPPBBBPB
Game_2,PBPPB,PPPPBB,BPBPP,PBPPBPPPPBBBPBPP
Game_2,PPBPP,PPBBBP,BPPPB,PPBPPPPBBBPBPPPB
Game_2,PPPPB,BBPBPP,PBBBP,PPPPBBBPBPPPBBBP
Game_2,PPPBB,BPBPPP,BBBPP,PPPBBBPBPPPBBBPP
Game_2,PPBBB,PBPPPB,BBPPB,PPBBBPBPPPBBBPPB
Game_2,BBPBP,PPBBBP,PBBPB,BBPBPPPBBBPPBBPB
Game_2,BPPPB,BBPPBB,PBBBB,BPPPBBBPPBBPBBBB
Game_2,PPBBB,PPBBPB,BBBBP,PPBBBPPBBPBBBBBP
Game_2,BBBPP,BBPBBB,BBPBP,BBBPPBBPBBBBBPBP
Game_2,BBPPB,BPBBBB,BPBPP,BBPPBBPBBBBBPBPP
Game_2,PBBPB,BBBBPB,PPBBB,PBBPBBBBBPBPPBBB
Game_2,BPBBB,BBPBPP,BBB,BPBBBBBPBPPBBB
Game_2,PBBBB,BPBPPB,BB,PBBBBBPBPPBBB
Game_2,BBBBB,PBPPBB,B,BBBBBPBPPBBB
Game_3,BPBBB,PPBBBP,PBPPB,BPBBBPPBBBPPBPPB
Game_3,BBPPB,BBPPBP,PBBPB,BBPPBBBPPBPPBBPB
Game_3,PPBBB,PPBPPB,BPBBP,PPBBBPPBPPBBPBBP
Game_3,PBBBP,PBPPBB,PBBPP,PBBBPPBPPBBPBBPP
Game_3,BBPPB,PPBBPB,BPPBP,BBPPBPPBBPBBPPBP
Game_3,PPBPP,BBPBBP,PBPBP,PPBPPBBPBBPPBPBP
Game_3,PBPPB,BPBBPP,BPBPB,PBPPBBPBBPPBPBPB
Game_3,PPBBP,BBPPBP,BPBPP,PPBBPBBPPBPBPBPP
Game_3,BBPBB,PPBPBP,BPPPP,BBPBBPPBPBPBPPPP
Game_3,BPBBP,PBPBPB,PPPPP,BPBBPPBPBPBPPPPP
Game_3,PBBPP,BPBPBP,PPPPB,PBBPPBPBPBPPPPPB
Game_3,BBPPB,PBPBPP,PPPBB,BBPPBPBPBPPPPPBB
Game_3,BPPBP,BPBPPP,PPBBP,BPPBPBPBPPPPPBBP
Game_3,PPBPB,PBPPPP,PBBPP,PPBPBPBPPPPPBBPP
Game_3,PBPBP,PPPPBB,PPPBP,PBPBPPPPPBBPPPBP
Game_3,PBPPP,PPBBPP,PBPBB,PBPPPPPBBPPPBPBB
Game_3,PPPPP,BBPPPB,PBBPB,PPPPPBBPPPBPBBPB
Game_3,PPBBP,PPBPBB,PBB,PPBBPPPBPBBPBB
Game_3,PBBPP,PBPBBP,BB,PBBPPPBPBBPBB
Game_3,BBPPP,BPBBPB,B,BBPPPBPBBPBB
Game_4,BBPPB,BPBBBB,BPBPB,BBPPBBPBBBBBPBPB
Game_4,PBBPB,BBBBPB,PBBBP,PBBPBBBBBPBPBBBP
Game_4,BPBBB,BBPBPB,BBPPB,BPBBBBBPBPBBBPPB
Game_4,PBBBB,BPBPBB,BPPBB,PBBBBBPBPBBBPPBB
Game_4,BBBBB,PBPBBB,PPBBP,BBBBBPBPBBBPPBBP
Game_4,BBBBP,BPBBBP,PBBPP,BBBBPBPBBBPPBBPP
Game_4,BPBPB,BBPPBB,PPPPP,BPBPBBBPPBBPPPPP
Game_4,BPBBB,PPBBPP,PPPBP,BPBBBPPBBPPPPPBP
Game_4,BBBPP,BBPPPP,PBPPP,BBBPPBBPPPPPBPPP
Game_4,PPBBP,PPPPBP,PPBPB,PPBBPPPPPBPPPBPB
Game_4,BBPPP,PPBPPP,BPBBB,BBPPPPPBPPPBPBBB
Game_4,BPPPP,PBPPPB,PBBBB,BPPPPPBPPPBPBBBB
Game_4,PPPBP,PPBPBB,BBPPB,PPPBPPPBPBBBBPPB
Game_4,PPBPP,PBPBBB,BPPBP,PPBPPPBPBBBBPPBP
Game_4,PBPPP,BPBBBB,PPBPB,PBPPPBPBBBBPPBPB
Game_4,PPPBP,BBBBPP,BPBPB,PPPBPBBBBPPBPBPB
Game_4,PBPBB,BBPPBP,BPBBB,PBPBBBBPPBPBPBBB
Game_4,PBBBB,PPBPBP,BBBBB,PBBBBPPBPBPBBBBB
Game_4,BBBBP,PBPBPB,BBBBP,BBBBPPBPBPBBBBBP
Game_4,BBBPP,BPBPBB,BBBPB,BBBPPBPBPBBBBBPB
Game_4,BBPPB,PBPBBB,BBPBB,BBPPBPBPBBBBBPBB
Game_4,BPPBP,BPBBBB,BPBBP,BPPBPBPBBBBBPBBP
Game_4,BPBPB,BBBBPB,BPPBB,BPBPBBBBBPBBPPBB
Game_4,BPBBB,BBPBBP,PBBBB,BPBBBBBPBBPPBBBB
Game_4,PBBBB,BPBBPP,BBBB,PBBBBBPBBPPBBBB
Game_4,BBBBP,BBPPBB,BB,BBBBPBBPPBBBB
Game_5,BBBPP,BBPBBP,BPBBB,BBBPPBBPBBPBPBBB
Game_5,BBPPB,BPBBPB,PBBBB,BBPPBBPBBPBPBBBB
Game_5,PPBBP,BBPBPB,BBBBP,PPBBPBBPBPBBBBBP
Game_5,PBBPB,BPBPBB,BBBPB,PBBPBBPBPBBBBBPB
Game_5,BBPBB,PBPBBB,BBPBP,BBPBBPBPBBBBBPBP
Game_5,BPBBP,BPBBBB,BPBPB,BPBBPBPBBBBBPBPB
Game_5,BPBPB,BBBBPB,PBPPB,BPBPBBBBBPBPBPPB
Game_5,BPBBB,BBPBPB,PPBBB,BPBBBBBPBPBPPBBB
Game_5,PBBBB,BPBPBP,PBBBP,PBBBBBPBPBPPBBBP
Game_5,BBBBB,PBPBPP,BBBPB,BBBBBPBPBPPBBBPB
Game_5,BBBBP,BPBPPB,BBPBB,BBBBPBPBPPBBBPBB
Game_5,BBBPB,PBPPBB,BPBBB,BBBPBPBPPBBBPBBB
Game_5,BPBPB,PPBBBP,BBBBP,BPBPBPPBBBPBBBBP
Game_5,PBPPB,BBPBBB,BPBBB,PBPPBBBPBBBBPBBB
Game_5,BPPBB,BPBBBB,PBBBP,BPPBBBPBBBBPBBBP
Game_5,PBBBP,BBBBPB,BBPBP,PBBBPBBBBPBBBPBP
Game_5,BBPBB,BBPBBB,PBPBB,BBPBBBBPBBBPBPBB
Game_5,BPBBB,BPBBBP,BPBBB,BPBBBBPBBBPBPBBB
Game_5,BBBPB,BBPBPB,BBPBP,BBBPBBBPBPBBBPBP
Game_5,BBPBB,BPBPBB,BPBPP,BBPBBBPBPBBBPBPP
Game_5,BPBBB,PBPBBB,PBPPP,BPBBBPBPBBBPBPPP
Game_5,PBBBP,BPBBBP,BPPPP,PBBBPBPBBBPBPPPP
Game_5,BPBPB,BBPBPP,PPB,BPBPBBBPBPPPPB
Game_5,PBPBB,BPBPPP,PB,PBPBBBPBPPPPB
Game_5,BPBBB,PBPPPP,B,BPBBBPBPPPPB
Game_6,BPBPB,PPBPBP,BPPBP,BPBPBPPBPBPBPPBP
Game_6,PBPBP,PBPBPB,PPBPB,PBPBPPBPBPBPPBPB
Game_6,BPBPP,BPBPBP,PBPBP,BPBPPBPBPBPPBPBP
Game_6,PBPPB,PBPBPP,BPBPP,PBPPBPBPBPPBPBPP
Game_6,BPPBP,BPBPPB,PBPPB,BPPBPBPBPPBPBPPB
Game_6,PPBPB,PBPPBP,BPPBP,PPBPBPBPPBPBPPBP
Game_6,BPBPB,PPBPBP,PBPBP,BPBPBPPBPBPPBPBP
Game_6,PBPBP,PBPBPP,BPBPB,PBPBPPBPBPPBPBPB
Game_6,BPBPP,BPBPPB,PBPBP,BPBPPBPBPPBPBPBP
Game_6,PBPPB,PBPPBP,BPBPP,PBPPBPBPPBPBPBPP
Game_6,PPBPB,PPBPBP,BPPPP,PPBPBPPBPBPBPPPP
Game_6,PBPBP,PBPBPB,PPPPB,PBPBPPBPBPBPPPPB
Game_6,BPBPP,BPBPBP,PPPBP,BPBPPBPBPBPPPPBP
Game_6,PBPPB,PBPBPP,PPBPB,PBPPBPBPBPPPPBPB
Game_6,BPPBP,BPBPPP,PBPBB,BPPBPBPBPPPPBPBB
Game_6,PPBPB,PBPPPP,BPBBP,PPBPBPBPPPPBPBBP
Game_6,BPBPB,PPPPBP,BBPPP,BPBPBPPPPBPBBPPP
Game_6,BPBPP,PPBPBB,PPPPP,BPBPPPPBPBBPPPPP
Game_6,PBPPP,PBPBBP,PPPPB,PBPPPPBPBBPPPPPB
Game_6,BPPPP,BPBBPP,PPPBP,BPPPPBPBBPPPPPBP
Game_6,PPPBP,BBPPPP,PBPBP,PPPBPBBPPPPPBPBP
Game_6,BPBBP,PPPPBP,BPB,BPBBPPPPPBPBPB
Game_6,BBPPP,PPBPBP,B,BBPPPPPBPBPB
Game_7,BPPPP,BBBBPP,PBBPP,BPPPPBBBBPPPBBPP
Game_7,PPPBB,BBPPPB,BPPPB,PPPBBBBPPPBBPPPB
Game_7,BBBBP,PPBBPP,PBPPB,BBBBPPPBBPPPBPPB
Game_7,BBPPP,BBPPPB,PPBPB,BBPPPBBPPPBPPBPB
Game_7,PPBBP,PPBPPB,PBBPB,PPBBPPPBPPBPBBPB
Game_7,PBBPP,PBPPBP,BBPBB,PBBPPPBPPBPBBPBB
Game_7,BPPPB,PPBPBB,PBBPB,BPPPBPPBPBBPBBPB
Game_7,PPPBP,PBPBBP,BBPBP,PPPBPPBPBBPBBPBP
Game_7,PPBPP,BPBBPB,BPBPP,PPBPPBPBBPBBPBPP
Game_7,BPPBP,BBPBBP,BPPBB,BPPBPBBPBBPBPPBB
Game_7,PPBPB,BPBBPB,PPBBB,PPBPBBPBBPBPPBBB
Game_7,BPBBP,BBPBPP,BBBPB,BPBBPBBPBPPBBBPB
Game_7,PBBPB,BPBPPB,BBPBB,PBBPBBPBPPBBBPBB
Game_7,BBPBB,PBPPBB,BPBBP,BBPBBPBPPBBBPBBP
Game_7,PBBPB,PPBBBP,BBPPB,PBBPBPPBBBPBBPPB
Game_7,PBPPB,BBPBBP,PBBB,PBPPBBBPBBPPBBB
Game_7,BPPBB,BPBBPP,BBB,BPPBBBPBBPPBBB
Game_7,PBBBP,BBPPBB,B,PBBBPBBPPBBB
Game_8,BBPPB,PPBPPP,BBPBB,BBPPBPPBPPPBBPBB
Game_8,BPPBP,PBPPPB,BPBBP,BPPBPPBPPPBBPBBP
Game_8,BPPBP,PPBBPB,BPBBB,BPPBPPPBBPBBPBBB
Game_8,PBPPP,BBPBBP,BBBPB,PBPPPBBPBBPBBBPB
Game_8,BPPPB,BPBBPB,BBPBB,BPPPBBPBBPBBBPBB
Game_8,PPBBP,BBPBBB,PBBPP,PPBBPBBPBBBPBBPP
Game_8,PBBPB,BPBBBP,BBPPB,PBBPBBPBBBPBBPPB
Game_8,PBBPB,BBPBBP,PBBBP,PBBPBBBPBBPPBBBP
Game_8,BBPBB,BPBBPP,BBBPB,BBPBBBPBBPPBBBPB
Game_8,PBBBP,BBPPBB,BPBPB,PBBBPBBPPBBBPBPB
Game_8,BBPBB,PPBBBP,BPBPP,BBPBBPPBBBPBPBPP
Game_8,BBPPB,BBPBPB,PPPBB,BBPPBBBPBPBPPPBB
Game_8,BPPBB,BPBPBP,PPBBB,BPPBBBPBPBPPPBBB
Game_8,PPBBB,PBPBPP,PBBBB,PPBBBPBPBPPPBBBB
Game_8,PBBBP,BPBPPP,BBBBB,PBBBPBPBPPPBBBBB
Game_8,BBBPB,PBPPPB,BBBBB,BBBPBPBPPPBBBBBB
Game_8,PBPBP,PPBBBB,BBBPB,PBPBPPPBBBBBBBPB
Game_8,PPBBB,BBBBPB,BBPBP,PPBBBBBBBPBBBPBP
Game_8,BBBBB,BBPBBB,PBPPP,BBBBBBBPBBBPBPPP
Game_8,BBBBB,BPBBBP,BPPPB,BBBBBBPBBBPBPPPB
Game_8,BBBPB,BBPBPP,PBBBB,BBBPBBBPBPPPBBBB
Game_8,BBPBB,BPBPPP,BBBBB,BBPBBBPBPPPBBBBB
Game_8,BPBBB,PBPPPB,BBBBP,BPBBBPBPPPBBBBBP
Game_8,BBPBP,PPBBBB,BPBP,BBPBPPPBBBBBPBP
Game_8,BPPPB,BBBBPB,P,BPPPBBBBBPBP
Game_9,PBBPB,BBBBPB,PBBBB,PBBPBBBBBPBPBBBB
Game_9,BPBBB,BBPBPB,BBBPP,BPBBBBBPBPBBBBPP
Game_9,PBBBB,BPBPBB,BBPPB,PBBBBBPBPBBBBPPB
Game_9,BBBBB,PBPBBB,BPPBB,BBBBBPBPBBBBPPBB
Game_9,BBBBP,BPBBBB,PPBBB,BBBBPBPBBBBPPBBB
Game_9,BBPBP,BBBBPP,BBBBB,BBPBPBBBBPPBBBBB
Game_9,PBPBB,BBPPBB,BBBBB,PBPBBBBPPBBBBBBB
Game_9,PBBBB,PPBBBB,BBBBP,PBBBBPPBBBBBBBBP
Game_9,PBBBB,BBBBPP,BBBPB,PBBBBBBBBPPBBBPB
Game_9,BBBBB,BBPPBB,BPBBB,BBBBBBBPPBBBPBBB
Game_9,BBBBB,PPBBBP,BBBPB,BBBBBPPBBBPBBBPB
Game_9,BBPPB,BBPBBB,PBBPP,BBPPBBBPBBBPBBPP
Game_9,BPPBB,BPBBBP,BBPPP,BPPBBBPBBBPBBPPP
Game_9,BBBPB,BBPBBP,PPPBP,BBBPBBBPBBPPPPBP
Game_9,BBPBB,BPBBPP,PPBPP,BBPBBBPBBPPPPBPP
Game_9,PBBBP,BBPPPP,BPPBP,PBBBPBBPPPPBPPBP
Game_9,BBPBB,PPPPBP,PBPBB,BBPBBPPPPBPPBPBB
Game_9,PBBPP,PPBPPB,PBBBB,PBBPPPPBPPBPBBBB
