before,reverse_color,after,length,swing_to
PBBBPP,BBBBBBPP,BPPBBB,8,P
BPBPPB,PPPPBB,BBPPBB,6,B
BPBBPB,PPPPBB,BPPPPB,6,B
PBPBPP,BBBBBPP,PBBBPB,7,P
PBBPBP,BBBBBBBBPP,PPPPBB,10,P
BBBBPP,PPPPBB,BBPBBP,6,B
BPBPBP,BBBPP,PPBBBP,5,P
BBPPPP,BBBPP,PBBPBB,5,P
PBBPPB,PPPPPPBB,PBPPBB,8,B
BBPBPB,PPPBB,PBPBBB,5,B
PBBPBP,BBBPP,PBBPPB,5,P
PPPBPB,PPPBB,BPBBPB,5,B
BBBPBB,PPPPPPBB,PBPBPB,8,B
PPPBPP,BBBPP,BPPPPB,5,P
BBBPPB,PPPPBB,BPBBPP,6,B
BBBPBB,PPPPPBB,PPBPPP,7,B
BPPPBP,BBBBBPP,BBBBPB,7,P
PBPPBP,BBBBPP,PPBBPP,6,P
BPPBPB,PPPBB,PPPPPB,5,B
PPBPPB,PPPBB,BBBPBB,5,B
BBBBBP,BBBPP,PBPPPP,5,P
BPBBBP,BBBPP,PBPPPB,5,P
BPPBPP,BBBPP,BBBPBP,5,P
PBBPPB,PPPBB,BPBPPB,5,B
BBBBPB,PPPPPBB,BPBPBP,7,B
PBPBPB,PPPPBB,BBBPPP,6,B
PPPPBB,BBBPP,PPPPBB,5,P
BBBBPP,PPPPBB,BBPBPB,6,B
PBPPBP,BBBPP,BPBPBP,5,P
PBPPPB,PPPBB,BBPBPP,5,B
BPBPBB,PPPPPBB,PBPPBB,7,B
BBPBBP,BBBPP,BBPBBB,5,P
PBBBBP,BBBBPP,PBPBPP,6,P
PPBPBP,BBBBPP,BPPBBB,6,P
BPPPBP,BBBBBPP,PPBBPP,7,P
BPPBPB,PPPBB,PPPBBP,5,B
BPPPBB,PPPBB,PPBPPB,5,B
PPPPBP,BBBPP,PBPPPP,5,P
BPBBPP,BBBPP,BPBBBB,5,P
BBPPBP,BBBBPP,BBBPPB,6,P
BBBBPP,BBBPP,BBBPPB,5,P
PBBBPP,BBBPP,BPBBPB,5,P
BBPBPB,PPPPPPBB,BBBBBP,8,B
PBPPBP,BBBPP,PBBPPP,5,P
BPBBBP,BBBPP,BPPPPP,5,P
BPPBPB,PPPPBB,BBBPPB,6,B
PPPPPB,PPPPPBB,BBBBPB,7,B
BBBBBP,BBBPP,PBBBPB,5,P
BBBPBB,PPPBB,BBBPPB,5,B
BPPPBB,BBBPP,BBPPBB,5,P
BPPBBP,BBBBBBBBPP,BBPBBP,10,P
PPBPBB,PPPBB,BBPBBB,5,B
PBBBBP,BBBBBBPP,PBBBBB,8,P
PBPPBB,PPPBB,BPPPPP,5,B
PPPPPB,PPPPBB,BPPBPP,6,B
BBPPPB,PPPBB,BPBPPP,5,B
PBPBBP,BBBPP,PBPBPB,5,P
BPBPBP,BBBBBPP,BBPPBP,7,P
PBBPPB,PPPPBB,BBPPPB,6,B
PBPBPB,PPPBB,BPPBPP,5,B
BBBPPB,PPPBB,PBPBBP,5,B
BPPPBP,BBBBPP,BPBPBB,6,P
BPPPBP,BBBPP,BBBBBP,5,P
BPPPBP,BBBPP,PPBPBP,5,P
BPPPPB,PPPBB,BPPBBP,5,B
BPPPPB,PPPBB,BPPPBB,5,B
PPPBBB,PPPBB,PPBPPP,5,B
PPBBPB,PPPPBB,PBBPBP,6,B
BPBBBP,BBBPP,BBPBPB,5,P
PBBPBP,BBBPP,PPPPBB,5,P
PBBBPP,PPPPBB,PPPPPP,6,B
PBBBBP,BBBPP,BPPPBP,5,P
PPPBPP,BBBPP,BPBPPP,5,P
BPPBPB,PPPBB,BBPBPP,5,B
PPPPBP,BBBPP,PPPBBP,5,P
PBBBPP,PPPBB,PPBBPB,5,B
PBPPPB,PPPBB,BPBBPB,5,B
BPBBBP,BBBBBBBBPP,PBPPBP,10,P
PPBBPP,BBBPP,PBBPBB,5,P
BPBPBB,PPPBB,PPPPBP,5,B
PBPBPB,PPPPPBB,BPPBBP,7,B
PBBPPB,PPPBB,PBBBBP,5,B
PPPBBP,BBBBPP,BBBPBP,6,P
BBBPBP,BBBPP,PBBBBP,5,P
BBBPPP,BBBBPP,PBPBPP,6,P
BBPPBB,PPPPBB,PPPPPP,6,B
PPPPBB,PPPPPPBB,PBPBBP,8,B
BPBBPP,BBBBBBPP,PBPBPP,8,P
BPBPPB,PPPBB,PPPBPP,5,B
BPBPBB,PPPBB,BBPBPP,5,B
BPPPPB,PPPPBB,BBBBBB,6,B
BBBPPP,BBBBBPP,PBBPPB,7,P
PBPBPP,BBBPP,PBBPPB,5,P
BBBPBB,PPPPPPPBB,BBPBPP,9,B
PPBPBP,BBBPP,BBBBBP,5,P
BBBPPB,PPPPPPBB,BBPPPP,8,B
PBPBBP,BBBPP,PPPBPB,5,P
BPBBBP,BBBPP,PBPPPP,5,P
BPBBPP,BBBPP,PBPBBP,5,P
BBPPBP,BBBPP,PPPPBP,5,P
PBPPPB,PPPPBB,BBBBPB,6,B
BBPBBP,BBBBBBBPP,BBBPBB,9,P
PBPPBB,PPPBB,PBBBBP,5,B
PPPBBP,BBBBPP,BPBPPP,6,P
BPPBPB,PPPBB,BBPBPP,5,B
BBBBPB,PPPPPPPBB,PPBPBB,9,B
PBBBPB,PPPPBB,PPBPPP,6,B
BPBPBP,BBBBPP,BBBPPP,6,P
BBBBPP,BBBPP,PPBBBP,5,P
BBPPPP,BBBPP,PPBPPP,5,P
BPPPBP,BBBPP,PPPBPB,5,P
BPBBBP,BBBBBPP,PPPBBP,7,P
BBBBPP,PPPBB,PBBBPP,5,B
PPPBBP,BBBPP,BBPBBP,5,P
PBBBPB,PPPBB,PPBPBB,5,B
PBPBBP,BBBPP,BBPPBP,5,P
BBBPBP,BBBPP,PBPPBB,5,P
BPBPBP,BBBPP,PBBBPB,5,P
PPBBBP,BBBBBPP,PPBBPB,7,P
BPBBBP,BBBBBBBBPP,PPPBBB,10,P
BBBBPP,PPPBB,BPBPBB,5,B
PBBPBB,PPPBB,BBPPPB,5,B
BBPPPB,PPPBB,BBBBPB,5,B
BBBBBP,BBBPP,PPBPBB,5,P
PPPPBP,BBBBBBBPP,BPPBPB,9,P
PPPPBP,BBBBBBBPP,BBPPBP,9,P
BBBBPP,BBBBBPP,BPPPPB,7,P
BBBPPB,PPPPBB,BBBBBP,6,B
PPPPBB,BBBBBPP,BPBPBB,7,P
PPBPBP,BBBBBBPP,BBBBPB,8,P
BBPBPB,PPPPPBB,BPBPPP,7,B
PBPPBB,PPPPBB,BPPPBP,6,B
BBBBPB,PPPPPBB,BPBPPP,7,B
PPBPPB,PPPBB,BPPBBP,5,B
PBBPPB,PPPPPPPBB,BPPPBB,9,B
PPPBBB,PPPBB,PBBBBP,5,B
PPPBBP,BBBBPP,PPPPPB,6,P
PPBPBB,PPPPBB,PBPBPB,6,B
BPBPBB,PPPBB,BPBBPB,5,B
BBPBBP,BBBBBBBPP,BPBPPB,9,P
PBPBPP,BBBPP,BPBBBB,5,P
PPBBBP,BBBPP,PPPBBB,5,P
PBBBPP,PPPBB,BPPBBP,5,B
BBBPBP,BBBBBPP,PPBPBB,7,P
PBBBBP,BBBBPP,BBPPPB,6,P
PBBBPP,BBBBPP,PBBBPP,6,P
BBBPPP,BBBPP,PBPPBP,5,P
PBPBBP,BBBBBPP,PBPBBP,7,P
BBBPBB,PPPBB,BPBPBP,5,B
PBBPPB,PPPBB,BPBPBB,5,B
BBBPBP,BBBPP,PBPBPP,5,P
PBPBPP,BBBPP,BBBPBP,5,P
PBBBPB,PPPPBB,PPPPBP,6,B
BPPPBB,BBBBBBPP,PPPPPB,8,P
BBBBPP,PPPPPBB,BPBBPP,7,B
BPBBPP,BBBPP,PBPPBB,5,P
BPPBPP,BBBPP,PPPPPB,5,P
PBBBPP,PPPPPBB,BBBBBP,7,B
BBBPBB,PPPPPPPBB,BPPBPB,9,B
PBPBBP,BBBBPP,PPPPPB,6,P
BBBBBP,BBBPP,PPPBBB,5,P
PBBBPP,PPPBB,BBBBPB,5,B
PBPPBB,PPPPPPBB,BBPBBB,8,B
PBPBPP,BBBBBPP,PPBBPB,7,P
BBPBPP,BBBBBPP,PBPBPP,7,P
PPPBPB,PPPBB,PPBPPB,5,B
PBPBPP,BBBPP,BPPPPP,5,P
BBBPPB,PPPPPPBB,PPPPBB,8,B
PPPPBB,PPPPBB,BPPPBB,6,B
PPPBBB,PPPBB,PBBBPB,5,B
BBBPBP,BBBPP,BBBBPP,5,P
PBBBPP,BBBBPP,BBPPPP,6,P
BBBPBP,BBBPP,BBBBBB,5,P
BBPBPP,BBBBBBPP,BBBBBP,8,P
PPPBPB,PPPPPBB,PBPBBB,7,B
PBBPBP,BBBBPP,PPPPPB,6,P
PBPPPB,PPPPPPBB,BPPPBP,8,B
PBPPBB,PPPPPBB,PBPBBB,7,B
BBBBBP,BBBBBPP,PBBBBP,7,P
PBBPBB,PPPPPPBB,BBPPBP,8,B
BBBBBP,BBBPP,BBPBBB,5,P
BBPPBP,BBBBBPP,PPPBBB,7,P
BBBBPP,PPPBB,BBPBBB,5,B
BBBBPB,PPPPBB,BPBBBP,6,B
PPBBBP,BBBPP,BPBBBB,5,P
PBPBPP,BBBBBBBBBPP,BPBPBB,11,P
PBPPBB,PPPPBB,BBBPPP,6,B
PPPPBB,BBBPP,PBBPBB,5,P
BBBPBP,BBBBPP,PPBPBP,6,P
PPBPBP,BBBPP,BPBBPP,5,P
BBBPBP,BBBBBBBBPP,BBPPPP,10,P
