before,bantai,after,pattern,direction
PBBBPP,BBBBBBPPB,PPBBBP,6-2-1,ลง
BPPBBB,PBBPPP,BPBBPP,1-2-3,ขึ้น
PPBPBP,BPPBBBBB,PPPBBB,1-2-5,ขึ้น
PBBPBP,BBBBBBBBPPPPPPBBBB,PBBPBP,8-6-4,ลง
BBPBPB,PBBBPPPP,BBBPPP,1-3-4,ขึ้น
PPPBBB,PPPBBP,BBBPBB,3-2-1,ลง
PBBPPB,PPPPPPBBP,BPPBBP,6-2-1,ลง
BBPBPB,PPPBBP,BPBBBP,3-2-1,ลง
BBPBBB,PBBPPPPPP,BBPBPB,1-2-6,ขึ้น
BBBPPB,PPPPBBBP,BBPPPP,4-3-1,ลง
PPPBPP,BPPPBBBBB,PBBBPP,1-3-5,ขึ้น
BBBBBP,BPPBBBBB,PBPBBB,1-2-5,ขึ้น
PPPBPP,BPPBBB,PPBBBP,1-2-3,ขึ้น
PPBBBP,BPPBBB,PPBPPB,1-2-3,ขึ้น
BBBBPB,PPPPPBBBP,BPBPBP,5-3-1,ลง
BPBBPB,PBBPPP,BPPPBB,1-2-3,ขึ้น
PPBPBP,BPPPPBBBBB,PPPPPP,1-4-5,ขึ้น
PBBBBB,PPPPPPBBBBP,BPBBBP,6-4-1,ลง
PBPPBP,BBBPPB,PBPBPP,3-2-1,ลง
PPBPPP,BPPPBBBB,PBPPPP,1-3-4,ขึ้น
BPBBPB,PBBPPPPP,BBPBPP,1-2-5,ขึ้น
PBBBBP,BBBBPPPB,PBPPBB,4-3-1,ลง
PPBPBP,BBBBPPB,PPBBBB,4-2-1,ลง
BPBBPB,PBBPPP,BPBBBB,1-2-3,ขึ้น
BPPPBP,BBBBBPPPPBB,PPBPBP,5-4-2,ลง
BPBBPB,PBBPPP,BPPBPB,1-2-3,ขึ้น
BPBBPP,BBBPPB,PBBBBP,3-2-1,ลง
PBBBPP,BBBPPB,PBBPBP,3-2-1,ลง
