before,clash_cut,after,pattern
PPPPBB,BBPPBB,BPBBPP,2-2-2(t-cut)
PBBPPP,PPBBPP,BPPPBP,2-2-2(t-cut)
PBPBBB,BBPPBB,BBPBBB,2-2-2(t-cut)
BBBBPP,PPBBPP,BPBPPP,2-2-2(t-cut)
PPBPBP,PPBBPP,PPPBPP,2-2-2(t-cut)
PPBPPB,BBPPBB,BPBPPB,2-2-2(t-cut)
PPPPPB,PPBBPP,BPBBBB,2-2-2(t-cut)
BPBBPB,BBPPBB,PBBBPB,2-2-2(t-cut)
PPPBBP,BBPPBB,BBPBBB,2-2-2(t-cut)
PPPBPB,PPBBPP,BPPBPB,2-2-2(t-cut)
BBBBPP,PPBBPP,BPBPPP,2-2-2(t-cut)
PPBPBP,PPBBPP,PBBPPB,2-2-2(t-cut)
PPPBBP,PPBBPP,BPPBBP,2-2-2(t-cut)
BBPBBP,BBPPBB,BPPBPB,2-2-2(t-cut)
PPBPBB,BBPPBB,BPPBBB,2-2-2(t-cut)
BBBPPB,BBPPBB,BPPBPB,2-2-2(t-cut)
BPPPPB,PPBBPP,PPBPBP,2-2-2(t-cut)
BPBBBP,PPBBPP,PPBBPB,2-2-2(t-cut)
PPPBBB,BBPPBB,PPBBPB,2-2-2(t-cut)
PBBBBB,PPBBPP,BBPBBP,2-2-2(t-cut)
BBBBPP,BBPPBB,PBBPBB,2-2-2(t-cut)
BBBBBB,BBPPBB,PBBPPP,2-2-2(t-cut)
PBPBBP,BBPPBB,PBPPBP,2-2-2(t-cut)
PPBPPB,PPBBPP,PBBBPP,2-2-2(t-cut)
PBPBBB,BBPPBB,PPBPPP,2-2-2(t-cut)
PBBBBB,PPBBPP,BPPPPB,2-2-2(t-cut)
BBPBPB,PPBBPP,BPBPPB,2-2-2(t-cut)
PBBPBP,BBPPBB,BBPBPB,2-2-2(t-cut)
PPPBPB,BBPPBB,BBBPBP,2-2-2(t-cut)
BPPBBP,BBPPBB,PBPBBP,2-2-2(t-cut)
PBPPPB,BBPPBB,PPPPBP,2-2-2(t-cut)
PPPBBB,PPBBPP,PPBPPP,2-2-2(t-cut)
PPBBBP,PPBBPP,BPPPPP,2-2-2(t-cut)
PBBBPB,BBPPBB,PBPBBB,2-2-2(t-cut)
BBPPPP,PPBBPP,PPPPPP,2-2-2(t-cut)
BPPPBP,BBPPBB,PPBBBB,2-2-2(t-cut)
PPBPBB,PPBBPP,BBBBBP,2-2-2(t-cut)
BPBBPP,BBPPBB,BBBPPB,2-2-2(t-cut)
BBBPPP,PPBBPP,BBPBPB,2-2-2(t-cut)
BPPPPP,BBPPBB,PBPBPB,2-2-2(t-cut)
PPBPPB,PPBBPP,BBPBBP,2-2-2(t-cut)
BPPBPP,BBPPBB,PBBPPP,2-2-2(t-cut)
PBBBPB,PPBBPP,BBPPBB,2-2-2(t-cut)
BBPBPP,BBPPBB,PPBBBP,2-2-2(t-cut)
PBPPBB,PPBBPP,BBBPPP,2-2-2(t-cut)
PPBBPP,BBPPBB,BPPPBB,2-2-2(t-cut)
PBPBBP,PPBBPP,PPBPBP,2-2-2(t-cut)
PPPPPB,BBPPBB,PBBBPP,2-2-2(t-cut)
PBBPBB,BBPPBB,BPBPBB,2-2-2(t-cut)
PPBBPP,PPBBPP,PPPPBB,2-2-2(t-cut)
PBBPBP,BBPPBB,BBBBPP,2-2-2(t-cut)
BBPBBP,BBPPBB,BPBPBB,2-2-2(t-cut)
BBBPBP,BBPPBB,PPBBPB,2-2-2(t-cut)
BPBPBB,PPBBPP,BBPBPB,2-2-2(t-cut)
BPBBPP,BBPPBB,PBPBBP,2-2-2(t-cut)
PBPBPB,PPBBPP,BBPBPP,2-2-2(t-cut)
PBPBPP,BBPPBB,PBPPPB,2-2-2(t-cut)
BBBBPB,PPBBPP,PBPPPP,2-2-2(t-cut)
BBBBBP,PPBBPP,BBBBBB,2-2-2(t-cut)
BBBPPP,BBPPBB,BBBBBB,2-2-2(t-cut)
PPBBBP,PPBBPP,BBBBPB,2-2-2(t-cut)
BBBPPP,BBPPBB,BBPBPB,2-2-2(t-cut)
BBBPBP,BBPPBB,BBPBPP,2-2-2(t-cut)
PBPPBP,BBPPBB,BPPPBP,2-2-2(t-cut)
BPPPBP,BBPPBB,PPBPPB,2-2-2(t-cut)
PPBPBB,PPBBPP,BPPBPP,2-2-2(t-cut)
PBBBBB,BBPPBB,BPBBBB,2-2-2(t-cut)
BBPBPB,PPBBPP,PBBPBB,2-2-2(t-cut)
BPPPPP,PPBBPP,BPBBPB,2-2-2(t-cut)
BBPBPP,PPBBPP,BPPPPP,2-2-2(t-cut)
BPBPBB,BBPPBB,BPPPPB,2-2-2(t-cut)
PPBBPB,BBPPBB,PBBPBP,2-2-2(t-cut)
BBBPBP,PPBBPP,BPBBPB,2-2-2(t-cut)
BPBBPB,BBPPBB,PPBPBP,2-2-2(t-cut)
BBPBBB,PPBBPP,BPBPPP,2-2-2(t-cut)
PPPPBP,BBPPBB,BBBPBP,2-2-2(t-cut)
BPBBBP,BBPPBB,BPBBPB,2-2-2(t-cut)
PBBBBB,BBPPBB,PPBPPB,2-2-2(t-cut)
BBBBBB,PPBBPP,BPPBPP,2-2-2(t-cut)
BBPBBP,BBPPBB,PBBBPB,2-2-2(t-cut)
BPBBBB,BBPPBB,BBPBPB,2-2-2(t-cut)
BBPBPB,PPBBPP,PPBBBP,2-2-2(t-cut)
PBPPPB,BBPPBB,PPBBPP,2-2-2(t-cut)
PPPBBB,PPBBPP,BBPPBP,2-2-2(t-cut)
PBBBPP,BBPPBB,PPBPPP,2-2-2(t-cut)
BBBBPB,PPBBPP,BPPPPP,2-2-2(t-cut)
PPPBPB,PPBBPP,PPBPBB,2-2-2(t-cut)
PBPPBP,BBPPBB,BPBBBP,2-2-2(t-cut)
PPPPPB,BBPPBB,PBPBPP,2-2-2(t-cut)
BPBPBP,BBPPBB,PPBBPB,2-2-2(t-cut)
BPBPBB,PPBBPP,BBPBBP,2-2-2(t-cut)
BPBBPP,BBPPBB,PBBPBP,2-2-2(t-cut)
BBBPBB,BBPPBB,PPPBPB,2-2-2(t-cut)
BPBBBB,PPBBPP,PBPBBP,2-2-2(t-cut)
PBPPPB,BBPPBB,BBPPPB,2-2-2(t-cut)
BPBPPB,BBPPBB,BPBPPP,2-2-2(t-cut)
BBPBPP,PPBBPP,PPBPBB,2-2-2(t-cut)
PPBBBP,BBPPBB,BPPPBP,2-2-2(t-cut)
BBPBPB,PPBBPP,PPPPBB,2-2-2(t-cut)
PPPBPB,PPBBPP,PPBPBP,2-2-2(t-cut)
PPBPBP,PPBBPP,BPPBBB,2-2-2(t-cut)
PBPPPP,PPBBPP,PPBBBP,2-2-2(t-cut)
BBPBPB,BBPPBB,BBPPBB,2-2-2(t-cut)
BBPPBB,BBPPBB,PPPPPP,2-2-2(t-cut)
PPBBBB,PPBBPP,PPPPBP,2-2-2(t-cut)
PPPBPB,PPBBPP,BBBBBP,2-2-2(t-cut)
PBPBPP,BBPPBB,BBBPBB,2-2-2(t-cut)
BBPBPB,BBPPBB,BBBBBP,2-2-2(t-cut)
PPBBBB,BBPPBB,BBBPBB,2-2-2(t-cut)
BPBBBP,BBPPBB,BPBPPB,2-2-2(t-cut)
BPPBPB,PPBBPP,PPPBBP,2-2-2(t-cut)
BPBBPB,PPBBPP,BPBPPB,2-2-2(t-cut)
BBBBPB,PPBBPP,PPBBBB,2-2-2(t-cut)
BBPPBP,BBPPBB,BPBPBB,2-2-2(t-cut)
BBBBBB,BBPPBB,PPPPBB,2-2-2(t-cut)
BBBBBB,PPBBPP,PPBBBB,2-2-2(t-cut)
PBPBBB,BBPPBB,PBBPBP,2-2-2(t-cut)
PPBPBP,PPBBPP,BBBBBP,2-2-2(t-cut)
BPBPBB,BBPPBB,BBBPPB,2-2-2(t-cut)
BPBBPP,PPBBPP,PBBBPP,2-2-2(t-cut)
PPBBBP,PPBBPP,PPPPBP,2-2-2(t-cut)
