before,no_cut,after,length,structure
BPBPPB,BPBPBPBP,PBPPPP,8,BPB
BBBPPP,PBPBPB,PPBBBB,6,PBP
BBBBPB,BPBPBP,BBBPPP,6,BPB
BBBBPB,BPBPBP,PPPBPB,6,BPB
BPBPPP,PBPBPB,BBBBBB,6,PBP
BPBBBB,BPBPBP,PPBBPB,6,BPB
PPPPPB,BPBPBPBP,PBPBBP,8,BPB
PPPPBB,BPBPBPBPBP,BBPBPB,10,BPB
BPBBBP,PBPBPB,PPBPBP,6,PBP
BBPPBP,PBPBPB,BBBPPB,6,PBP
BPBBBB,BPBPBP,PPPPPB,6,BPB
PBPPPP,PBPBPBPB,PPPPPB,8,PBP
PPBBPB,BPBPBPBP,BBBPPB,8,BPB
PBPPBB,BPBPBP,PBPBPP,6,BPB
PBPPPP,PBPBPB,BPBBPB,6,PBP
BPBPPB,BPBPBP,BBPBBB,6,BPB
PBBBPP,PBPBPB,PPPBBP,6,PBP
BBPBBB,BPBPBP,BBBBBP,6,BPB
BBPBPB,BPBPBP,PBBPPB,6,BPB
PPBPBB,BPBPBPBP,PPBBBP,8,BPB
PPPBPB,BPBPBP,PBPBBP,6,BPB
PBBBBP,PBPBPB,BPBBPB,6,PBP
PPBBBB,BPBPBP,BBPPPP,6,BPB
BBBPPP,PBPBPB,BBPBPB,6,PBP
BPBPBB,BPBPBP,BBBPBB,6,BPB
PBPBPP,PBPBPB,BPPBPB,6,PBP
PBBPPB,BPBPBPBP,PPBPPP,8,BPB
PPBPPP,PBPBPB,BBPBBB,6,PBP
BBBBBP,PBPBPB,BPBPBB,6,PBP
PBBPPP,PBPBPB,PPPPPB,6,PBP
BBPBPB,BPBPBPBPBPBP,PBBPPB,12,BPB
BBBPBP,PBPBPB,BBPPBB,6,PBP
PPBPBP,PBPBPB,BPPBPB,6,PBP
BPPPPP,PBPBPB,BPBBPP,6,PBP
BBBBPB,BPBPBP,PBBPPP,6,BPB
PBBPBP,PBPBPBPB,PPBPPB,8,PBP
BPBBPB,BPBPBPBP,BBBBPP,8,BPB
BBPBBP,PBPBPBPB,BBPPPB,8,PBP
BBPPPP,PBPBPB,BBPBBB,6,PBP
BBPBBB,BPBPBP,BBBBPB,6,BPB
PBBBPB,BPBPBP,BBPPPP,6,BPB
BBBBBP,PBPBPB,BBBBBP,6,PBP
BPPBBB,BPBPBP,PPPPBB,6,BPB
PPBPBB,BPBPBP,PBBPPP,6,BPB
BPBPPP,PBPBPB,BPBBBB,6,PBP
BPPPPB,BPBPBPBP,BBPBBP,8,BPB
BBBPPB,BPBPBP,PBBBBP,6,BPB
PBPPBP,PBPBPBPB,BPPBBP,8,PBP
PPBBPB,BPBPBP,PBPPBB,6,BPB
