before,chainok_13,after,pattern
BPPPBB,PBBBP,BBPPBP,1-3-1
BBPPBP,BPPPB,PBPPPB,1-3-1
BBBPBB,PBBBP,BBPPPP,1-3-1
PPBBPP,BPPPB,PBBBBB,1-3-1
PPBBBB,PBBBP,BPPPBP,1-3-1
BBBBPB,PBBBP,BBBPPP,1-3-1
BBPBBB,PPPBPPP,BPPBPP,3-1-3
BPBPBB,PPPBPPP,BBBBPB,3-1-3
BBBBPB,PBBBP,BPPBPB,1-3-1
PPBBPP,BPPPB,PPPBBB,1-3-1
BBPPBB,PBBBP,BBPBPB,1-3-1
BBPBBP,BPPPB,PPBPBB,1-3-1
PPBPPB,PBBBP,BPPBBB,1-3-1
PBBPPB,PBBBP,BBPPPP,1-3-1
PBPPBP,BPPPB,PBBPPP,1-3-1
BBBBBB,PPPBPPP,BBBPBP,3-1-3
BPPPBB,PBBBP,BBBBPB,1-3-1
BPBBBB,PBBBP,BPBBPB,1-3-1
BBPPPB,PBBBP,BPBPBP,1-3-1
PPPBBP,BPPPB,PBBBPP,1-3-1
BPPPBP,BPPPB,PBBBPP,1-3-1
PPPBPB,PBBBP,BPBPBB,1-3-1
BBPBPB,PBBBP,BBBBBP,1-3-1
BPBBPB,PBBBP,BBBPPB,1-3-1
BPBBPP,BPPPB,PPPPBP,1-3-1
PPPPBP,BPPPB,PBPBBP,1-3-1
PBBBPP,BPPPB,PPBBBP,1-3-1
PBBBBP,BPPPB,PBBPPB,1-3-1
BPBPBP,BPPPB,PPPBBB,1-3-1
PPPBPB,PBBBP,BBBBBB,1-3-1
BBPPBB,PBBBP,BBBPBP,1-3-1
BBBBPB,PBBBP,BBPPPP,1-3-1
PPPPPB,PBBBP,BBBPPP,1-3-1
PBBPPB,PBBBP,BBBBBP,1-3-1
PBBBPB,PBBBP,BPPPPB,1-3-1
BPBPPB,PBBBP,BBBBBP,1-3-1
PPPPPB,PBBBP,BPBBBP,1-3-1
PPPBPB,PBBBP,BBBBBB,1-3-1
PPBBBB,PPPBPPP,BBBBBB,3-1-3
BBBPPB,PBBBP,BBPPBB,1-3-1
BBPPBB,PBBBP,BPPBPP,1-3-1
BPBPPB,PBBBP,BBPBBB,1-3-1
BBBPBB,PBBBP,BPPPPP,1-3-1
PPPPPB,PBBBP,BPBPPB,1-3-1
BPBBPP,BBBPBBB,PPPPPB,3-1-3
BPPPPB,PBBBP,BPBBBB,1-3-1
BPBPBP,BPPPB,PPPBPP,1-3-1
