before,tuek_ku,after,length,repeat
PBBBPB,PPBBPPBBPPBB,BPPPBB,12,3
PPBPBP,BBPPPPBBPPBB,BPPPBP,12,3
PPPBBP,BBPPBBPPBBPPPPBB,PPPBPB,16,4
PBPBPP,PPBBBBPPPPBB,PBPPBB,12,3
BBBPBB,BBPPPPBBPPBB,PPPPPB,12,3
BPBPPP,PPBBPPBBBBPP,BPPPBB,12,3
BBBPPB,BBPPPPBBPPBB,PBPPPP,12,3
PBPPPB,PPBBPPBBPPBB,BBBBPB,12,3
PPPBBB,PPBBPPBBBBPP,PPBPPB,12,3
BPBBPB,PPBBPPBBPPBB,BBBBBP,12,3
BPBPBP,PPBBBBPPPPBB,PPPBPB,12,3
PBPBBB,BBPPBBPPBBPPPPBB,BPBBPP,16,4
BBBPBB,BBPPBBPPBBPP,PBPBPP,12,3
PPPBBB,BBPPPPBBPPBB,BPBPBB,12,3
PBBPPP,PPBBBBPPBBPP,BPPBBB,12,3
BBPPPP,PPBBPPBBPPBB,PBBBPB,12,3
BPPBBB,PPBBBBPPPPBB,PPPBBP,12,3
PPBPBP,BBPPPPBBPPBB,BBPBBP,12,3
BPPBPB,PPBBPPBBBBPP,PBPPBB,12,3
PBBBPB,PPBBPPBBPPBB,PPPPBP,12,3
BPBPBP,BBPPBBPPBBPP,PPBPPP,12,3
PPPBPP,PPBBBBPPBBPP,PPBPPP,12,3
PBBBPB,PPBBBBPPPPBB,PPPPPB,12,3
PBBPPP,BBPPBBPPPPBB,PPPBBB,12,3
PPPBBB,BBPPPPBBBBPP,PBBBBP,12,3
BBBBPB,BBPPBBPPPPBBBBPP,BBPBBP,16,4
BPPBBB,BBPPPPBBBBPP,PPPBPB,12,3
PBPBBP,BBPPBBPPBBPP,BPBPBP,12,3
BBPPPB,BBPPPPBBPPBB,PBBPBP,12,3
PBBPPB,PPBBBBPPPPBBPPBB,PBPBBP,16,4
PBPBPB,BBPPPPBBBBPP,PBBPBP,12,3
PPPBBB,PPBBPPBBBBPP,BBBPPP,12,3
PBPPBP,PPBBBBPPBBPP,BBPBBP,12,3
BBBPPB,BBPPPPBBPPBB,BBBPPB,12,3
BPPBBB,BBPPBBPPPPBB,PPPBBP,12,3
BPBBPB,BBPPPPBBPPBBPPBB,PPPBPB,16,4
PPBBBB,BBPPPPBBPPBB,PBPPPP,12,3
PPBBBP,PPBBPPBBPPBB,PBBBBP,12,3
BBBPPB,BBPPPPBBBBPP,BPPBPP,12,3
BPBPPB,PPBBBBPPPPBB,BPBPPP,12,3
PBPPPB,PPBBBBPPPPBB,BPPPPP,12,3
PPPPPP,PPBBBBPPBBPP,PBBPBB,12,3
PPPBBP,BBPPBBPPPPBB,BPPPBP,12,3
BBBPPB,PPBBBBPPPPBB,BPPBPP,12,3
PBPPBP,PPBBBBPPBBPP,PBPBPB,12,3
PBBPBB,BBPPBBPPPPBB,PPBPBB,12,3
BPPBPB,PPBBPPBBPPBBPPBB,BBPBBB,16,4
BBBPPB,BBPPPPBBPPBB,BPBBPP,12,3
PPPPBP,BBPPBBPPPPBB,PBPPBB,12,3
PBBPPP,PPBBPPBBBBPP,BBBBBB,12,3
BBPPBB,BBPPPPBBBBPPPPBB,PBPBPP,16,4
PPBPBP,PPBBBBPPBBPP,BPPPBP,12,3
BBBBBB,BBPPPPBBBBPP,PBPPBB,12,3
BPBBBB,BBPPPPBBBBPP,PPBPPB,12,3
BBPBBB,BBPPBBPPPPBB,BPBBBP,12,3
PPBBPB,BBPPBBPPBBPP,BBBPPB,12,3
BPPPBP,PPBBPPBBBBPP,PBPBPB,12,3
BBBPPB,PPBBPPBBBBPP,PPPBBP,12,3
PBBBPB,PPBBPPBBBBPP,PBBPPP,12,3
PBPPBP,PPBBBBPPPPBB,BPBBPP,12,3
BPBBBB,BBPPBBPPPPBB,BPBBBB,12,3
PBPPBP,PPBBPPBBBBPP,BPBPBP,12,3
BBBPBB,BBPPPPBBPPBB,BBBPPP,12,3
BPPBBP,PPBBPPBBBBPP,BPPBBB,12,3
PPPBPP,PPBBPPBBBBPPBBPP,BPPBBB,16,4
PPBPPP,PPBBPPBBPPBB,BPBBBB,12,3
BPPBBP,BBPPBBPPPPBB,BBBPBB,12,3
PPBPBP,BBPPPPBBPPBB,PBBBPP,12,3
PPBBBB,BBPPPPBBBBPP,PBPPBB,12,3
PPPPPP,PPBBPPBBBBPPPPBB,PPBPPP,16,4
PBPBPP,PPBBBBPPPPBB,BPPPBP,12,3
BBPPPP,PPBBBBPPPPBB,PBPPPB,12,3
BBBBBB,BBPPBBPPBBPP,BPBPPP,12,3
BBPPPP,PPBBPPBBBBPP,BBPBPP,12,3
PBPPPP,PPBBBBPPPPBB,PBBPBP,12,3
PPPPBP,PPBBBBPPBBPP,PPPBPB,12,3
PBBBPB,PPBBBBPPPPBBBBPP,PPBPPB,16,4
PBBBPB,BBPPBBPPBBPP,PPPBPB,12,3
BPBPPP,PPBBBBPPBBPP,PBBPPP,12,3
PBPPPP,PPBBPPBBPPBB,BBBPPP,12,3
PPBPPB,PPBBPPBBPPBB,PPPBBB,12,3
BBPPBP,PPBBBBPPBBPP,PPPPBP,12,3
PBPBBB,BBPPBBPPPPBB,PBBBBB,12,3
PPBBPB,PPBBPPBBPPBB,PBBPBB,12,3
PPBBBP,BBPPPPBBBBPP,BPBPPB,12,3
BPPPBP,PPBBBBPPBBPP,PPPBPP,12,3
BBBPBB,BBPPPPBBPPBBBBPP,PBBPPB,16,4
PBPBPB,PPBBPPBBPPBB,BPPBBP,12,3
PBPBPB,BBPPPPBBPPBB,PPPBBB,12,3
BPBBPB,BBPPPPBBPPBB,PBPPPB,12,3
BBBBBB,BBPPBBPPPPBBBBPP,BPPBPB,16,4
BBPPPB,PPBBPPBBPPBB,BPBPPB,12,3
PPPBPB,BBPPPPBBPPBBBBPP,BPPPBP,16,4
BPPBBP,BBPPPPBBBBPP,BBPBPB,12,3
PPPBPB,PPBBPPBBBBPP,PPPBBP,12,3
PPPPBP,PPBBBBPPBBPP,BPBBPB,12,3
BBPPBP,PPBBBBPPPPBB,PPPBPP,12,3
PBBPBP,PPBBPPBBPPBB,BPPBPB,12,3
BBBBBB,BBPPBBPPPPBB,BBPBPP,12,3
BPPPBP,PPBBBBPPBBPP,PBBPBB,12,3
BBPBPB,PPBBBBPPPPBB,BPBPBB,12,3
PBPPPP,PPBBPPBBBBPP,PBBBBP,12,3
PBPPPB,PPBBBBPPPPBB,BPBPBB,12,3
PBPPPP,PPBBBBPPPPBB,BPBPBP,12,3
PPPPBP,PPBBPPBBBBPP,PPBPBB,12,3
PBPPBP,BBPPBBPPBBPPBBPP,BBPBPP,16,4
PBBPBB,BBPPPPBBPPBB,PPBPPB,12,3
PBPPBP,PPBBPPBBBBPPBBPPBBPP,PBBPPB,20,5
BPPBBB,BBPPPPBBBBPP,BBBBPB,12,3
PBPBBB,BBPPBBPPBBPP,PPBPBP,12,3
PBPPPB,PPBBBBPPBBPPBBPP,PBPPBP,16,4
BPBBPB,PPBBPPBBBBPP,PPBPPP,12,3
PBBPPP,BBPPPPBBBBPP,PPPBBB,12,3
PBPPPB,PPBBBBPPPPBB,PPBPBP,12,3
BBBPBP,BBPPBBPPPPBB,PBPPBB,12,3
PBPBBB,BBPPPPBBBBPP,PPPBBB,12,3
BPPPBP,BBPPPPBBPPBB,PBBPPB,12,3
BBPBBB,BBPPBBPPBBPP,PPPPPP,12,3
PPBBBB,BBPPBBPPBBPP,BPBBBB,12,3
BBBBPB,BBPPBBPPPPBB,PPBPPP,12,3
PPBPPP,PPBBPPBBBBPP,PPBPBP,12,3
PBBPPP,BBPPBBPPBBPP,PPPPPB,12,3
PBPBBP,BBPPBBPPPPBB,BBBPBP,12,3
BPPBBB,BBPPPPBBPPBB,PPPPBP,12,3
PPBBPP,PPBBBBPPBBPP,PBBPBP,12,3
BBPBBP,BBPPPPBBBBPP,BBBPPB,12,3
