before,triple,after,pattern
PBBPBP,PPPBBBPPP,PBPBPB,3-3-3
PBPPBB,BBBPPPBBB,PBPPPB,3-3-3
BPBBBP,PPPBBBPPP,BBPBBB,3-3-3
BBBBBP,BBBPPPBBB,PBPPBB,3-3-3
PBPPBB,PPPBBBPPP,PPBPPP,3-3-3
BPPPPB,PPPBBBPPP,BBPPBP,3-3-3
BBBPBP,BBBPPPBBB,BPPPBP,3-3-3
PPBBBP,PPPBBBPPP,PBPPPB,3-3-3
BPBPBP,BBBPPPBBB,PBBBBB,3-3-3
BPPBBP,PPPBBBPPP,BPBPPP,3-3-3
PBPPPP,PPPBBBPPP,BBPBBB,3-3-3
BBBPPB,BBBPPPBBB,PPPBPP,3-3-3
PPPBBP,PPPBBBPPP,BBPBBB,3-3-3
PPBPPP,PPPBBBPPP,BPPPBP,3-3-3
BPPBPB,PPPBBBPPP,BPBPPB,3-3-3
PPPPBB,PPPBBBPPP,PPBPPP,3-3-3
BPPPPB,PPPBBBPPP,BBPPPP,3-3-3
PPBPPB,BBBPPPBBB,PPPPPB,3-3-3
BPBBBP,BBBPPPBBB,PPPPBB,3-3-3
BPPBBP,BBBPPPBBB,BPPBBP,3-3-3
PBPBBP,BBBPPPBBB,BBPBPP,3-3-3
PPBPPP,PPPBBBPPP,BPBBBB,3-3-3
BPPBPB,PPPBBBPPP,PPBBBB,3-3-3
BPPBPP,PPPBBBPPP,BBBBPB,3-3-3
BBPBPP,BBBPPPBBB,PPBPPB,3-3-3
BPBPBB,BBBPPPBBB,PBBPPP,3-3-3
BPPPBP,PPPBBBPPP,PPPPBB,3-3-3
BBBPBP,PPPBBBPPP,PBPBBB,3-3-3
BPBPBP,PPPBBBPPP,BPPPPB,3-3-3
BPBPBP,PPPBBBPPP,PPBPPB,3-3-3
BPPPPP,PPPBBBPPP,PBBPBP,3-3-3
PBPPBB,PPPBBBPPP,BBPPBP,3-3-3
BBBPPB,PPPBBBPPP,PPBPBB,3-3-3
BPBPPP,PPPBBBPPP,PBBBPP,3-3-3
PBPBBB,BBBPPPBBB,BPBBBP,3-3-3
BBPBPB,PPPBBBPPP,PBBBBB,3-3-3
PPBBPB,BBBPPPBBB,BPPBPP,3-3-3
BPBBBP,PPPBBBPPP,PPPBBP,3-3-3
BPPBPB,BBBPPPBBB,PPBPPP,3-3-3
BBPBBB,BBBPPPBBB,PBBBPP,3-3-3
PPPBPP,PPPBBBPPP,BPBPPP,3-3-3
BBPBPB,PPPBBBPPP,BPPPBP,3-3-3
PBBPBP,BBBPPPBBB,PPPPPB,3-3-3
BPBPPB,BBBPPPBBB,PPBPBP,3-3-3
PBPBBB,BBBPPPBBB,BPBPPB,3-3-3
PPPPPP,PPPBBBPPP,PBBBPP,3-3-3
PBBPPB,BBBPPPBBB,BBBPBB,3-3-3
PPPPBB,PPPBBBPPP,BPPPPB,3-3-3
BPBBBP,PPPBBBPPP,PPPBPP,3-3-3
PBPPPB,PPPBBBPPP,PBBBPB,3-3-3
BBPBBP,BBBPPPBBB,PBBBBP,3-3-3
BBBBBP,PPPBBBPPP,BBPPBP,3-3-3
PPBBPB,PPPBBBPPP,PPBPBP,3-3-3
PBPPBB,PPPBBBPPP,PBPBBP,3-3-3
PPPBPP,PPPBBBPPP,PPPBPB,3-3-3
BPBPPB,BBBPPPBBB,BPBBBB,3-3-3
BPPBPP,BBBPPPBBB,BBPBBB,3-3-3
BPPPPB,BBBPPPBBB,BPBBPB,3-3-3
BBPBPP,BBBPPPBBB,PBPPBP,3-3-3
BBBBBP,BBBPPPBBB,BBBPPB,3-3-3
BBBBBP,PPPBBBPPP,BPPPPP,3-3-3
BPBPPB,PPPBBBPPP,PPPBPB,3-3-3
BBPPPB,BBBPPPBBB,PBBPBP,3-3-3
PBBPPB,PPPBBBPPP,BBPPPP,3-3-3
BBPBPB,BBBPPPBBB,PBBBBB,3-3-3
BPBBBB,BBBPPPBBB,PBBBBP,3-3-3
PBPBBP,PPPBBBPPP,BPPPPB,3-3-3
BPBBPB,PPPBBBPPP,BBBPPP,3-3-3
BBBPPP,BBBPPPBBB,PBBBBB,3-3-3
BBBBBP,PPPBBBPPP,BPBPBB,3-3-3
BPBPPP,PPPBBBPPP,PBPPBP,3-3-3
BBBBBP,PPPBBBPPP,BBBPPP,3-3-3
BBPBPP,BBBPPPBBB,BPBBPB,3-3-3
PPPPPB,BBBPPPBBB,PBPPPP,3-3-3
BBBPBB,PPPBBBPPP,BPPBBP,3-3-3
PPPBBB,BBBPPPBBB,BPPPPP,3-3-3
BBPPBP,BBBPPPBBB,PPPPBB,3-3-3
BBBBBB,BBBPPPBBB,BPBBBP,3-3-3
BPPBPP,BBBPPPBBB,BPBBBB,3-3-3
BBBPPB,BBBPPPBBB,BBPBPP,3-3-3
BBBPBP,BBBPPPBBB,PPBBPB,3-3-3
BBBPBB,PPPBBBPPP,BBBBBP,3-3-3
BBPBBP,BBBPPPBBB,BPBPBB,3-3-3
PPPBPB,PPPBBBPPP,BBBBPP,3-3-3
BPBPPB,PPPBBBPPP,BBBPBB,3-3-3
PPBBBP,PPPBBBPPP,BPPBPP,3-3-3
BBBPPB,BBBPPPBBB,BBPPPB,3-3-3
BPBBPB,BBBPPPBBB,BPPBPB,3-3-3
PPBPBP,PPPBBBPPP,BPBPBB,3-3-3
PBBBBP,BBBPPPBBB,BBPPBP,3-3-3
PBPPPB,BBBPPPBBB,PPBPBP,3-3-3
BPPBPP,PPPBBBPPP,PBBPBB,3-3-3
BBBBPB,BBBPPPBBB,BPPBBP,3-3-3
PPBBPB,PPPBBBPPP,PPPBPP,3-3-3
BBPBPP,BBBPPPBBB,PBPPPP,3-3-3
PPPBBP,BBBPPPBBB,BBBPBB,3-3-3
BPBPPB,BBBPPPBBB,BBPBPP,3-3-3
BPBBPP,PPPBBBPPP,BPPBPB,3-3-3
PPBBPB,PPPBBBPPP,BPBBPP,3-3-3
BPBPPB,PPPBBBPPP,PBPBBB,3-3-3
BBBBBB,BBBPPPBBB,BPBBPB,3-3-3
PPPBBP,BBBPPPBBB,PPBPBP,3-3-3
BPPBPB,PPPBBBPPP,BBPBBP,3-3-3
PPPBBP,BBBPPPBBB,BPBPBB,3-3-3
BPBBPB,PPPBBBPPP,BBPBPP,3-3-3
PBPPBB,BBBPPPBBB,BBBBBP,3-3-3
PPBBPB,BBBPPPBBB,PPPBPP,3-3-3
BBPPPB,BBBPPPBBB,PBBBBB,3-3-3
BBPPBP,PPPBBBPPP,BPBBBP,3-3-3
PPPBPP,PPPBBBPPP,PBBBBB,3-3-3
PPBPPB,PPPBBBPPP,BPPPPB,3-3-3
BPBPBP,BBBPPPBBB,PPBPBB,3-3-3
PPPBBP,PPPBBBPPP,PPPPPB,3-3-3
PPBBPB,BBBPPPBBB,PBPBBP,3-3-3
PBBPBB,BBBPPPBBB,BPBBBB,3-3-3
BPBPBP,BBBPPPBBB,PBBBBP,3-3-3
PBBBBP,PPPBBBPPP,PPPPBB,3-3-3
BPPBPP,BBBPPPBBB,BBBPBP,3-3-3
PPPPPB,BBBPPPBBB,PBPPBP,3-3-3
PPBPPP,PPPBBBPPP,PBPBBP,3-3-3
BPPBBP,PPPBBBPPP,BPPBBB,3-3-3
PPPPPB,BBBPPPBBB,BPPPPP,3-3-3
BBBPBP,PPPBBBPPP,BPBPBP,3-3-3
BPPBBB,BBBPPPBBB,BBPBPB,3-3-3
BPPBBP,BBBPPPBBB,BBPBBP,3-3-3
BBPBPB,PPPBBBPPP,PPPBBP,3-3-3
PPBPBB,PPPBBBPPP,BPPPBP,3-3-3
BBBBPP,PPPBBBPPP,BPPPBB,3-3-3
BBBBPP,PPPBBBPPP,PBPPBP,3-3-3
PBPPPB,PPPBBBPPP,PPPBBP,3-3-3
BPPPPB,BBBPPPBBB,BPPBPP,3-3-3
BPBBPB,PPPBBBPPP,BPBPBP,3-3-3
BPPBBB,BBBPPPBBB,BPBBPP,3-3-3
PPBPBP,PPPBBBPPP,PPBPPB,3-3-3
PPBBBP,PPPBBBPPP,PBPBBB,3-3-3
PPPPBP,BBBPPPBBB,BPBPPP,3-3-3
PPBPPP,PPPBBBPPP,BPBBBB,3-3-3
BPPPBP,BBBPPPBBB,BBPBBB,3-3-3
PBPPBP,PPPBBBPPP,PBBPPB,3-3-3
PBBPBP,PPPBBBPPP,BPPBPB,3-3-3
