before,pingpong,after,length
BPBPPB,BPBPBPBP,PBPPPP,8
BBBPPP,PBPBPBP,PBBBBB,7
BBBBPB,BPBPBPB,BBPPPP,7
BBBBPB,BPBPBP,PPPBPB,6
BPBPPP,PBPBPB,BBBBBB,6
BPBBBB,BPBPBP,PPBBPB,6
PPPPPB,BPBPBPBP,PBPBBP,8
PPPPBB,BPBPBPBPBPB,BPBPBB,11
BPBBBP,PBPBPBP,PBPBPP,7
BBPPBP,PBPBPB,BBBPPB,6
BPBBBB,BPBPBP,PPPPPB,6
PBPPPP,PBPBPBPBP,PPPPBP,9
PPBBPB,BPBPBPBPB,BBPPBB,9
PBPPBB,BPBPBP,PBPBPP,6
PBPPPP,PBPBPB,BPBBPB,6
BPBPPB,BPBPBPB,BPBBBP,7
BBPBBB,BPBPBPB,BBBBPP,7
BBPBPB,BPBPBP,PBBPPB,6
PPBPBB,BPBPBPBP,PPBBBP,8
PPPBPB,BPBPBP,PBPBBP,6
PBBBBP,PBPBPB,BPBBPB,6
PPBBBB,BPBPBPB,BPPPPP,7
BBBPPP,PBPBPB,BBPBPB,6
BPBPBB,BPBPBPB,BBPBBB,7
PBPBPP,PBPBPB,BPPBPB,6
PBBPPB,BPBPBPBP,PPBPPP,8
PPBPPP,PBPBPB,BBPBBB,6
BBBBBP,PBPBPB,BPBPBB,6
PBBPPP,PBPBPBP,PPPPBB,7
BBPBPB,BPBPBPBPBPBP,PBBPPB,12
BBBPBP,PBPBPB,BBPPBB,6
PPBPBP,PBPBPB,BPPBPB,6
BPPPPP,PBPBPB,BPBBPP,6
BBBBPB,BPBPBP,PBBPPP,6
PBBPBP,PBPBPBPBP,PBPPBB,9
BPBBPB,BPBPBPBPB,BBBPPB,9
BBPBBP,PBPBPBPB,BBPPPB,8
BBPPPP,PBPBPB,BBPBBB,6
BBPBBB,BPBPBPB,BBBPBB,7
PBBBPB,BPBPBPB,BPPPPP,7
BBBBBP,PBPBPB,BBBBBP,6
BPPBBB,BPBPBP,PPPPBB,6
PPBPBB,BPBPBP,PBBPPP,6
BPBPPP,PBPBPB,BPBBBB,6
BPPPPB,BPBPBPBPB,BPBBPB,9
BBBPPB,BPBPBP,PBBBBP,6
PBPPBP,PBPBPBPB,BPPBBP,8
PPBBPB,BPBPBP,PBPPBB,6
BPBBPP,PBPBPBPB,BBBBPP,8
BPPPBB,BPBPBPB,BPPBPP,7
BPBBPB,BPBPBPB,BPBBBB,7
PBPPBB,BPBPBPBPBPBP,PPBPPP,12
PPBBBP,PBPBPB,BPBBBB,6
BPBPPB,BPBPBP,PBBPPP,6
PBBPBP,PBPBPBP,PBBBPP,7
BBBBPP,PBPBPBPBP,PBBPBB,9
BBPBBB,BPBPBP,PPBPPP,6
PPPBPP,PBPBPBPB,BPPBPB,8
PBBBBP,PBPBPBPB,BBBBBB,8
BBBBBP,PBPBPB,BBBBPB,6
BBBPPP,PBPBPB,BBPPBP,6
BPBBPP,PBPBPB,BBBPPB,6
BBBBBP,PBPBPBPB,BBBBPB,8
BBBPPP,PBPBPB,BPPBPP,6
BBBBPP,PBPBPBP,PPBPPB,7
PBBPPB,BPBPBPB,BPPBPB,7
PBBBBP,PBPBPB,BPBBBB,6
PPPPBB,BPBPBPB,BBBBBP,7
BBPBBB,BPBPBP,PBBPBB,6
BPBBBB,BPBPBP,PBBBBB,6
BBBBPP,PBPBPB,BBPBBP,6
BBBBBB,BPBPBP,PPBPPB,6
