before,pp_322_5hit,after,length
BPBPPP,BBPPPBBPPB,PPBBPP,10
PPPPBP,PPBBBPPBBP,PPPBPP,10
PBPPPB,BBPPPBBPPB,PPPPPB,10
BPBPPP,PPBBBPPBBP,BBBPPP,10
PPPBBB,BBPPPBBPPB,BBBBBB,10
BPBPPB,BBPPPBBPPB,BBBPBP,10
PBPPBP,PPBBBPPBBP,PBBPPB,10
BBBPPP,PPBBBPPBBP,BPBPPB,10
PBPPPB,PPBBBPPBBP,BBPPPB,10
BPPBBP,BBPPPBBPPB,BPPPPP,10
BPPBBB,PPBBBPPBBP,PBPPBB,10
BBBPBB,PPBBBPPBBP,BPPBPP,10
BPPBPP,PPBBBPPBBP,BBPBBP,10
PPPBBP,BBPPPBBPPB,BPPBBP,10
BBPPBP,BBPPPBBPPB,BPBBPP,10
BPBPPB,PPBBBPPBBP,PBPPBB,10
BBPPPB,BBPPPBBPPB,PBBBPP,10
BBBPPB,PPBBBPPBBP,PBPPPP,10
PBBPBB,BBPPPBBPPB,PBBPPP,10
PPBPPB,BBPPPBBPPB,BPBBPB,10
BPPPPP,PPBBBPPBBP,PBBBBP,10
BBBPBP,PPBBBPPBBP,PBBPBP,10
PBBBPB,BBPPPBBPPB,PPBPPB,10
PPPBPB,PPBBBPPBBP,BPPPBP,10
PPPBPB,PPBBBPPBBP,BBBBBB,10
BBBPBB,BBPPPBBPPB,PPBBBB,10
PBBPBB,BBPPPBBPPB,BPPBBP,10
BPBPPP,PPBBBPPBBP,BPBBPP,10
PBPPBB,BBPPPBBPPB,BBBPPP,10
BBBBBB,PPBBBPPBBP,PBPBBB,10
BPBPPB,PPBBBPPBBP,PBBBBB,10
BPPPPB,BBPPPBBPPB,PPPPPP,10
BBBBPB,PPBBBPPBBP,BPBPPB,10
BPPPBB,PPBBBPPBBP,PBPPBB,10
BPPPBB,PPBBBPPBBP,PBPPBB,10
PBPPBP,PPBBBPPBBP,BBBPBB,10
PBPPBB,PPBBBPPBBP,BPPBBP,10
BPPBPP,BBPPPBBPPB,PBPPPB,10
BPPBPP,BBPPPBBPPB,BBBBPB,10
