before,pingpong_L,after,length
PBPPBB,BPBPP,BBPBPB,5
PBBPBP,BPBPP,BPPPPB,5
BPBBPP,PBPBB,PPPPBP,5
BPBBBB,BPBPP,BPBPPB,5
BBPBPP,BPBPP,BPBBPB,5
BPPBPB,BPBPP,BPBBPB,5
BPBBPB,BPBPP,PPBBBP,5
PPPPBP,BPBPP,BBBBBP,5
BBPPBB,PBPBB,BBBBBB,5
BPBBPB,PBPBB,BPPPPB,5
BBPBBP,BPBPP,PPBPBP,5
BPPPPB,PBPBB,BBBBBB,5
BBBBBB,PBPBB,BBPBBP,5
PPPPPB,BPBPP,BBPPBP,5
BBBBBP,BPBPP,PBBPBP,5
BPPPBB,PBPBB,BPPPBB,5
BBBBPP,BPBPP,PBPBPP,5
BPBPPP,BPBPP,PBBBPB,5
PBBPBP,BPBPP,BPBBPP,5
BPPBPP,PBPBB,BBBPPB,5
PPBBPP,BPBPP,PBBPPP,5
PBBBBB,PBPBB,BPBBBP,5
BBPPBB,BPBPP,BBBPPB,5
BPPPBB,BPBPP,BPBBBB,5
BBBBBB,BPBPP,PPPBBB,5
PBPBPB,PBPBB,PBPBBP,5
BPBPBB,PBPBB,PPPBPP,5
PBPPBP,BPBPP,PPBBBB,5
PPBBBB,PBPBB,BPBPPB,5
BPBPBB,BPBPP,BPBBBP,5
BBPPBP,BPBPP,BPBPPB,5
PPPBBB,BPBPP,PPPBPP,5
BPPBBP,PBPBB,BBPBBP,5
BPPBBB,PBPBB,PBPBBP,5
BPBPBB,PBPBB,PPPPPB,5
PPPPPB,BPBPP,BBPBBP,5
BBBPPP,BPBPP,BBPPBP,5
PPBPPB,PBPBB,BBPPBP,5
BPPPPP,PBPBB,PBPBBP,5
PPBPBB,PBPBB,PPPBPB,5
BPBBPP,PBPBB,BBBPPP,5
PPBBPP,BPBPP,PBBPPP,5
PPBPBB,PBPBB,PPPBPP,5
BPPPBP,PBPBB,BBPBPB,5
BPBBBB,PBPBB,PBPPBP,5
PPBPPP,PBPBB,BPPPBP,5
PPBBBP,PBPBB,BBPPBB,5
PPBBBP,PBPBB,PBPBPP,5
BBBBBP,BPBPP,PPPPBB,5
BBBBPB,BPBPP,PBPPBP,5
BPPPBP,PBPBB,BPBPPB,5
PPBPBB,BPBPP,BBBBBP,5
PBBBBB,PBPBB,PBPPBP,5
PBPPBP,PBPBB,BPPPBB,5
PPBPBP,BPBPP,PPPBPP,5
PPPBPP,BPBPP,PPBBBB,5
BPPPBB,BPBPP,BBPBBP,5
BBPBPB,PBPBB,BPPBBB,5
BBPBBP,PBPBB,PBPBBP,5
PPBPBB,PBPBB,PPBPBB,5
PBPBBP,PBPBB,BPBBPP,5
PPBBBP,BPBPP,BPBPPP,5
PBPBPP,BPBPP,PBPBBP,5
PBPBPP,PBPBB,PPPBBB,5
PBBPPB,BPBPP,BPPBPP,5
BPPPBB,BPBPP,PPPBPB,5
PPPPPB,PBPBB,PBBPBP,5
BPBBPB,BPBPP,BBPBPB,5
PPBBPB,PBPBB,PBBBPP,5
BBBBPB,PBPBB,BBBPPB,5
BBPBBB,PBPBB,PBPBPP,5
PBPBBP,BPBPP,BBPPBP,5
PPBBPP,BPBPP,BBPBPB,5
PBPPBB,PBPBB,PPBBBB,5
PPBBPP,PBPBB,BPBPBP,5
BBBPBP,BPBPP,PBBBPP,5
PBPBBP,BPBPP,BPBBPP,5
BPBBPP,PBPBB,BBPPBP,5
BBBPPB,PBPBB,PBBPBP,5
BPBBPB,BPBPP,BPPPPP,5
BPPPPB,BPBPP,PBPBBB,5
BBPBPP,PBPBB,BPPBBB,5
BBBBPB,PBPBB,PPPPPP,5
PPBPPP,BPBPP,PBPBBB,5
PBPBPP,PBPBB,BPPPPB,5
BPPPPB,PBPBB,BPBPBP,5
PBBBPB,PBPBB,BPBBBB,5
BPBBBB,BPBPP,BPPBPP,5
PBPPBP,PBPBB,BBBPBP,5
PBBPPB,BPBPP,PPBBPB,5
PBBPBB,PBPBB,BPBBBP,5
BBPPBB,PBPBB,BPPPPP,5
PBBPBB,PBPBB,PPBPBB,5
PBPBBP,PBPBB,PPBPPP,5
PBPPPP,BPBPP,PBPBPB,5
PBPPPB,PBPBB,PPBPBB,5
PBBBPP,BPBPP,PBBBBP,5
PPPBBB,BPBPP,PBPBBP,5
BBPBPP,PBPBB,PPBBPP,5
PBBPBP,BPBPP,PBPPPB,5
BPPPPB,PBPBB,BPBBBB,5
BBBPBB,BPBPP,BBPPBB,5
BBBPPB,PBPBB,PBPBBP,5
BPBPBB,PBPBB,PPPBBP,5
PPPPBP,BPBPP,PPPBBB,5
BPPBBB,PBPBB,BBBBBP,5
BBBBBB,PBPBB,BPPPBB,5
PPPPBB,PBPBB,PPBBBB,5
BBBPPP,BPBPP,BPPPBB,5
BPPBBB,PBPBB,PPBBPP,5
BBPPBB,PBPBB,PBPBPB,5
BPBPBP,BPBPP,BBPPBB,5
BBBBBB,PBPBB,PPPBBB,5
PPPBBB,BPBPP,BBPPPB,5
BBBBBB,BPBPP,PPBPBP,5
PPBBBB,PBPBB,BPBBPP,5
PPPBBB,BPBPP,BPBPBB,5
BPBPPB,PBPBB,BPPBBB,5
BBBPPP,PBPBB,PBBBPP,5
BBPPPP,PBPBB,BPBBBP,5
PPBBBB,PBPBB,PPBBBB,5
BPPBBB,BPBPP,BPBBPP,5
PBBBPP,PBPBB,PPBBPP,5
PPBPPP,BPBPP,BPBPBB,5
BPBPPB,PBPBB,PPBPBB,5
PBPBBP,PBPBB,BPPPPP,5
PPPPPB,PBPBB,PBBPPB,5
BBPBBP,PBPBB,BPBBBB,5
PBBBBB,BPBPP,BBBPBP,5
BPPBBB,PBPBB,PBBBBB,5
BBBPBB,BPBPP,BBBBPB,5
BBPBBP,BPBPP,BBPPPB,5
BBBBPP,BPBPP,PBBBBP,5
BBBBPB,BPBPP,BPBPBP,5
PPBPBP,BPBPP,BPPBBB,5
BPPBBB,BPBPP,PPPPPB,5
PPPBBP,PBPBB,PBBPBP,5
PPBPBB,PBPBB,PBPPBP,5
BPPBBB,PBPBB,BPBPPP,5
BPBPBB,BPBPP,PPBBPP,5
BBPBPB,PBPBB,BBPPBB,5
BPPBPP,PBPBB,BPPPPP,5
BPPPPP,BPBPP,BPBBBP,5
PPPPBB,BPBPP,PBBPPB,5
PPPBBP,PBPBB,PBBBPP,5
PPBBPP,BPBPP,PPPBPB,5
PBPPPP,PBPBB,BPBPBB,5
PBPBBB,PBPBB,BPPPBP,5
BPPBPB,PBPBB,BPPPBB,5
PPPPPB,PBPBB,BPBBBB,5
PPPBBB,PBPBB,PPPBPP,5
PPBBPP,PBPBB,PBPPBB,5
BBBBPB,PBPBB,BBPBBP,5
BBPBBP,PBPBB,PPBPPB,5
PBBPPP,PBPBB,PPBBBB,5
PPBPPB,PBPBB,PBBBBB,5
BBBPPP,PBPBB,BBBBBP,5
BPPBPP,BPBPP,BPPBPB,5
BBBBBP,PBPBB,BPBBPP,5
BPBBPB,PBPBB,PPPPPB,5
PPBPPP,PBPBB,BBBBBP,5
PBBPBB,BPBPP,BPPBBB,5
PPBBBB,BPBPP,BPBBBP,5
BBBPPB,PBPBB,BBBBPP,5
PBBBBP,BPBPP,PPPBBB,5
PPPPBB,BPBPP,PBPBPB,5
BPBBBP,BPBPP,BBPPPP,5
BBBPPP,BPBPP,PPBPBP,5
BPPPPB,PBPBB,PBBBBP,5
BBPBBB,BPBPP,PPPBBB,5
PPPPBB,BPBPP,PPBPPB,5
BBBBBB,BPBPP,BBPPBP,5
BPPBPB,PBPBB,BBPBBP,5
BBPPPP,BPBPP,BBPPPP,5
PBBPPP,PBPBB,PPPPBB,5
BBPBPB,PBPBB,PBBPBP,5
BBBBPP,BPBPP,BBBPPB,5
PPBBBP,PBPBB,BBPPPP,5
BBBBBP,BPBPP,BPBBPP,5
BPPBBP,BPBPP,BBBBPP,5
PPBPPP,PBPBB,BPBPBB,5
PBPBBB,PBPBB,BBBPPP,5
BBBPPP,PBPBB,PPPBPB,5
BPBBPP,PBPBB,BBBPBB,5
BPPBPB,PBPBB,PPBBPP,5
BBPBBP,BPBPP,BPPBBB,5
BBPPPB,PBPBB,PBBBBP,5
PPBBPP,PBPBB,PPBPBB,5
PBPBBP,PBPBB,PBPBBP,5
PPBPBB,PBPBB,PPPBPB,5
PPPBPB,PBPBB,BBBPPP,5
BPPPBP,PBPBB,PBBBBB,5
BBBBPP,PBPBB,PPPPPB,5
PBBBPB,PBPBB,PPBPPP,5
PPPBBB,PBPBB,BPPPBP,5
BBBPPP,BPBPP,PPPPPP,5
BBBBBP,BPBPP,BBBPPB,5
BBPPBB,BPBPP,PPBBPP,5
PBBPPP,PBPBB,PBBPBP,5
BPBBPB,PBPBB,PBBBBB,5
BBBPBB,PBPBB,PPPPBP,5
BPBPBP,BPBPP,PBPPPB,5
BBBPBB,BPBPP,BPBBPP,5
BPPBBB,PBPBB,PPPBPB,5
BBBPPB,PBPBB,PBBBBP,5
BBPBBB,BPBPP,BBPBPB,5
BPPBBP,BPBPP,BBPPPP,5
PPBBPB,BPBPP,BBBBBP,5
BBBPPP,BPBPP,BBPPPP,5
BBPPPP,BPBPP,PBBPPB,5
PPPPPB,BPBPP,BPBPBP,5
PBPPBP,BPBPP,BBBPPB,5
PPBPBP,BPBPP,BBPBBP,5
BBPBBB,PBPBB,BPPBBB,5
PBBPPP,BPBPP,BBPPBB,5
BPBBBB,PBPBB,BPPBBB,5
BBBPBB,PBPBB,BPBBBP,5
BBBPBB,BPBPP,BBBPBP,5
PBPPBB,BPBPP,BBBBBB,5
BBPPBB,BPBPP,BPPPBP,5
BBPPPP,BPBPP,PPPBBP,5
PPPPBB,PBPBB,BBPPPP,5
BPBBPP,BPBPP,BBPPPP,5
PPPPBB,PBPBB,BBBPBB,5
PPBPPP,BPBPP,PPBPBB,5
BPBPPP,PBPBB,PBBBBP,5
PBBBBP,BPBPP,PBPPPB,5
PPPBPB,PBPBB,PPBPBP,5
BPBBPP,BPBPP,PBPBBB,5
BBBPPP,PBPBB,PBBPPP,5
BPPBPB,PBPBB,BBBBBB,5
PBPBBP,PBPBB,BBBPPP,5
BBPBBB,BPBPP,PPBBBP,5
PPBBPP,BPBPP,BBBBBB,5
BBBPPB,PBPBB,BBBPBP,5
BPBBBB,BPBPP,BBPPPP,5
BPPPPB,PBPBB,BPPBPB,5
BPBBBP,PBPBB,PPBBBP,5
BPPBBB,PBPBB,BBBBBB,5
BBBBBB,PBPBB,BPBPPP,5
BPBPBB,BPBPP,PBBBPP,5
PPBBBP,PBPBB,BBBPPB,5
PPBBPB,BPBPP,BPBPPP,5
BBPBPP,BPBPP,PBBPPB,5
BBPPPB,PBPBB,BBPPBB,5
BBBBPP,BPBPP,PBBBPP,5
BBBPPP,BPBPP,BPBPPP,5
BPPBPB,PBPBB,BBBPBB,5
BBPBBP,PBPBB,BPPBPB,5
BPPPPB,PBPBB,PPBPPP,5
BPPPPP,PBPBB,BBBBPP,5
BBBBBP,PBPBB,BPPBBB,5
BPPPBP,BPBPP,PBPPBB,5
PBPPBP,PBPBB,BBBBBB,5
PBPPBB,PBPBB,PBBBPB,5
PPBBPB,PBPBB,PPBPBB,5
PBPBBP,PBPBB,PPPPBP,5
BBPPPP,BPBPP,PPPPBP,5
BBBPPB,PBPBB,PBBBBB,5
BPPBBB,PBPBB,PBPPPB,5
BPPBBP,PBPBB,PBBBPB,5
PPPPBB,PBPBB,PBPPPP,5
PBBBPB,PBPBB,BBBBPP,5
PPBBBB,PBPBB,BBPPPP,5
PBBBBP,BPBPP,BBPBBB,5
PPPPBP,PBPBB,BBBBPP,5
BBPPPP,PBPBB,BBBPBP,5
BBBBBP,BPBPP,BBBBBP,5
BBPBBB,BPBPP,BBBPPB,5
PBBBPP,BPBPP,PPBPBB,5
BPBPPP,PBPBB,BPBBBB,5
BBPPBP,PBPBB,BBPBBB,5
BBPPPB,PBPBB,BPBBPB,5
PBBPPP,BPBPP,BPPBPB,5
PBPPBP,PBPBB,BBPPBB,5
PBBBPP,BPBPP,PBBBBB,5
BBBBBP,BPBPP,PBPPBB,5
PBPPBB,BPBPP,BBBPPB,5
BPPBPP,PBPBB,BPPBPB,5
BPBBBP,PBPBB,PBBBPP,5
PPBBBB,BPBPP,PBPBBB,5
BBPBPP,PBPBB,BPPPPP,5
PPBBBP,BPBPP,PBPPPB,5
PPBPPP,BPBPP,PPPBPB,5
BPPPPP,BPBPP,PPBBPP,5
PBBPBB,BPBPP,BPBBPB,5
BPBBPB,BPBPP,BPBPPP,5
BBPBPP,BPBPP,PBPBPP,5
BPBPPP,BPBPP,PBBBPB,5
BPBBPP,PBPBB,PBBPBB,5
PPPPBP,BPBPP,PBPPBP,5
BPPPPB,PBPBB,PPBBBB,5
PBBBBB,PBPBB,PBBBPP,5
BPBBBP,PBPBB,BBBBBP,5
BPPPPP,PBPBB,BPPPBB,5
PPPPBB,BPBPP,PPBPPP,5
PPPPPB,PBPBB,BPPBBP,5
BPPPBP,BPBPP,BBBPPP,5
PPBPPB,BPBPP,BPBBPP,5
BBBPPB,BPBPP,PPBPBB,5
BPBPPP,PBPBB,PPBBPP,5
BBBPPB,BPBPP,PBPPPP,5
BPPPBP,BPBPP,BBPPBB,5
PPBBBP,PBPBB,BBPPBP,5
BBBBPP,BPBPP,BBBPPP,5
PPPBBP,BPBPP,BBBBPP,5
PPPBPP,PBPBB,BBBBPP,5
PBPPPB,PBPBB,PBBBBP,5
PPPPBP,PBPBB,PPPPPP,5
PPPPBB,PBPBB,PBPBBP,5
BPBPBB,PBPBB,PPBBBP,5
BBPBBP,BPBPP,PBBBBP,5
PBBBBP,BPBPP,PBBPBB,5
BPBBBB,BPBPP,PPBBBP,5
BBBPBP,BPBPP,PPPBBP,5
PPPPPB,BPBPP,BBBPBB,5
BBBPPB,BPBPP,BPPPPP,5
BBPBBP,PBPBB,BBBBBB,5
BBPBBP,PBPBB,PPBPBB,5
PBPBBP,PBPBB,PBBBPB,5
PBBPBB,BPBPP,BPBPPP,5
BBBBBP,BPBPP,BBBBBP,5
BBBBBP,BPBPP,PPPBBP,5
PPPBBP,BPBPP,PPBBPB,5
BBPPBB,PBPBB,PPBBBB,5
BBBPPP,PBPBB,BPBBBB,5
PBBBBP,BPBPP,BBBBPB,5
BPPBBB,BPBPP,PPBBPB,5
PBBPPB,BPBPP,PPPPPB,5
PPPPPP,PBPBB,BBPPPB,5
BBBPPB,PBPBB,PBBBBP,5
PPPBPP,PBPBB,PBPBBB,5
PPBPBB,PBPBB,BBBPPB,5
PPPPBP,PBPBB,PBBPBB,5
PBPPPB,BPBPP,BPPPPB,5
PBBPBB,PBPBB,PBBBBB,5
BBPPBP,BPBPP,PPPPPB,5
PBBBPB,BPBPP,BPBPPB,5
BBPBPP,BPBPP,BBPPPB,5
PBBPPP,PBPBB,BBBPPP,5
BPBPPP,BPBPP,BBPPBB,5
PPPPBB,PBPBB,PBBPPB,5
PBBBPP,PBPBB,BBPPPP,5
BBBBPP,BPBPP,PBPBPP,5
BPBPPP,BPBPP,BPPBBP,5
PPBPPB,BPBPP,PBBBPB,5
PPPPBB,BPBPP,BBPBPB,5
PBBPBP,BPBPP,PBPBPP,5
PPPBPB,PBPBB,PBBBBB,5
PBBPPB,BPBPP,PPPBBB,5
BPBBBP,BPBPP,PPBBPP,5
PPBBBP,PBPBB,BPBBBB,5
PBPPPB,PBPBB,PPPPBB,5
PBBBPP,PBPBB,PBBPPB,5
BBPPBP,BPBPP,BBBBPB,5
BPPBBB,BPBPP,PBBBPB,5
BBBPBP,BPBPP,BBPBBB,5
BBPPPP,BPBPP,BBBPPP,5
PBBBPP,PBPBB,BBBBBB,5
