before,pingpong_tikhu,after,repeat,length
PPPBBB,BBPPBBPP,BBPBBP,2,8
PBPBBB,BBPPBBPP,BPPPPB,2,8
PBPPPB,BBPPBBPP,PPBPPP,2,8
BPPPBP,BBPPBBPP,BBBBBP,2,8
BBBPPP,PPBBPPBB,PBPBPB,2,8
PPBPPB,PPBBPPBB,PBBPPP,2,8
PBBBPB,PPBBPPBBPPBB,BPPPBB,3,12
BBBPBP,BBPPBBPP,BBPBPB,2,8
PBPBPB,PPBBPPBB,PBPPPB,2,8
BBBBBP,PPBBPPBB,BBBBBB,2,8
PPBBBP,PPBBPPBB,BBPBPB,2,8
BPPPBP,BBPPBBPP,BPPBPP,2,8
BPBBPB,BBPPBBPP,BPBPPP,2,8
PBBBBB,BBPPBBPP,BPPBPP,2,8
BPBPBP,BBPPBBPP,BBPBBP,2,8
BBBPBB,BBPPBBPP,PBPBBP,2,8
BBPPBB,BBPPBBPP,PPPPBP,2,8
PPPBPB,PPBBPPBB,BBBPBB,2,8
BBBBBB,BBPPBBPP,PPBBBB,2,8
BBBBPB,BBPPBBPP,BPBBPB,2,8
PBPPPP,PPBBPPBB,PBBBBP,2,8
BBBPPB,BBPPBBPP,BPPBBB,2,8
PPPPBP,BBPPBBPP,PBBPBB,2,8
PBPBPB,PPBBPPBB,BPPBPB,2,8
PPPBPB,PPBBPPBB,PPPBBB,2,8
PPPPBB,BBPPBBPP,PBPBPB,2,8
BBBBBP,BBPPBBPP,BBPBPP,2,8
BPBBPP,PPBBPPBB,BPPPBP,2,8
PPPBBP,BBPPBBPPBBPP,PPBBPP,3,12
BBPBBP,PPBBPPBBPPBB,PBPPBB,3,12
PBPBBP,PPBBPPBB,PBBPPP,2,8
PBBBPB,BBPPBBPP,PBBBPB,2,8
BPBPBP,BBPPBBPP,BPPBBP,2,8
BBBBBP,BBPPBBPP,BPPPPP,2,8
BBBPPB,PPBBPPBB,BPPPPP,2,8
PBPBPP,PPBBPPBB,BPBBBB,2,8
BBBPBB,BBPPBBPP,BPBPPP,2,8
BPBBPP,PPBBPPBBPPBB,BBBPPB,3,12
BPPBPB,BBPPBBPP,BBPBPB,2,8
BPBPPP,PPBBPPBB,PBBPPP,2,8
BBBBPP,PPBBPPBB,PPPPPB,2,8
PPBPPB,BBPPBBPP,BPPBBB,2,8
PPPPPB,PPBBPPBB,PPBPPP,2,8
PBPPPB,PPBBPPBB,BPBBBB,2,8
BBBBBP,BBPPBBPP,PPPPPP,2,8
