before,flip_trigger,after,length,flip_to
BPBBPB,BPBPPP,PBBBPP,6,P
BBPPBB,PBPBBB,BBBBBP,6,B
BPBBPB,PBPBBB,PPPPBB,6,B
BBPBBP,BPBPPP,PBPBPB,6,P
BPPPPB,PBPBBB,BBBBBP,6,B
BBBBBB,PBPBBB,BPBBPP,6,B
BBBBBP,BPBPPP,BBPBPB,6,P
BPPPBB,PBPBBB,PPPBBP,6,B
BBBBPP,BPBPPP,BPBPPP,6,P
BPBPPP,BPBPPP,BBBPBB,6,P
BPPBPP,PBPBBB,BBPPBB,6,B
PPBBPP,BPBPPP,BBPPPP,6,P
PBBBBB,PBPBBB,PBBBPP,6,B
BBBPBP,PBPBBB,BBBBPB,6,B
BBBBBB,BPBPPP,PPBBBP,6,P
PBPPBP,BPBPPP,PBBBBB,6,P
PPBBBB,PBPBBB,PBPPBP,6,B
BBBPBP,PBPBBB,PPBPBP,6,B
PPPBBB,BPBPPP,PPBPPB,6,P
BPPBBP,PBPBBB,BPBBPB,6,B
PPBPPB,PBPBBB,BPPBPP,6,B
BPBBPP,PBPBBB,BBPPPP,6,B
PPBBPP,BPBPPP,BBPPPB,6,P
BPPPBP,PBPBBB,BPBPBB,6,B
PPBPPP,PBPBBB,PPPBPP,6,B
PPBBBP,PBPBBB,BPPBBB,6,B
BBBBBP,BPBPPP,PPPBBB,6,P
BBBBPB,BPBPPP,BPPBPB,6,P
BPPPBP,PBPBBB,PBPPBB,6,B
PBPPBP,PBPBBB,PPPBBP,6,B
PPBPBP,BPBPPP,PPBPPB,6,P
PPPBPP,BPBPPP,PBBBBB,6,P
PBPBBP,PBPBBB,PBBPPP,6,B
PBPBPP,BPBPPP,BPBBPP,6,P
BPPPBB,BPBPPP,PPBPBP,6,P
BBBBPB,PBPBBB,BBPPBB,6,B
PPBBPP,PBPBBB,PBPBPB,6,B
BBBPBP,BPBPPP,BBBPPB,6,P
BPBBPP,PBPBBB,BPPBPB,6,B
BPPPPB,BPBPPP,BPBBBP,6,P
BBPBPP,PBPBBB,PPBBBB,6,B
PPBPPP,BPBPPP,BPBBBP,6,P
PBPBPP,PBPBBB,PPPPBP,6,B
BPPPPB,PBPBBB,PBPBPB,6,B
PBBBPB,PBPBBB,PBBBBB,6,B
PBPPBP,PBPBBB,BBPBPB,6,B
PBBPPB,BPBPPP,PBBPBB,6,P
PBBPBB,PBPBBB,PBBBPP,6,B
BBPPBB,PBPBBB,PPPPPP,6,B
PBPPPP,BPBPPP,BPBPBB,6,P
PBBBPP,BPBPPP,BBBBPB,6,P
PPPBBB,BPBPPP,BPBBPP,6,P
PBBPBP,BPBPPP,BPPPBB,6,P
BPPPPB,PBPBBB,PBBBBB,6,B
PPPPBP,BPBPPP,PPBBBP,6,P
BPPBBB,PBPBBB,BBBBPB,6,B
BBBBBB,PBPBBB,PPPBBB,6,B
BBBBBB,BPBPPP,PBPBPB,6,P
PPBBBB,PBPBBB,PBBPPP,6,B
BPBPPB,PBPBBB,PPBBBB,6,B
BBPPPP,PBPBBB,PBBBPP,6,B
PBPBBP,PBPBBB,PPPPPP,6,B
BBPBBP,PBPBBB,PBBBBB,6,B
BBBBPP,BPBPPP,BBBBPB,6,P
BPPBBB,BPBPPP,PPPPBB,6,P
BPPBBB,PBPBBB,PBPPPP,6,B
BPBPBB,BPBPPP,PBBPPB,6,P
BBPBPB,PBPBBB,BPPBBB,6,B
BPPBPP,PBPBBB,PPPPPB,6,B
PPBPBP,PBPBBB,PBBBBB,6,B
PPPPBB,BPBPPP,BBPPBP,6,P
PPBBPP,BPBPPP,PPBPBB,6,P
PBPPPP,PBPBBB,PBPBBB,6,B
PBPBBB,PBPBBB,PPPBPP,6,B
BPPBPB,PBPBBB,PPPBBB,6,B
PPPPPB,PBPBBB,PBBBBB,6,B
BBBBPB,PBPBBB,BPBBPP,6,B
BBBPPP,PBPBBB,BBBBPP,6,B
BBBBBP,PBPBBB,PBBPPB,6,B
PPBPPP,PBPBBB,BBBBPP,6,B
BBBPBP,PBPBBB,PBBPBB,6,B
BBBPPB,PBPBBB,BBBPPB,6,B
PBBBBP,BPBPPP,PPBBBP,6,P
BBBPPP,BPBPPP,PBPBPB,6,P
BBPBBB,BPBPPP,PPBBBP,6,P
PPPPBB,BPBPPP,PBPPBP,6,P
BPPBPB,PBPBBB,BPBBPP,6,B
PPBBBP,PBPBBB,BPPPPB,6,B
PPBPPP,PBPBBB,PBPBBB,6,B
PBPBBB,PBPBBB,BBPPPP,6,B
BPBBPP,PBPBBB,BBPBBP,6,B
PPPBBB,PBPBBB,PPPBPB,6,B
BBBPPP,BPBPPP,PPPPPP,6,P
BBPPBB,BPBPPP,PBBPPP,6,P
BPBPBP,BPBPPP,BPPPBP,6,P
BBPPPP,BPBPPP,BBPPBP,6,P
BBPBBB,PBPBBB,PPBBBB,6,B
BPBBBB,PBPBBB,PPBBBB,6,B
BBBPBB,PBPBBB,PBBBPB,6,B
BBPPPP,BPBPPP,PPBBPB,6,P
PPPPBB,PBPBBB,BPPPPP,6,B
PPPPBB,PBPBBB,BBPBBB,6,B
PPBPPP,BPBPPP,PBPBBP,6,P
PBBBBP,BPBPPP,BPPPBP,6,P
BPBBPP,BPBPPP,BPBBBP,6,P
BPPBPB,PBPBBB,BBBBBB,6,B
PBPBBP,PBPBBB,BBPPPP,6,B
BBPBBB,BPBPPP,PBBBPB,6,P
BBBPPB,PBPBBB,BBPBPP,6,B
BPPPPB,PBPBBB,PPBPBB,6,B
BPPBBB,PBPBBB,BBBBBP,6,B
BBBBBB,PBPBBB,PBPPPB,6,B
BPBPBB,BPBPPP,BBBPPB,6,P
PPBBBP,PBPBBB,BBPPBB,6,B
BBPBPP,BPBPPP,BBPPBB,6,P
BBPPPB,PBPBBB,BPPBBB,6,B
BBBBPP,BPBPPP,BBBPPP,6,P
BPPBPB,PBPBBB,BBPBBP,6,B
BBPBBP,PBPBBB,PPBPBP,6,B
BPPPPP,PBPBBB,BBBPPB,6,B
BBBBBP,PBPBBB,PPBBBB,6,B
BPPPBP,BPBPPP,BPPBBB,6,P
PBPPBP,PBPBBB,BBBBBB,6,B
BBPPPP,BPBPPP,PPPBPB,6,P
BBPBPB,BPBPPP,BBBBPB,6,P
BBPBPB,BPBPPP,PPBPPP,6,P
PBBBPB,PBPBBB,BBBPPP,6,B
PPBBBB,PBPBBB,BPPPPB,6,B
PPPPBP,PBPBBB,BBBPPB,6,B
BBPPPP,PBPBBB,BBPBPB,6,B
PBBBPP,BPBPPP,PBPBBB,6,P
BPBPPP,PBPBBB,PBBBBB,6,B
BBPPBP,PBPBBB,BPBBBB,6,B
BBPPPB,PBPBBB,PBBPBB,6,B
PBPPBP,PBPBBB,BPPBBB,6,B
PBBBPP,BPBPPP,BBBBBB,6,P
BBBBBP,BPBPPP,BPPBBB,6,P
BPPBPP,PBPBBB,PPBPBB,6,B
PPBBBB,BPBPPP,BPBBBP,6,P
BBPBPP,PBPBBB,PPPPPB,6,B
PPBBBP,BPBPPP,BPPPBP,6,P
PPBPPP,BPBPPP,PPBPBP,6,P
BPPPPP,BPBPPP,PBBPPB,6,P
BBPBPP,BPBPPP,BPBPPP,6,P
PPPPBP,BPBPPP,BPPBPP,6,P
BPBBBP,PBPBBB,BBBBPB,6,B
BPPPPP,PBPBBB,PPPBBP,6,B
PPPPBB,BPBPPP,PBPPPP,6,P
PPPPPB,PBPBBB,PPBBPB,6,B
BBBPPB,BPBPPP,PBPBBP,6,P
BBBPPB,BPBPPP,BPPPPB,6,P
PPBBBP,PBPBBB,BPPBPB,6,B
PPPBPP,PBPBBB,BBBPPB,6,B
BBPBBP,BPBPPP,BBBBPB,6,P
PBBBBP,BPBPPP,BBPBBB,6,P
BPBBBB,BPBPPP,PBBBPB,6,P
BBBPBP,BPBPPP,PPBBPB,6,P
BBPBBP,PBPBBB,BBBBBP,6,B
BBBBBP,BPBPPP,PPBBPB,6,P
PPPBBP,BPBPPP,PBBPBP,6,P
BBBPPP,PBPBBB,PBBBBB,6,B
BPPBBB,BPBPPP,PBBPBB,6,P
PBBPPB,BPBPPP,PPPPBP,6,P
PPPPPP,PBPBBB,BPPPBB,6,B
PPBPBB,PBPBBB,BBPPBB,6,B
PBBPPP,PBPBBB,BBPPPP,6,B
PBBBPP,PBPBBB,BPPPPP,6,B
BBBBPP,BPBPPP,BPBPPB,6,P
PPBPPB,BPBPPP,BBBPBP,6,P
PBBPBP,BPBPPP,BPBPPB,6,P
PBBPPB,BPBPPP,PPBBBP,6,P
BPBBBP,BPBPPP,PBBPPP,6,P
PPBBBP,PBPBBB,PBBBBB,6,B
BPPBBB,BPBPPP,BBBPBB,6,P
PBBBPP,PBPBBB,BBBBBB,6,B
BPBBPP,BPBPPP,BBBBPP,6,P
BPBBPP,BPBPPP,BBBPPP,6,P
PPPPPP,BPBPPP,BBPBBP,6,P
PPPBBP,BPBPPP,BPPPPP,6,P
BPBPBB,PBPBBB,BPPPPP,6,B
BPBPBP,BPBPPP,BPBPBB,6,P
PBPPPB,PBPBBB,PBPBPB,6,B
BBBPBB,BPBPPP,PPBBBB,6,P
BBBBBP,BPBPPP,BBBBBB,6,P
BBBPBB,BPBPPP,BPBPPP,6,P
BPBPPP,BPBPPP,PBBPPP,6,P
BBPPPB,PBPBBB,PPPBBP,6,B
BBPPBB,PBPBBB,PBPBBB,6,B
PBPBBB,PBPBBB,PPBPBP,6,B
PPPBBB,BPBPPP,PBPBPP,6,P
PBPPBB,PBPBBB,PBBPBB,6,B
