before,pingpong_tie,after,length,tie_position
BPBBPP,PBPBT,BPTPPP,5,58
BPPPTP,BPBPT,BPPBBB,5,49
PBPBBB,BTBTT,PBPBPP,5,11
PPPBBP,BPBPT,BPPBPB,5,51
PPPBBP,PBPBT,PPPBBP,5,45
TPPBPB,BPBPT,BTBPPB,5,48
PBPBPP,BPBPT,PPBPBB,5,24
BPPPBP,BPBPT,PPTBBP,5,63
BPBBPB,BPBPT,PBPPPP,5,48
PBBBBB,PBPBT,PBBPPP,5,31
BPBBBP,BPBPT,BBBPBB,5,34
PPPTPB,PBPBT,BBPBBB,5,25
BBBPPB,PBPBT,BPBTPB,5,18
BBBBBB,BPBPT,BBBPPP,5,41
PBBPBP,BPBPT,BPBPPB,5,44
TBBBBB,PBPBT,BPTPPB,5,20
PPPBPB,PBPBT,PBPBTB,5,51
BPBPBT,PBPBT,BTBBTP,5,56
BPBPPB,PBPBT,BPPBPB,5,18
BPPPPP,PBPBT,PTTBBP,5,36
BBBPBB,BPBPT,PBBBBP,5,15
BBPBPP,BPBPT,BPTBTP,5,20
PPPPTP,BPBPT,PBPBBB,5,25
TBPPPP,PBPBT,PBBBPB,5,19
PBPPBT,PBPBT,BPBBBB,5,11
BPPBPP,BPBPT,TPBPTP,5,46
PBBBBP,BPBPT,PPPPBB,5,52
PPPTBB,PBPBT,PTBPBB,5,49
BBBPPB,BPBPT,BPPBBB,5,45
PPBBPB,BPBPT,TBTPPB,5,45
PPBBBP,BPBPT,BBPPBP,5,23
BPPPBB,BPBPT,BBBPPP,5,38
BBPPBB,BPBPT,PPPTBT,5,25
PBPBPB,PBPBT,PPPBPP,5,35
BPPPBT,PBPBT,PBPPBB,5,15
PPPBPP,PBPBT,PBPBBP,5,44
PBPBBP,PBPBT,TBBBBP,5,10
PTPTPB,PBPBT,BTBBPP,5,22
BBTPPP,PBPBT,PTBBPP,5,14
BBPPBP,TPTPT,PBPPPB,5,27
BPPPBP,BPBPT,PPBPPB,5,38
BBPBBP,PTPTT,PBPPBB,5,40
PBBBPB,PBPBT,BBBBTB,5,21
PBPPBP,PBPBT,BBBPPT,5,48
PPBPPT,PBPBT,PPPPPB,5,34
PBPTBP,TPTPT,BPBPPP,5,51
BPPPPP,BPBPT,BPPPBT,5,44
TBBTBB,PBPBT,BPBBBP,5,47
PPBPPP,BPBPT,BPPBBB,5,22
PTBPPP,PBPBT,BPPBBP,5,22
BPBPPP,PTPTT,BBPBPP,5,32
BTPBPB,PBPBT,BPPBBP,5,10
BPTBTB,PBPBT,TBBBBP,5,45
BBTPBP,PBPBT,PPBBPP,5,16
BBBTBP,PBPBT,TPPTPB,5,32
BTTPPT,PBPBT,PPBPPB,5,41
BPPPBP,BPBPT,BBPBBB,5,22
PBBPPB,BPBPT,PPTPPB,5,50
BPTBBB,PBPBT,PPPPTB,5,24
PTBBBP,BPBPT,BPTTPB,5,38
PBBPPP,PBPBT,TPPBBB,5,14
PBPPPB,BTBTT,PPTPPP,5,25
PBTBPB,PBPBT,PBPPPT,5,11
BBBPBB,BPBPT,PTPBPB,5,29
BPBPPB,PBPBT,BPPPPB,5,47
BBBTTP,PBPBT,PPBBTP,5,10
PBBPBB,PBPBT,PTPBBP,5,10
PPPTPP,BPBPT,TTPTBB,5,28
TTTPTB,BPBPT,PPPPTP,5,38
BBTBPB,PBPBT,BPBBBP,5,61
BPPPPB,BPBPT,BBBPPP,5,49
BBPBBP,PBPBT,PTPBBB,5,37
BPPPBP,PBPBT,PTPPTP,5,29
BBTBTB,PBPBT,BBPTPP,5,14
PPPPBP,BPBPT,PTBPPB,5,39
BBPBBP,PBPBT,BBPPBT,5,45
BPPBBB,PBPBT,PPBBPT,5,56
PPPBBP,PBPBT,BBBBBB,5,33
TBBBBB,BPBPT,BTPBPB,5,43
BBBBPB,BPBPT,BBBTPB,5,23
BBBBTT,PBPBT,TPBBBB,5,32
BBTBPP,BPBPT,PPPBBB,5,22
BBPBPB,PBPBT,PTPTBB,5,37
PPBPTP,BPBPT,PPTPPP,5,54
BPPBPP,BPBPT,PBBPBP,5,50
BBPBBB,PBPBT,BPBBTP,5,28
PPBBBT,BPBPT,PPPPBB,5,16
BPTBBP,PBPBT,PBBPPP,5,42
BBBBBP,PBPBT,PBPBBP,5,24
PTBPBP,BPBPT,PPPBBB,5,26
PPPBTB,BPBPT,PBPPBP,5,49
PTPBPB,BPBPT,BTTPBP,5,31
PBBBPB,PBPBT,PBPBTB,5,53
BPBPBT,PBPBT,BPPPPP,5,58
TBPPPB,BPBPT,PTBPPP,5,29
BBPPBP,PBPBT,PBPPTP,5,24
BPPBBP,PBPBT,TBPBTB,5,34
BBBPBP,BPBPT,PPBBPB,5,55
BBPBBP,PBPBT,PBPPTB,5,56
BBBBPP,BPBPT,BBPPPT,5,22
BBBPPB,PBPBT,PBPBBB,5,23
PPBPBP,PBPBT,BTPPBT,5,20
PPBBBP,BPBPT,BPBPBB,5,12
BBPPTP,PBPBT,BBBPPT,5,12
PBBTBB,BPBPT,BPBBTT,5,41
PPTPPP,PBPBT,BBTPPP,5,40
BPPBPP,BPBPT,BTBBPT,5,55
BPBBPP,PBPBT,PBBBBB,5,43
PBBPBB,BPBPT,BPPBBB,5,59
BBPPPP,PBPBT,BTPPPT,5,15
BBBPBB,BPBPT,PTPBBB,5,38
BPBBPB,BPBPT,TTPTTP,5,11
PBPBBB,PBPBT,BPBBTP,5,40
PBBPBP,PBPBT,BTPPPB,5,56
PBBTBP,BPBPT,PPPBBP,5,47
PBBBTB,PBPBT,BBTBPP,5,13
PPBPPB,PTPTT,TBTPTB,5,50
PBPPTB,PBPBT,BBBPTP,5,47
PPTPPT,BPBPT,PBTBTP,5,12
BBPBPP,TPTPT,PTPPPP,5,14
BBTBBP,BPBPT,PBTBPP,5,55
PBBBBB,BPBPT,BBBPPB,5,31
PTPPTP,PBPBT,PBPBPP,5,54
BPTPBP,BPBPT,PPBPBB,5,22
PBPPBP,BPBPT,BPPBBP,5,31
PTBTBP,BPBPT,BPPBBB,5,38
TTPBPB,PBPBT,BTPPTP,5,37
BTBTBP,PBPBT,BBPBPT,5,28
PBPBTB,BPBPT,BPPPPB,5,34
PPBBBT,PBPBT,BTBPPP,5,39
TBTBPP,PTPTT,PBBPBT,5,49
BBPBPP,PBPBT,PBBPBP,5,53
PBBBBB,PBPBT,TBPBPB,5,19
BPPPPP,BPBPT,BBBPPB,5,12
BPBPBP,BPBPT,BPTBPT,5,14
PPPPPP,PBPBT,TPTPBB,5,32
PPPPTB,PBPBT,BPPPPP,5,50
TTPPPP,BPBPT,BBPBPP,5,25
PBBBTP,BPBPT,PBTPPB,5,37
PBBBPP,PBPBT,BPTTBP,5,19
PBBPPT,BPBPT,PBBBPB,5,54
PPPTPP,TBTBT,PPPBBB,5,39
PBBPBB,PBPBT,BBPPPP,5,34
TTBTPP,PBPBT,PTBTTB,5,19
BBPTPP,PBPBT,PTBPBP,5,11
PBTPTB,PBPBT,PBPTPP,5,19
PBPTPP,PBPBT,PBBPPB,5,30
BBBPPP,BPBPT,BPBBBT,5,18
PBPPBB,BPBPT,PPBBBB,5,54
PBBTPP,BPBPT,PBPBBB,5,33
BPBPBB,PBPBT,BBPBPP,5,13
