before,dejavu,after,cycles,length
BPBPPB,BPBPBPBP,PBPPPP,2,8
PPPPPB,BPBPBPBP,PBPBBP,2,8
PPPPBB,BPBPBPBP,BPBBPB,2,8
PBPPPP,PBPBPBPB,PPPPPB,2,8
PPBBPB,BPBPBPBP,BBBPPB,2,8
PPBPBB,BPBPBPBP,PPBBBP,2,8
PBBPPB,BPBPBPBP,PPBPPP,2,8
BBPBPB,BPBPBPBPBPBP,PBBPPB,3,12
PBBPBP,PBPBPBPB,PPBPPB,2,8
BPBBPB,BPBPBPBP,BBBBPP,2,8
BBPBBP,PBPBPBPB,BBPPPB,2,8
BPPPPB,BPBPBPBP,BBPBBP,2,8
PBPPBP,PBPBPBPB,BPPBBP,2,8
BPBBPP,PBPBPBPB,BBBBPP,2,8
PBPPBB,BPBPBPBPBPBP,PPBPPP,3,12
BBBBPP,PBPBPBPB,PPBBPB,2,8
PPPBPP,PBPBPBPB,BPPBPB,2,8
PBBBBP,PBPBPBPB,BBBBBB,2,8
BBBBBP,PBPBPBPB,BBBBPB,2,8
PBBBBB,BPBPBPBP,PPPPBB,2,8
BPBPPB,BPBPBPBP,PPBPBP,2,8
PPBBPP,PBPBPBPB,BPBBBB,2,8
BBBPBB,BPBPBPBP,PBBPBB,2,8
BBBBBB,BPBPBPBP,BPPPPB,2,8
BBBBBP,PBPBPBPBPBPB,PBBPPB,3,12
PPPPBB,BPBPBPBP,BPPBBP,2,8
PPBPPP,PBPBPBPB,PPBPPB,2,8
BBBBBP,PBPBPBPB,BPPBPB,2,8
PBBBBP,PBPBPBPB,PPPPBB,2,8
PPPBPB,BPBPBPBP,BBBPBB,2,8
BBBPBB,BPBPBPBP,BPBBPP,2,8
BBPBBB,BPBPBPBP,PBBBBP,2,8
PPPPPB,BPBPBPBPBPBP,PBBPBP,3,12
PBBPBB,BPBPBPBP,BPPBBP,2,8
BPPBBB,BPBPBPBP,PPBBPB,2,8
BBPPPB,BPBPBPBP,PPPPPB,2,8
PBBPBP,PBPBPBPB,BBBBBB,2,8
PPBBBP,PBPBPBPB,PBBBPP,2,8
PBPPBB,BPBPBPBP,BPBBPP,2,8
PPPPPP,PBPBPBPB,PPBBPP,2,8
BBBPPP,PBPBPBPB,PPPPBB,2,8
BPPBPB,BPBPBPBP,PPBBPB,2,8
PPPBPP,PBPBPBPB,PPBPPB,2,8
PBPBBP,PBPBPBPB,BPBBPP,2,8
BBPPPP,PBPBPBPB,PPBBPB,2,8
PPBPBB,BPBPBPBP,BPPBPB,2,8
PPBPBB,BPBPBPBP,PBPBPB,2,8
BPBPBP,PBPBPBPB,PPBBPP,2,8
BBBPBP,PBPBPBPB,PBPPBB,2,8
BBBPPB,BPBPBPBP,PBBBBP,2,8
PPPBPP,PBPBPBPB,PBBPPP,2,8
PPPPPP,PBPBPBPB,BPPPBP,2,8
