before,no_column,after,length
PPPPBB,BPBPBPBPBP,BBPBPB,10
BBPBPB,BPBPBPBPBP,BPPBBP,10
BPBPPP,PBPBPBPBPB,PBBBBP,10
PBPPBB,BPBPBPBPBP,BPPPBP,10
BBBBBB,BPBPBPBPBP,PPPBPB,10
BBBBBP,PBPBPBPBPB,PBPBBP,10
PPPPBB,BPBPBPBPBP,PBBPPB,10
BBBPBB,BPBPBPBPBP,BBPPPP,10
PPPPPB,BPBPBPBPBP,BPPBBP,10
PBBPBB,BPBPBPBPBP,PBBPPB,10
PPBBBP,PBPBPBPBPB,BBPPPB,10
PBPPBB,BPBPBPBPBP,BBPPBP,10
BBBPBP,PBPBPBPBPB,PPBBBB,10
PPPBPP,PBPBPBPBPB,BPPPPP,10
BBBPPP,PBPBPBPBPB,PBPPPP,10
BPBPBP,PBPBPBPBPB,PBBPBB,10
BBPBPB,BPBPBPBPBP,BBPBBB,10
BPPBPP,PBPBPBPBPB,BBPPPB,10
BPPBPP,PBPBPBPBPB,BBPPPB,10
PBPBBP,PBPBPBPBPB,BBPBPP,10
PBBPBP,PBPBPBPBPB,PPPBBB,10
PBPPPB,BPBPBPBPBP,PPBBPP,10
PBBPPB,BPBPBPBPBP,PPPBPB,10
BPPPBB,BPBPBPBPBP,PBPBBB,10
PBBBPP,PBPBPBPBPB,BBBBPB,10
PPPPPP,PBPBPBPBPB,BBPPPP,10
BPPBBB,BPBPBPBPBP,PPPPBP,10
BBPBBB,BPBPBPBPBP,BBPBPP,10
BPPPPB,BPBPBPBPBP,BPBBPP,10
BPBBBB,BPBPBPBPBP,PPBBPP,10
PBBPBP,PBPBPBPBPB,BPPPPP,10
PBPPPB,BPBPBPBPBP,PBBBPP,10
PBPPPB,BPBPBPBPBP,BPPPPB,10
BBBPPP,PBPBPBPBPB,PBPBPP,10
PBPBPB,BPBPBPBPBP,BBBBPB,10
BPPPBP,PBPBPBPBPB,BBBBBP,10
PPBPPP,PBPBPBPBPB,BPPPBB,10
PBBPBP,PBPBPBPBPB,BPPBBP,10
PBBBPB,BPBPBPBPBP,BPBPPB,10
BPBPBB,BPBPBPBPBP,PBPPBP,10
BPBBPB,BPBPBPBPBP,PPBPPP,10
PPPBPB,BPBPBPBPBP,PBBBPB,10
PBBPBP,PBPBPBPBPB,BPBBBB,10
PBBBBP,PBPBPBPBPB,PPPBPP,10
BPBPBP,PBPBPBPBPB,PBBBBP,10
BPBBBB,BPBPBPBPBP,PPPPPB,10
PBPBPB,BPBPBPBPBP,PPPPBB,10
BPBPBB,BPBPBPBPBP,BPBPPB,10
BPBPPB,BPBPBPBPBP,BPBPPB,10
PBPBBB,BPBPBPBPBP,BPPBBP,10
BBPPBP,PBPBPBPBPB,BPBPPB,10
PBBPPP,PBPBPBPBPB,PPBPPP,10
PBBPPP,PBPBPBPBPB,BBPPBB,10
PPBBBB,BPBPBPBPBP,PBBBPB,10
PBPPBB,BPBPBPBPBP,PPPBPB,10
BPBPBP,PBPBPBPBPB,PBBBPB,10
PBBPPP,PBPBPBPBPB,PPPBPP,10
BBPBPB,BPBPBPBPBP,PBPPBB,10
BPPBPB,BPBPBPBPBP,PBBBPB,10
BBBPPP,PBPBPBPBPB,BBBPBP,10
BBBBPB,BPBPBPBPBP,PPPBPB,10
PBBBPP,PBPBPBPBPB,BPBBBP,10
BBPBBP,PBPBPBPBPB,PBBBPP,10
PBBPBB,BPBPBPBPBP,BBPBBB,10
PPBBBB,BPBPBPBPBP,BBBPPP,10
BBBBPB,BPBPBPBPBP,BPPBPB,10
