before,dragon_rider,after,length,color
BBPBPP,BBBBBBPPBBBBB,PBBBPB,11,B
BPBBBB,PPPPPPPBPPPPPP,BPPPBP,13,P
PBBPBP,BBBBBPBBBBB,PPPBBB,10,B
BPPPPP,BBBBBPPBBBBB,PBBPBP,10,B
PPBBBB,PPPPPBBPPPPP,BPPBBB,10,P
BPPBBP,BBBBBBPPBBBBBBB,PPBPBB,13,B
PPBPPP,BBBBBPPBBBBB,PBPBBB,10,B
PBPBBB,PPPPPPPBBPPPPP,BBBPBP,12,P
BBBPBP,BBBBBBPBBBBB,PBPPPB,11,B
PPBBBP,BBBBBPBBBBB,PPBBBB,10,B
PBPBPB,PPPPPBPPPPP,BPBBBB,10,P
BBBPPB,PPPPPBBPPPPP,BPPBBB,10,P
PPBPBP,BBBBBBPBBBBB,PBPBPP,11,B
PPPBPP,BBBBBBBPPBBBBBB,PBBPBP,13,B
BPPPPB,PPPPPBBBPPPPPP,BPBPPB,11,P
BBBPPP,BBBBBPBBBBBB,PBPPPP,11,B
PBBBPP,BBBBBPBBBBBB,PBPPPP,11,B
BPPBBB,PPPPPPBPPPPPPPPPP,BBBPPP,16,P
BBPBBP,BBBBBPBBBBB,PBPPPP,10,B
BPPPPB,PPPPPPBPPPPP,BPBPBP,11,P
BBPBPP,BBBBBPBBBBBB,PBBBBB,11,B
BPBPPB,PPPPPPPBPPPPPPPPP,BPBPBB,16,P
PBPPPB,PPPPPBPPPPPPP,BBBBPB,12,P
PPBPBB,PPPPPPPBPPPPPP,BBBPPP,13,P
PPPPBP,BBBBBBPBBBBB,PBBPBB,11,B
PPPPPP,BBBBBBPPBBBBB,PPPPPB,11,B
PBBBBB,PPPPPBBPPPPPPPP,BPPPPB,13,P
PPBPBB,PPPPPPPBPPPPP,BBBPBB,12,P
PBPPBP,BBBBBBBBBPBBBBBB,PBBPBB,15,B
PPPBBP,BBBBBBPBBBBBB,PPBPPP,12,B
BPBBPP,BBBBBPBBBBB,PBBPBB,10,B
BPPBPB,PPPPPPBPPPPP,BPBPBP,11,P
BBPBPP,BBBBBBPBBBBBB,PBPPBP,12,B
BPBBBB,PPPPPPPPBPPPPPP,BPBPPB,14,P
BPBPPP,BBBBBBBBPBBBBB,PPPPPP,13,B
BPPBPP,BBBBBPPPBBBBBBBB,PBBBPB,13,B
PBBPBP,BBBBBPBBBBBB,PPBBPP,11,B
BBBPPP,BBBBBPBBBBB,PPBPBP,10,B
PPBBBP,BBBBBPBBBBB,PPPPPB,10,B
PBPPPP,BBBBBBPBBBBB,PPBBBP,11,B
BPBBBB,PPPPPBPPPPPP,BBBPPB,11,P
BPPPBB,PPPPPPPBPPPPP,BBPPPB,12,P
PBBPPP,BBBBBPPBBBBB,PPBPBB,10,B
BPPBPP,BBBBBBPPPBBBBB,PBPBPP,11,B
BBPPBP,BBBBBPBBBBB,PPBPBB,10,B
BPBPBP,BBBBBPBBBBBBBB,PBPPBB,13,B
BBBPBP,BBBBBPBBBBB,PBBPPB,10,B
BBPPBB,PPPPPBPPPPP,BBPBPP,10,P
PPBBPP,BBBBBPPBBBBBB,PPBPPP,11,B
BPPPBB,PPPPPPPPPBPPPPPPPPPP,BBPPBB,19,P
