before,dragon,after,length,color
PBBBPP,BBBBBB,PPBPPB,6,B
PBPBPP,BBBBB,PPPBBB,5,B
PBBPBP,BBBBBBBB,PPPPPP,8,B
BBBBBB,PPPPPP,BBBBPB,6,P
PPBPBP,BBBBBBBB,PBPBBB,8,B
PBBPPB,PPPPPP,BBPBPP,6,P
BBBPBB,PPPPPP,BBPBPB,6,P
BBBPBB,PPPPP,BBPPBP,5,P
BPPPBP,BBBBB,PPBBBB,5,B
BPPPBB,PPPPP,BPPBPP,5,P
PPBPPP,BBBBB,PBBBPP,5,B
BBPBPP,BBBBB,PBPBBB,5,B
PBPPBP,BBBBBBB,PBPPPP,7,B
BBBBPB,PPPPP,BBBPBP,5,P
PBPPPP,BBBBB,PPPPPP,5,B
PBBBBB,PPPPPP,BBBBPB,6,P
BBBBPB,PPPPP,BPPBBP,5,P
BPBPBB,PPPPP,BBPBPP,5,P
BPPPBP,BBBBB,PPPPBB,5,B
BBPBPB,PPPPPP,BBBBBB,6,P
PPPPPP,BBBBBBB,PBBBBP,7,B
BBPBPP,BBBBB,PBPBBP,5,B
BBBPPB,PPPPP,BPBPBP,5,P
PBPBPB,PPPPP,BPPBPB,5,P
PBPPPP,BBBBB,PPBBPP,5,B
PPPPPB,PPPPP,BBBBBB,5,P
BPPPPP,BBBBBB,PBBBPP,6,B
PBBPPP,BBBBB,PPBBPP,5,B
PBBPBB,PPPPP,BPPBPP,5,P
BPPBBP,BBBBBBBB,PPBBPB,8,B
PBBPBB,PPPPP,BPPBBP,5,P
PBBBBP,BBBBBB,PPPBBB,6,B
PPPBBB,PPPPP,BPPPPB,5,P
PBBBPB,PPPPP,BPBPBB,5,P
BBBPBP,BBBBBBBB,PBBBBP,8,B
BPBPBP,BBBBB,PPBBPP,5,B
BPBPPB,PPPPP,BPBPPB,5,P
PBBBPP,BBBBB,PBPBPB,5,B
BPBPBB,PPPPPP,BPPBBP,6,P
BPBBBP,BBBBB,PBPPBP,5,B
PBBPPB,PPPPP,BBPBBP,5,P
PBPBBB,PPPPPP,BBPPPP,6,P
PBPBBB,PPPPP,BBPPBB,5,P
BBPBBP,BBBBBB,PBBBBP,6,B
BPBBBP,BBBBBBBB,PPPBPP,8,B
PBPBPB,PPPPP,BBBPPB,5,P
BBBPBP,BBBBBBB,PBPBBB,7,B
PPPPBB,PPPPPP,BBPBPB,6,P
BPBBPP,BBBBBB,PPPBPB,6,B
BBBPPP,BBBBB,PPPBBP,5,B
PPBBPP,BBBBBBBBBB,PBPPPP,10,B
BBBPBB,PPPPPPP,BBBBPB,7,P
BBBPPB,PPPPPP,BBBBPP,6,P
