before,wait_double,after,length,double_color
PPBBPB,PBPBPP,BPPPPB,6,P
BBBPBP,PBPBPP,BPBBPB,6,P
BPPPPB,PBPBPP,BBBBBP,6,P
BBBPPB,BPBPBB,BBBBBB,6,B
BBPBBP,BPBPBB,BPPPPB,6,B
BBBPBB,PBPBPP,PPBPBP,6,P
PBPPPP,BPBPBB,BBBBBB,6,B
BBBBBB,BPBPBB,BBPBBP,6,B
PBBBBB,PBPBPP,PBBPBP,6,P
PBPPPB,BPBPBB,BPPPBB,6,B
BBBBBP,PBPBPP,PBPBPP,6,P
PBPBPP,PBPBPP,PBBBPB,6,P
PPBBPB,PBPBPP,BPBBPP,6,P
PPPBBP,PBPBPP,PBBPPP,6,P
PPBBBB,BPBPBB,BPBBBP,6,B
BPBPBP,BPBPBB,PBPBBP,6,B
BPBPPB,PBPBPP,PPBBBB,6,P
PPPBBB,BPBPBB,BPBPPB,6,B
BBBPPB,PBPBPP,BPBPPB,6,P
BBPPBB,BPBPBB,PBPBBP,6,B
BBBBPP,PBPBPP,BBPPBP,6,P
BPPBPP,BPBPBB,BBPPBP,6,B
PPPBPB,BPBPBB,PPPBPB,6,B
PPPBBP,PBPBPP,PBBPPP,6,P
BPPBPB,BPBPBB,PPPBPP,6,B
PBPBBB,BPBPBB,PBPPBP,6,B
PBBBBB,PBPBPP,PPPPBB,6,P
PPBBBB,BPBPBB,PBPPBP,6,B
PPPBPB,PBPBPP,PPPBPP,6,P
PPPPBP,PBPBPP,PPBBBB,6,P
PBBPBP,BPBPBB,BPPBBB,6,B
BPPBPB,BPBPBB,PPBPBB,6,B
BPPBBB,PBPBPP,BPBPPP,6,P
BPPPPP,BPBPBB,PBBPBP,6,B
BPPBBP,BPBPBB,PBBBPP,6,B
PBBBBP,BPBPBB,BBBPPB,6,B
BBBPBB,BPBPBB,PBPBPP,6,B
BPBPBB,PBPBPP,BBPPBP,6,P
BPPBBP,PBPBPP,BBPBPB,6,P
BPBPPB,BPBPBB,PPBBBB,6,B
PBBBPB,PBPBPP,PBBBPP,6,P
PPBPBB,PBPBPP,BPBBPP,6,P
BBBBPP,BPBPBB,PBBPBP,6,B
BBBBBP,BPBPBB,PPPPPP,6,B
BBPPPP,BPBPBB,BPBPBP,6,B
BPBBBP,BPBPBB,BPBBBB,6,B
PPBBPB,BPBPBB,BPBBBP,6,B
BBBPPB,BPBPBB,BPPPPP,6,B
PPBBPB,BPBPBB,PPBPBB,6,B
PPBPPP,PBPBPP,PBPBPB,6,P
BPBPPP,BPBPBB,PPBPBB,6,B
PPBBBP,PBPBPP,PBBBBP,6,P
PPBBPB,PBPBPP,PBPPPB,6,P
PBPPPP,BPBPBB,BPBBBB,6,B
BBBBPP,BPBPBB,PBPBBP,6,B
BPPPPB,PBPBPP,PPPBBB,6,P
BBPPBB,BPBPBB,BBBBBP,6,B
BBBBBB,BPBPBB,BPPPBB,6,B
PPPPPB,BPBPBB,PPBBBB,6,B
BBBBPP,PBPBPP,BPPPBB,6,P
BBPPBB,BPBPBB,PPBBPP,6,B
PBBPPB,BPBPBB,PBPBPB,6,B
PBPBPB,PBPBPP,BBPPBB,6,P
BBBBBB,BPBPBB,PPPBBB,6,B
BPPBBB,BPBPBB,BPBBPP,6,B
BBPBPP,BPBPBB,BPPBBB,6,B
PPPBBB,BPBPBB,PPBBBB,6,B
BPPBPP,PBPBPP,BPBPBB,6,P
PBPBPP,BPBPBB,PPBPBB,6,B
