before,lukku,after,pairs,length
PPBBBB,BBPP,BPPBBB,2,4
BBBPPB,PPBB,BPBPPB,2,4
PBBBPB,PPBB,PBPBPB,2,4
BPPBPP,PPBB,BBPPBB,2,4
PPPPBB,BBPPBB,BPBBPP,3,6
PPBBBP,BBPP,PBPBBP,2,4
BPPPBP,BBPP,PPBPBB,2,4
BBPBPP,PPBB,BPPPPB,2,4
PBPBPB,PPBB,BBBPPP,2,4
BBBBBB,BBPP,PPPPBB,2,4
BBPPPP,PPBB,BBPBBP,2,4
PBBBPP,PPBB,BPPPBB,2,4
PBBBBP,BBPP,BPPPPP,2,4
PBPPPP,PPBB,PBPPBB,2,4
BPBBBP,BBPP,PPPPBB,2,4
BBPPPP,PPBB,PBPBPB,2,4
BPPBPP,PPBB,BPBBPP,2,4
PPBBBP,BBPP,PPPBBP,2,4
BPPPPP,BBPP,BPPPBP,2,4
PBBBBB,PPBB,BBPBBB,2,4
PPBPBB,BBPP,PPBBPP,2,4
BBBBPP,PPBBPP,BPBPPP,3,6
BPBPPP,BBPP,PPPBPP,2,4
BBBBPB,PPBB,BBBPBP,2,4
PPBPPB,PPBB,BPPBBB,2,4
BPPBBB,PPBB,BPBPPB,2,4
PBBBPB,PPBB,BPPBPP,2,4
PBBPBP,BBPP,PBPPPB,2,4
PBPBPP,PPBB,BBBPPP,2,4
BBPPPP,PPBB,BBPBPB,2,4
PPPPPB,PPBBPP,BPBBBB,3,6
PBBPBP,BBPP,PPPBBP,2,4
PPBBPB,PPBB,PBBPBB,2,4
BBPBBB,PPBB,PBBBPB,2,4
PPPBBP,BBPPBB,BBPBBB,3,6
BBBPBB,BBPP,PBPBPP,2,4
PPPBPB,PPBBPP,BPPBPB,3,6
BPBPBB,BBPP,BPPBBB,2,4
BBBPPB,PPBB,BBPBBB,2,4
PBBPBP,BBPP,PBPBBB,2,4
BBBBPP,PPBBPP,BPBPPP,3,6
BPBPPP,BBPP,PBBPPB,2,4
PBBPPP,BBPP,BPPBBP,2,4
PBBPBP,BBPP,PBPPBP,2,4
BBPBBP,BBPPBB,BPPBPB,3,6
PPBPBB,BBPPBB,BPPBBB,3,6
BPPBBB,PPBB,BPPBPB,2,4
PBPPPP,PPBB,BBBBBP,2,4
PBBBBP,BBPP,PPBPPB,2,4
BPPPPB,PPBBPP,PPBPBP,3,6
PBBBPB,PPBB,BBBPBP,2,4
BBBPPP,BBPP,PPBBPB,2,4
PBPBPP,PPBB,BBBPPB,2,4
PBBBPB,PPBB,PBBPBP,2,4
BBBBBP,BBPP,PBBBBB,2,4
PBBBBB,PPBBPPBB,PBBPBB,4,8
BBPBBP,BBPP,PPPBPP,2,4
BBBBBB,BBPPBB,PBBPPP,3,6
BPPBBP,BBPP,PPPBPP,2,4
PPPPPB,PPBB,PBBPPB,2,4
BPPBBP,BBPP,BPBBPB,2,4
PBBPBP,BBPP,BPBBBP,2,4
BBBPPB,PPBB,BPBPBP,2,4
BPPPBP,BBPP,PBBBBP,2,4
BPBBBB,BBPP,PBBBBB,2,4
PBPBBP,BBPPBB,PBPPBP,3,6
PPBPPB,PPBBPP,PBBBPP,3,6
PPPBPP,PPBB,BPPBPP,2,4
BPBBBB,BBPP,PBPPPB,2,4
BPBBPB,PPBB,PBPBPB,2,4
PBBBBB,PPBBPP,BPPPPB,3,6
BPPBPP,PPBB,BBPPPB,2,4
PPPPBB,BBPP,PBPBPP,2,4
BBPBPB,PPBBPP,BPBPPB,3,6
BPPBPB,PPBB,PBPBBP,2,4
PBBPBP,BBPPBB,BBPBPB,3,6
PBPPBP,BBPP,PBPBBB,2,4
