before,three_cut,after,pattern
PBBBBB,BBBPPPPP,PBBBBP,3-1-3-1
BBBPPB,BBBPBBBP,BPPPBP,3-1-3-1
PPBPPB,PPPBBBBB,PBBBPP,3-1-3-1
BBBPBP,BBBPBBBP,PPBPPP,3-1-3-1
BPBPBB,PPPBPPPB,BBBPBP,3-1-3-1
BPBPBP,PPPBBBBB,PPPPPP,3-1-3-1
PBBPPB,PPPBPPPB,BBBPBP,3-1-3-1
BPBPPP,PPPBBBBB,BBPBBB,3-1-3-1
PPBPBP,PPPBBBBB,PPBBPP,3-1-3-1
PPPBPP,PPPBBBBB,BPBBBP,3-1-3-1
BBBPBB,PPPBBBBB,PPBBPP,3-1-3-1
PBBPPP,BBBPPPPP,BPPPPB,3-1-3-1
BBBBBB,PPPBPPPB,BBPBPP,3-1-3-1
PBBBPB,BBBPBBBP,BPBBPB,3-1-3-1
BBPPBP,PPPBPPPB,BBPPBB,3-1-3-1
BPPBBP,PPPBPPPB,BBPPPB,3-1-3-1
PBBPBP,BBBPBBBP,PBBPBP,3-1-3-1
PBBPBP,BBBPPPPP,PBBPPP,3-1-3-1
PPPPBP,BBBPPPPP,BBPPBB,3-1-3-1
PBPBPB,PPPBPPPB,BBPBBP,3-1-3-1
BPPBBP,BBBPBBBP,BPPBBP,3-1-3-1
PPPPBP,PPPBBBBB,BBBBPP,3-1-3-1
BBPBBB,PPPBBBBB,PPPBBP,3-1-3-1
PBPBBP,BBBPPPPP,BPBBBP,3-1-3-1
PPPPBP,BBBPBBBP,PPBPPP,3-1-3-1
BBPPBP,BBBPPPPP,PBPBPB,3-1-3-1
BPPPBP,PPPBBBBB,BPBPPB,3-1-3-1
BPPPBP,BBBPPPPP,BPBPPB,3-1-3-1
BBBPBB,BBBPPPPP,BBPBBB,3-1-3-1
PBBBBB,BBBPPPPP,BBBPBP,3-1-3-1
PPBBBB,PPPBPPPB,BBBBBP,3-1-3-1
PBBPBB,BBBPBBBP,PPPBPB,3-1-3-1
BBPPBP,PPPBBBBB,BBPPBP,3-1-3-1
PPBBPB,BBBPPPPP,PPBPBP,3-1-3-1
BPBBPP,BBBPBBBP,PPPPBB,3-1-3-1
PBPBPB,PPPBPPPB,PPBBBP,3-1-3-1
PPPBPP,BBBPBBBP,BPPBPB,3-1-3-1
PBBBBB,BBBPPPPP,PPBBBP,3-1-3-1
BPPBPP,BBBPPPPP,PPBBBB,3-1-3-1
BPBBPB,BBBPPPPP,PPBPPB,3-1-3-1
BBBBBP,BBBPPPPP,BBBBBB,3-1-3-1
PBBPBP,BBBPBBBP,BPPBBB,3-1-3-1
BBPPBB,BBBPBBBP,BBPPBB,3-1-3-1
BBPBPB,BBBPPPPP,PPBPPP,3-1-3-1
PPBPPP,PPPBPPPB,PPPPPP,3-1-3-1
PPPBBB,PPPBPPPB,PPBBBB,3-1-3-1
BPBBBB,PPPBPPPB,PPBBBB,3-1-3-1
BBPBPB,PPPBPPPB,PPPBPB,3-1-3-1
BBBBBB,BBBPBBBP,PBBPBB,3-1-3-1
PPBPBB,BBBPPPPP,BBBBPB,3-1-3-1
PBPPPP,BBBPBBBP,PBPBBB,3-1-3-1
BPPBBP,PPPBBBBB,PPPBBP,3-1-3-1
PBBPPP,BBBPPPPP,BPPPBB,3-1-3-1
PPPPPB,PPPBBBBB,BPPBPB,3-1-3-1
BBPPBP,PPPBPPPB,BBPPPB,3-1-3-1
BPBBPP,PPPBBBBB,BPPPPB,3-1-3-1
PBBPPB,BBBPBBBP,PBBPPB,3-1-3-1
PBPBBP,BBBPBBBP,PPBBBP,3-1-3-1
PBBBBP,PPPBBBBB,PPPPBB,3-1-3-1
PBPPBB,BBBPPPPP,BPBBBB,3-1-3-1
PPPPPP,BBBPBBBP,PBPBPP,3-1-3-1
BPPBPB,PPPBBBBB,BBBBPB,3-1-3-1
BBPBBB,PPPBBBBB,PBPPPB,3-1-3-1
BBPBPB,PPPBPPPB,PBPPPP,3-1-3-1
PPBBBB,BBBPBBBP,BBPPPP,3-1-3-1
BBPBPP,PPPBPPPB,PBPBPP,3-1-3-1
PPBPBB,PPPBBBBB,BPBPBB,3-1-3-1
BBPPBP,PPPBPPPB,PBPBBP,3-1-3-1
BPBBPP,BBBPBBBP,BBPBBB,3-1-3-1
BBPBBP,PPPBBBBB,PBBPBP,3-1-3-1
PPBPPP,PPPBBBBB,PBPBPP,3-1-3-1
BPBBBB,PPPBPPPB,PBBPBP,3-1-3-1
BBPBBP,PPPBBBBB,BBBBBB,3-1-3-1
BBBBBP,PPPBBBBB,PBPBBB,3-1-3-1
PPBPPB,PPPBPPPB,BPPPPB,3-1-3-1
PPPBPB,BBBPPPPP,BBBPBB,3-1-3-1
BBPBBB,BBBPBBBP,BPBPPP,3-1-3-1
PPPBPP,BBBPBBBP,BPBPBP,3-1-3-1
BPBPPP,BBBPPPPP,BBBBPB,3-1-3-1
BPPBPP,PPPBPPPB,BPBBBB,3-1-3-1
PPPBPP,PPPBBBBB,PPBBBB,3-1-3-1
PPPPPP,BBBPBBBP,BPPPPP,3-1-3-1
BBPBPP,PPPBBBBB,BBBBBP,3-1-3-1
BBPBPB,PPPBBBBB,BPBBBP,3-1-3-1
BBBPBB,BBBPBBBP,PBBBPP,3-1-3-1
BBPBPB,BBBPPPPP,BBBPPB,3-1-3-1
PPBPPB,PPPBBBBB,PBPPBP,3-1-3-1
BPPBBB,BBBPPPPP,BBPBBB,3-1-3-1
PBBBPP,BBBPBBBP,PBBPPP,3-1-3-1
BBBPBB,BBBPPPPP,PPPBBB,3-1-3-1
BBPPPP,BBBPBBBP,BPBBPB,3-1-3-1
PBBPBP,PPPBPPPB,BBPBBP,3-1-3-1
BPBPPB,BBBPPPPP,BBPPPP,3-1-3-1
PPBBPP,BBBPPPPP,BPBPPB,3-1-3-1
PBPPPP,BBBPPPPP,PPBBBB,3-1-3-1
BPBPPB,BBBPPPPP,BPPBBP,3-1-3-1
PBBBPB,BBBPBBBP,BBBBPB,3-1-3-1
PBPBPP,BBBPBBBP,PBBPPB,3-1-3-1
PPBBPB,PPPBBBBB,BPPBPB,3-1-3-1
BPBPBB,BBBPPPPP,PPPBBB,3-1-3-1
BPPPPB,BBBPBBBP,PBBBBB,3-1-3-1
BBPPPB,BBBPBBBP,BPPBBB,3-1-3-1
PPBBPP,PPPBBBBB,BPBBPB,3-1-3-1
BPBPPP,PPPBBBBB,PPPPPB,3-1-3-1
PBPPPP,PPPBPPPB,BBBBPP,3-1-3-1
PBPPPP,BBBPPPPP,BPPBBB,3-1-3-1
PBPPBB,PPPBBBBB,BBPBPP,3-1-3-1
PPBBPB,BBBPBBBP,BPBPBP,3-1-3-1
PBPPBB,BBBPBBBP,PBBPBB,3-1-3-1
BPPPBP,BBBPBBBP,PBBBPB,3-1-3-1
PBBPPP,PPPBPPPB,BPBBPP,3-1-3-1
BBBPBB,BBBPBBBP,BBPPPB,3-1-3-1
BBPBBP,BBBPBBBP,BPBBPP,3-1-3-1
PBBBPP,BBBPPPPP,PBPPBB,3-1-3-1
PBPPPP,PPPBBBBB,BBBBPB,3-1-3-1
PPBPPP,BBBPBBBP,BBBPPB,3-1-3-1
PPPBBP,BBBPPPPP,BPBBBB,3-1-3-1
PPBBPB,PPPBBBBB,PBPBPB,3-1-3-1
BPBBBP,PPPBBBBB,BPBPPB,3-1-3-1
PPPBPB,PPPBBBBB,PPBPBB,3-1-3-1
PBPPBP,BBBPPPPP,BPBBPP,3-1-3-1
PBBBBB,PPPBPPPB,PBBPBP,3-1-3-1
PPPPPB,BBBPBBBP,PBBBBB,3-1-3-1
PPBBPP,BBBPBBBP,BPPBBB,3-1-3-1
PPBBPP,PPPBPPPB,BBBBPP,3-1-3-1
BPPPBP,BBBPPPPP,BBBPBP,3-1-3-1
BBBBBB,BBBPBBBP,BBBPPB,3-1-3-1
PPBPPP,BBBPPPPP,BPBBBB,3-1-3-1
BBBBBB,BBBPBBBP,PBPPPP,3-1-3-1
BPPPBP,BBBPPPPP,PPBBPP,3-1-3-1
PPPPBB,PPPBPPPB,BBBBPB,3-1-3-1
BPBBPB,BBBPPPPP,BPBBBB,3-1-3-1
PPPPBB,PPPBPPPB,PBPPPP,3-1-3-1
BPPPPP,BBBPBBBP,PPBPPP,3-1-3-1
BBPBPB,BBBPBBBP,PBBBBP,3-1-3-1
BBPBPB,BBBPBBBP,PBBPPP,3-1-3-1
PPBBPP,PPPBBBBB,BPPPBB,3-1-3-1
BBBPBB,PPPBPPPB,PBBPPB,3-1-3-1
PPBBPP,PPPBBBBB,BPBBPP,3-1-3-1
BBPPPB,BBBPBBBP,BPPPBB,3-1-3-1
PBBBPB,PPPBBBBB,BPPPPP,3-1-3-1
PPBBBB,BBBPPPPP,BBBPPP,3-1-3-1
BPPBPB,BBBPBBBP,BPBBPB,3-1-3-1
PBBPBB,BBBPBBBP,BBPBPP,3-1-3-1
PBBBPP,BBBPBBBP,PPBPPP,3-1-3-1
BBPBBB,BBBPPPPP,BBBPBP,3-1-3-1
BPBPPB,PPPBPPPB,PBPPPP,3-1-3-1
BPBPBB,BBBPPPPP,BPPPPB,3-1-3-1
PPPPBP,PPPBPPPB,BBPBBP,3-1-3-1
BBPPPP,BBBPPPPP,PBBPPB,3-1-3-1
BPPBBP,BBBPPPPP,PBPPBB,3-1-3-1
PPPPPP,PPPBBBBB,BBPBPP,3-1-3-1
BBBPBB,PPPBBBBB,BBBBPP,3-1-3-1
BBBBBP,PPPBPPPB,PBPBPB,3-1-3-1
PPPBPB,PPPBPPPB,BBBPPP,3-1-3-1
PBPBPP,PPPBBBBB,PPPPBP,3-1-3-1
BBBBBP,PPPBPPPB,BBBPBP,3-1-3-1
PBPBPP,PPPBPPPB,PPBBPP,3-1-3-1
BPBBPP,BBBPBBBP,PPPPPB,3-1-3-1
PPPBBP,BBBPBBBP,BPPPPB,3-1-3-1
PBPBPB,BBBPPPPP,PPBPBP,3-1-3-1
BBPBPP,BBBPBBBP,PPPBBP,3-1-3-1
PPPBBB,PPPBPPPB,PPBBPP,3-1-3-1
PBPPBB,PPPBPPPB,PBPPPB,3-1-3-1
PBBPPB,BBBPPPPP,BPBBPB,3-1-3-1
BPPPPP,PPPBBBBB,PBPBPP,3-1-3-1
PBBPPP,PPPBBBBB,BPBPBB,3-1-3-1
BPBPBB,BBBPPPPP,PPBBBP,3-1-3-1
BPPPBP,BBBPPPPP,PBPBPB,3-1-3-1
BBPPBP,PPPBBBBB,BBPPBP,3-1-3-1
BBBPPP,BBBPPPPP,BPBPBB,3-1-3-1
BBPBPP,BBBPBBBP,BPPBPB,3-1-3-1
BBBBPP,BBBPBBBP,PPPPBP,3-1-3-1
BPBBPB,PPPBPPPB,BBPBPB,3-1-3-1
PBPPPB,BBBPBBBP,PBBPBP,3-1-3-1
BBPBPB,BBBPBBBP,PPPBBB,3-1-3-1
PBPBPB,PPPBPPPB,PBPBPB,3-1-3-1
PBPPBB,PPPBPPPB,PPBBPB,3-1-3-1
BBBPBP,BBBPPPPP,BBPBBP,3-1-3-1
PBPBBP,PPPBBBBB,PBPPPP,3-1-3-1
BBPPPP,BBBPBBBP,BBBBBB,3-1-3-1
PBPPBP,BBBPBBBP,PBPBPB,3-1-3-1
PPPPBB,PPPBBBBB,BBPPPP,3-1-3-1
PPBBPP,PPPBPPPB,PBBBPP,3-1-3-1
PPPPPB,BBBPPPPP,PPBPBB,3-1-3-1
PPPBPB,BBBPBBBP,PPPBPB,3-1-3-1
PBBPPB,PPPBPPPB,PPBBPB,3-1-3-1
PPBBBB,PPPBPPPB,BPPBPB,3-1-3-1
BPBPBB,BBBPBBBP,BPBPPB,3-1-3-1
PBBPPB,BBBPPPPP,PPBBPP,3-1-3-1
BPPPPB,BBBPPPPP,PBBBPP,3-1-3-1
PBPBPP,BBBPPPPP,BPBBBB,3-1-3-1
PBPBBP,BBBPPPPP,BBBPPB,3-1-3-1
PPBBBB,PPPBBBBB,BPBBBB,3-1-3-1
PPPBPB,BBBPBBBP,BBBBBB,3-1-3-1
PBPBBB,BBBPPPPP,BPPPPP,3-1-3-1
PBPPBP,BBBPPPPP,BBPPPB,3-1-3-1
PBBPBP,BBBPPPPP,PBPPBP,3-1-3-1
PBBPPB,PPPBPPPB,PBBBBB,3-1-3-1
PPBBPB,PPPBBBBB,BPPPBP,3-1-3-1
BBPBPP,BBBPPPPP,BPBPPB,3-1-3-1
BPBPBB,PPPBBBBB,PPBPBP,3-1-3-1
PBPBBP,BBBPPPPP,PPPPBP,3-1-3-1
PBPBPP,BBBPBBBP,PBPPBB,3-1-3-1
BPPBPP,BBBPPPPP,BPPBBB,3-1-3-1
BBPPPP,BBBPPPPP,PBPPBB,3-1-3-1
BPPBPB,PPPBPPPB,PPPPPP,3-1-3-1
BPPBPB,PPPBPPPB,BBPPPP,3-1-3-1
PPBPBB,PPPBPPPB,PPBPBP,3-1-3-1
BPPBBB,PPPBPPPB,PBBPPP,3-1-3-1
PPPBPB,PPPBBBBB,BPPBBP,3-1-3-1
PBBPPB,PPPBPPPB,BPPPBB,3-1-3-1
BPBPPP,BBBPPPPP,BPBPPB,3-1-3-1
BBBPPB,PPPBPPPB,BBPPBP,3-1-3-1
BPPPPP,BBBPPPPP,PBPBPP,3-1-3-1
BPPBPB,BBBPPPPP,PPPPPB,3-1-3-1
BBBPBB,BBBPBBBP,BPPPPB,3-1-3-1
PPPPBP,BBBPPPPP,BPBPPP,3-1-3-1
BPPBBP,BBBPBBBP,BPBBBB,3-1-3-1
BPBPPP,PPPBBBBB,PBBBPB,3-1-3-1
BBBBBP,BBBPBBBP,BBBPBP,3-1-3-1
BPBBPB,PPPBBBBB,PPPPBB,3-1-3-1
BPPBBB,PPPBBBBB,PBBBBB,3-1-3-1
PBBBBB,BBBPPPPP,PPBPPP,3-1-3-1
BPPPBP,BBBPPPPP,PBBBBP,3-1-3-1
PBBBBB,BBBPBBBP,BPBBPP,3-1-3-1
BBPBPB,PPPBPPPB,BBBBPB,3-1-3-1
BPPPBB,BBBPBBBP,PPBBBB,3-1-3-1
PBBPPP,PPPBBBBB,BBPPPP,3-1-3-1
BPPBPB,PPPBBBBB,BBBPPP,3-1-3-1
PPBPPP,BBBPPPPP,PBPBBB,3-1-3-1
BPPBPP,BBBPPPPP,PBPPPP,3-1-3-1
BBBBPB,PPPBPPPB,BBBPBB,3-1-3-1
BPPPPB,BBBPBBBP,PPPBBP,3-1-3-1
BPPBBB,BBBPPPPP,BPBBPB,3-1-3-1
PBBPBP,PPPBPPPB,PPBPBP,3-1-3-1
PBPBPP,BBBPBBBP,PBBBBP,3-1-3-1
BPBBPB,BBBPBBBP,BPPBPB,3-1-3-1
BPPPPP,PPPBPPPB,PBPBPP,3-1-3-1
BBPBPB,BBBPBBBP,PPBBPB,3-1-3-1
BPBBPB,BBBPPPPP,PBBBPP,3-1-3-1
PBBBPB,BBBPBBBP,PPBPPP,3-1-3-1
PBPBPP,BBBPBBBP,BBBBPP,3-1-3-1
BPBBPB,BBBPPPPP,PBBPBP,3-1-3-1
BBPBPB,PPPBBBBB,PPBBBP,3-1-3-1
BPBBPB,BBBPPPPP,PBBPPB,3-1-3-1
PBBPBP,BBBPBBBP,BBPPPP,3-1-3-1
PPPPPP,PPPBBBBB,BBBBPP,3-1-3-1
PBBBPB,BBBPPPPP,BPBBBP,3-1-3-1
BPPPPB,BBBPPPPP,BBBBBB,3-1-3-1
BBPPPP,PPPBBBBB,BPPPPP,3-1-3-1
BBPBPB,BBBPBBBP,BBPPBP,3-1-3-1
BPPBPB,PPPBPPPB,BBPBPB,3-1-3-1
PBBPBP,BBBPPPPP,BBBPPB,3-1-3-1
PPPPBP,PPPBBBBB,PBBBPP,3-1-3-1
BBPPBB,BBBPBBBP,BBBBPP,3-1-3-1
BPBPPB,BBBPBBBP,BBPBPB,3-1-3-1
BPPBPB,BBBPPPPP,PBPPPP,3-1-3-1
BBBBPB,BBBPBBBP,BBBPBB,3-1-3-1
PPPPPB,BBBPPPPP,PPPBBB,3-1-3-1
BPPBPP,PPPBBBBB,PBBBPP,3-1-3-1
PPBBBB,BBBPPPPP,PBPPBB,3-1-3-1
BPBBBB,BBBPPPPP,PBBBBP,3-1-3-1
BPPBBP,PPPBBBBB,BPPPPB,3-1-3-1
BBPPBB,BBBPPPPP,BPPBPB,3-1-3-1
BPPBPB,PPPBBBBB,PBBBPB,3-1-3-1
BBPPBB,PPPBPPPB,PPPBBP,3-1-3-1
BPPBBP,PPPBPPPB,BBPBPP,3-1-3-1
PBPBPP,PPPBPPPB,BBPBPP,3-1-3-1
PPBPPB,BBBPPPPP,PBPPBP,3-1-3-1
BBPBPB,BBBPPPPP,PBPBBP,3-1-3-1
PBPBPB,PPPBBBBB,BPBBPB,3-1-3-1
PBPBBB,PPPBPPPB,BPBBBB,3-1-3-1
BPBPBP,BBBPPPPP,BBBBPB,3-1-3-1
PPBPBP,BBBPBBBP,PPPPBP,3-1-3-1
PBPPBP,PPPBPPPB,PBPBBB,3-1-3-1
BPBBPP,PPPBBBBB,PPBPBB,3-1-3-1
PPPPBP,PPPBBBBB,PPBBBP,3-1-3-1
BBBBPP,BBBPBBBP,BBBPPB,3-1-3-1
BBPPBP,BBBPPPPP,BBPBPP,3-1-3-1
PBPBPB,PPPBBBBB,PBPBBP,3-1-3-1
BPPBBP,PPPBPPPB,PPPPBB,3-1-3-1
BPBPPB,BBBPBBBP,PPBPBB,3-1-3-1
BPBBPP,BBBPPPPP,BPBPPP,3-1-3-1
PPBPPB,PPPBPPPB,PBBPBB,3-1-3-1
BBPBBP,PPPBPPPB,PBBBPP,3-1-3-1
BPPPBP,BBBPPPPP,BPPBPP,3-1-3-1
PBPPPP,BBBPPPPP,PBPPPB,3-1-3-1
PPPPPB,PPPBPPPB,BBPPBP,3-1-3-1
PBBBPB,PPPBBBBB,PPPBPB,3-1-3-1
BBBBPB,PPPBBBBB,PPPPBB,3-1-3-1
PPPPBB,PPPBPPPB,BPBBPB,3-1-3-1
PBPPBP,BBBPPPPP,BBPPBP,3-1-3-1
PBPBPP,BBBPPPPP,BPBBBB,3-1-3-1
PBPBBB,BBBPBBBP,BBPPBB,3-1-3-1
PBBPPP,PPPBBBBB,BPBPBP,3-1-3-1
BPBPBB,PPPBBBBB,PPPPBP,3-1-3-1
PPBBPB,PPPBBBBB,PBBBPB,3-1-3-1
BPPBBP,PPPBPPPB,BBPBBP,3-1-3-1
BBBPPP,BBBPPPPP,BBBBBP,3-1-3-1
BBPPPP,BBBPBBBP,BPBBBB,3-1-3-1
BBBBBP,PPPBBBBB,BBPBPB,3-1-3-1
PBBBBP,PPPBPPPB,PPPPBP,3-1-3-1
PPBBPB,BBBPBBBP,PBBPPP,3-1-3-1
PBBBBP,PPPBPPPB,PBBBPB,3-1-3-1
BBBPBP,PPPBPPPB,BBPPBP,3-1-3-1
BPBPBP,BBBPPPPP,PPPBPB,3-1-3-1
BBBBPB,PPPBBBBB,BPPBPB,3-1-3-1
BBBPBP,PPPBBBBB,BPBBBP,3-1-3-1
PBBBBP,PPPBBBBB,BBPPBB,3-1-3-1
PBPBBB,BBBPBBBP,PPPBPB,3-1-3-1
BPBPPP,PPPBPPPB,PPPPPB,3-1-3-1
BPBBBB,BBBPBBBP,PBPPBB,3-1-3-1
BBPPBB,PPPBBBBB,PPBPBP,3-1-3-1
BPPPPB,BBBPPPPP,BPBPBB,3-1-3-1
BBPPBB,BBBPBBBP,BBBBBP,3-1-3-1
BPPBBB,BBBPBBBP,BPBBPP,3-1-3-1
BPPPBP,PPPBPPPB,BPPPBB,3-1-3-1
BBPPBB,PPPBBBBB,BBBBBP,3-1-3-1
BPBPBP,PPPBBBBB,PPBPBB,3-1-3-1
PBPPBB,BBBPPPPP,BBPPPB,3-1-3-1
BBPBPB,PPPBPPPB,PPBPBP,3-1-3-1
BBBBPB,PPPBBBBB,BPPPBB,3-1-3-1
