before,four_cut,after,pattern
BPBBPP,BBBBPBBBBP,PPBPBP,4-1-4-1
PPPBBB,BBBBPBBBBP,BBPPPP,4-1-4-1
PBBPPP,BBBBPBBBBP,BBBBBB,4-1-4-1
PPBBBP,PPPPBPPPPB,BBPPBP,4-1-4-1
BPBBBB,BBBBPBBBBP,BPBPBB,4-1-4-1
BBPPPB,PPPPBPPPPB,BBBBBB,4-1-4-1
PBPBBP,PPPPBPPPPB,PBBBBB,4-1-4-1
PBPBBP,BBBBPBBBBP,PPPBBP,4-1-4-1
PBPBBP,BBBBPBBBBP,PBBPPP,4-1-4-1
PPPPBB,BBBBPBBBBP,BPPBBP,4-1-4-1
PBBPPB,BBBBPBBBBP,BPBBBP,4-1-4-1
BPPPPP,BBBBPBBBBP,BPPPPB,4-1-4-1
PPPPPP,BBBBPBBBBP,PBPPPB,4-1-4-1
PPPBPP,BBBBPBBBBP,BPBPBB,4-1-4-1
PBBBPP,BBBBPBBBBP,PBBPPB,4-1-4-1
BBPBPB,BBBBPBBBBP,BBPPPP,4-1-4-1
PBBPPP,BBBBPBBBBP,BBBBBB,4-1-4-1
PPBBBP,BBBBPBBBBP,PBPBBB,4-1-4-1
BBPBBP,BBBBPBBBBP,BPPPPP,4-1-4-1
PPPPPP,BBBBPBBBBP,BPBBPP,4-1-4-1
BPBPPB,PPPPBPPPPB,PBBBBB,4-1-4-1
PBBPBP,BBBBPBBBBP,PBPBPB,4-1-4-1
BBBPBP,BBBBPBBBBP,PBBBBP,4-1-4-1
BBBBBP,PPPPBPPPPB,PPPBBB,4-1-4-1
BPBPPP,PPPPBPPPPB,PBPPPB,4-1-4-1
BPBBBB,PPPPBPPPPB,BBBPPB,4-1-4-1
PBBPPP,BBBBPBBBBP,BBPBPB,4-1-4-1
PBBPBB,PPPPBPPPPB,BBBPPP,4-1-4-1
BPPPBB,BBBBPBBBBP,BBPBBP,4-1-4-1
PBBPBP,BBBBPBBBBP,PPPBPB,4-1-4-1
BBBPBP,PPPPBPPPPB,PPBBBP,4-1-4-1
PPBBBP,BBBBPBBBBP,BBPPPP,4-1-4-1
BBBPPP,BBBBPBBBBP,BPPBBP,4-1-4-1
BPBBBP,BBBBPBBBBP,PBBPPB,4-1-4-1
BBBPBP,PPPPBPPPPB,PPBBBP,4-1-4-1
BBBPPP,PPPPBPPPPB,BBPBBP,4-1-4-1
BPBPPB,BBBBPBBBBP,BPBBBB,4-1-4-1
BPBBPB,BBBBPBBBBP,BPPBPB,4-1-4-1
BPPPBB,PPPPBPPPPB,PBPPPB,4-1-4-1
BBBBPP,BBBBPBBBBP,BBPPPP,4-1-4-1
BBBPBB,PPPPBPPPPB,BBBBPB,4-1-4-1
BBBBPP,PPPPBPPPPB,PBPPBB,4-1-4-1
BBPBBP,BBBBPBBBBP,BBBPBB,4-1-4-1
BPPPBB,PPPPBPPPPB,PBPBPB,4-1-4-1
BPBPPB,PPPPBPPPPB,PBPPBP,4-1-4-1
BPBPBB,BBBBPBBBBP,BPPPPP,4-1-4-1
PPPBPB,BBBBPBBBBP,PBBBPB,4-1-4-1
BPPPPP,PPPPBPPPPB,BBBBPP,4-1-4-1
PBPBPP,BBBBPBBBBP,BPBPPB,4-1-4-1
PBBPBB,BBBBPBBBBP,PBBPPB,4-1-4-1
PBBBBB,BBBBPBBBBP,BBPBPP,4-1-4-1
BBBPPP,BBBBPBBBBP,PPBBPP,4-1-4-1
PBBBBP,PPPPBPPPPB,PPBBBP,4-1-4-1
PPBBBP,PPPPBPPPPB,PBBPPP,4-1-4-1
PBPBPB,PPPPBPPPPB,BPPBPP,4-1-4-1
PPBBPP,BBBBPBBBBP,BBPPBB,4-1-4-1
BPBBPP,BBBBPBBBBP,BPPBPP,4-1-4-1
BBBBBB,BBBBPBBBBP,BPBPBB,4-1-4-1
BBPPPP,PPPPBPPPPB,BBPPBP,4-1-4-1
BPBBPP,BBBBPBBBBP,PPBBBB,4-1-4-1
BPPBPB,BBBBPBBBBP,PPPPBB,4-1-4-1
BPBBPB,BBBBPBBBBP,PPBPBB,4-1-4-1
BBBBBB,BBBBPBBBBP,BBBPBP,4-1-4-1
BPPPBP,PPPPBPPPPB,PBPPPP,4-1-4-1
BPBBPB,BBBBPBBBBP,BBBBBB,4-1-4-1
PPBBPB,BBBBPBBBBP,BBPPPP,4-1-4-1
BPBPPB,BBBBPBBBBP,BBPPPP,4-1-4-1
BPPBBB,BBBBPBBBBP,BPPBBP,4-1-4-1
BBPPPB,PPPPBPPPPB,PBBPPP,4-1-4-1
BBBPPP,BBBBPBBBBP,PBBBBP,4-1-4-1
PBBPBP,BBBBPBBBBP,PBPPPP,4-1-4-1
BPPPBB,PPPPBPPPPB,PBBBPP,4-1-4-1
PBBPBB,BBBBPBBBBP,PPPPPB,4-1-4-1
BBPBBB,BBBBPBBBBP,PPPPBB,4-1-4-1
BBPPBP,BBBBPBBBBP,BPPBPB,4-1-4-1
BBPPPB,BBBBPBBBBP,PBBBPB,4-1-4-1
PBBPPB,PPPPBPPPPB,BBBPPP,4-1-4-1
PBPBBP,BBBBPBBBBP,PBBBBB,4-1-4-1
PBPBBB,PPPPBPPPPB,BBPPBB,4-1-4-1
PBPBBB,BBBBPBBBBP,BPBPBB,4-1-4-1
PBPBPP,BBBBPBBBBP,PPPBPB,4-1-4-1
BBPBPB,PPPPBPPPPB,BBPBPP,4-1-4-1
PBBPPB,PPPPBPPPPB,PPBPBP,4-1-4-1
PBPPPB,BBBBPBBBBP,PPBBPB,4-1-4-1
PPPPPB,BBBBPBBBBP,PPBPPB,4-1-4-1
BPBPBP,BBBBPBBBBP,BPPBPB,4-1-4-1
BPBPBB,BBBBPBBBBP,BBBBBB,4-1-4-1
BBPBPB,PPPPBPPPPB,PBPBBB,4-1-4-1
BPBBPB,PPPPBPPPPB,PBBBBP,4-1-4-1
PPBPBP,BBBBPBBBBP,BPPBBB,4-1-4-1
PBPBBP,PPPPBPPPPB,BBBPPB,4-1-4-1
PPPBPB,PPPPBPPPPB,BPBPPB,4-1-4-1
PBBPBB,BBBBPBBBBP,PBBBPB,4-1-4-1
PBPPBB,PPPPBPPPPB,PPPPPP,4-1-4-1
PPPPBP,PPPPBPPPPB,PPBPBB,4-1-4-1
PBBPPB,PPPPBPPPPB,BPBBPP,4-1-4-1
BPPBPB,PPPPBPPPPB,PBBPPB,4-1-4-1
PBPPPB,BBBBPBBBBP,PPPBBP,4-1-4-1
BPBBBP,BBBBPBBBBP,BBPPPP,4-1-4-1
PBPBBP,PPPPBPPPPB,BPPBPB,4-1-4-1
PBPPPB,PPPPBPPPPB,BPPBBB,4-1-4-1
BBBPPB,BBBBPBBBBP,BPPBPP,4-1-4-1
BPBPPB,BBBBPBBBBP,BBPBBP,4-1-4-1
BBPPBB,BBBBPBBBBP,BBBBPB,4-1-4-1
BPBPBP,PPPPBPPPPB,BBPPPB,4-1-4-1
PPBPBP,PPPPBPPPPB,PPPPPP,4-1-4-1
PPBPBP,PPPPBPPPPB,BPPPPP,4-1-4-1
PBBBPB,BBBBPBBBBP,PBPPPB,4-1-4-1
PPPPPB,BBBBPBBBBP,PBPPBB,4-1-4-1
PBPBBP,BBBBPBBBBP,BPBPPP,4-1-4-1
PBPPBB,PPPPBPPPPB,BBBBBP,4-1-4-1
PBBBBB,BBBBPBBBBP,PPBPPB,4-1-4-1
BPPBPB,BBBBPBBBBP,PPBPPP,4-1-4-1
PPBBPB,BBBBPBBBBP,PPBBPB,4-1-4-1
PPBBBP,PPPPBPPPPB,PBBBBB,4-1-4-1
