before,red_2cut,after,pattern
BBBBBB,PPBPP,BBBPBP,PP-B-PP
PBPBPB,PPBPP,PPBBBB,PP-B-PP
BBBPBB,PPBPP,PPPPBB,PP-B-PP
BPPBBB,PPBPP,PPBBBP,PP-B-PP
PPPPBB,PPBPP,PBPBBB,PP-B-PP
PBBPPP,PPBPP,BPPPBB,PP-B-PP
BPBBBP,PPBPP,PBPPBP,PP-B-PP
PBPPPB,PPBPP,BBBPPB,PP-B-PP
PBPBBP,PPBPP,PBBBBP,PP-B-PP
BPPPBB,PPBPP,PBPPPB,PP-B-PP
BPBPPP,PPBPP,BBPPBP,PP-B-PP
PBPPBB,PPBPP,BPBPBB,PP-B-PP
BPBBBB,PPBPP,BBBBPB,PP-B-PP
PBPBBP,PPBPP,BPBBBB,PP-B-PP
BPBBPB,PPBPP,PPBPBB,PP-B-PP
BPBBBP,PPBPP,PPBPPP,PP-B-PP
BPBBPP,PPBPP,BBPPPP,PP-B-PP
PBBPBP,PPBPP,BPBBBP,PP-B-PP
BPBBPB,PPBPP,BPBBBP,PP-B-PP
BBPBBB,PPBPP,PPPBPB,PP-B-PP
BPBPPP,PPBPP,BPBPPP,PP-B-PP
PPPPPP,PPBPP,PPPBBB,PP-B-PP
PBBPPP,PPBPP,BPPPPB,PP-B-PP
PBBPPP,PPBPP,BBPBBP,PP-B-PP
PBPBBB,PPBPP,BBBPBP,PP-B-PP
PPBBPB,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,BBPPPB,PP-B-PP
BBBPPP,PPBPP,PPBBBP,PP-B-PP
BBBBBP,PPBPP,PBBBPB,PP-B-PP
BBPPBB,PPBPP,PPBBBB,PP-B-PP
PPPBBB,PPBPP,PBBPBP,PP-B-PP
BPBBPB,PPBPP,PPPBPB,PP-B-PP
BBPPPP,PPBPP,BBPBBP,PP-B-PP
BBBBPB,PPBPP,BPPBPB,PP-B-PP
PPBBBB,PPBPP,PPBPPP,PP-B-PP
BPPBPP,PPBPP,PBBBPP,PP-B-PP
PPBBPP,PPBPP,PBBBPP,PP-B-PP
BPPPBB,PPBPP,PPPBBP,PP-B-PP
PPBPBB,PPBPP,PBPPPP,PP-B-PP
BBPBBB,PPBPP,PBPPBB,PP-B-PP
BPBPBP,PPBPP,PBBBPB,PP-B-PP
PBPPPB,PPBPP,PPBPBP,PP-B-PP
BBBBBP,PPBPP,BPPBBP,PP-B-PP
BBBPBB,PPBPP,PBBPBB,PP-B-PP
PPPBPB,PPBPP,PBBPPP,PP-B-PP
BPPBBP,PPBPP,PPBPPP,PP-B-PP
PPPBPP,PPBPP,PPBBBB,PP-B-PP
PBPBBB,PPBPP,PPPPBB,PP-B-PP
PBPBPB,PPBPP,BBBBPB,PP-B-PP
BPBBPB,PPBPP,BBBPBP,PP-B-PP
PPPPBB,PPBPP,PPPPBB,PP-B-PP
PBBBPP,PPBPP,PBPPBP,PP-B-PP
BPBBBP,PPBPP,BBPBBP,PP-B-PP
PPBPBB,PPBPP,BBPBPP,PP-B-PP
