before,red_three_cut,after,pattern
BBPBBB,PPPBPPPB,PPBPPB,PPP-B-PPP-B
BPBPBB,PPPBPPPB,BBBPBP,PPP-B-PPP-B
PBBPPB,PPPBPPPB,BBBPBP,PPP-B-PPP-B
BBBBBB,PPPBPPPB,BBPBPP,PPP-B-PPP-B
BBPPBP,PPPBPPPB,BBPPBB,PPP-B-PPP-B
BPPBBP,PPPBPPPB,BBPPPB,PPP-B-PPP-B
PBPBPB,PPPBPPPB,BBPBBP,PPP-B-PPP-B
PPBBBB,PPPBPPPB,BBBBBP,PPP-B-PPP-B
PBPBPB,PPPBPPPB,PPBBBP,PPP-B-PPP-B
PPBPPP,PPPBPPPB,PPPPPP,PPP-B-PPP-B
PPPBBB,PPPBPPPB,PPBBBB,PPP-B-PPP-B
BPBBBB,PPPBPPPB,PPBBBB,PPP-B-PPP-B
BBPBPB,PPPBPPPB,PPPBPB,PPP-B-PPP-B
PBBBPP,PPPBPPPB,BBBBBP,PPP-B-PPP-B
BBPPBP,PPPBPPPB,BBPPPB,PPP-B-PPP-B
BBPBPB,PPPBPPPB,PBPPPP,PPP-B-PPP-B
BBPBPP,PPPBPPPB,PBPBPP,PPP-B-PPP-B
BBPPBP,PPPBPPPB,PBPBBP,PPP-B-PPP-B
BPBBBB,PPPBPPPB,PBBPBP,PPP-B-PPP-B
PPBPPB,PPPBPPPB,BPPPPB,PPP-B-PPP-B
BPPBPP,PPPBPPPB,BPBBBB,PPP-B-PPP-B
PBBPBP,PPPBPPPB,BBPBBP,PPP-B-PPP-B
PBPPPP,PPPBPPPB,BBBBPP,PPP-B-PPP-B
PBBPPP,PPPBPPPB,BPBBPP,PPP-B-PPP-B
PBBBBB,PPPBPPPB,PBBPBP,PPP-B-PPP-B
PPBBPP,PPPBPPPB,BBBBPP,PPP-B-PPP-B
PPPPBB,PPPBPPPB,BBBBPB,PPP-B-PPP-B
PPPPBB,PPPBPPPB,PBPPPP,PPP-B-PPP-B
BBBPBB,PPPBPPPB,PBBPPB,PPP-B-PPP-B
BBBPPP,PPPBPPPB,PPPPPP,PPP-B-PPP-B
BPBPPB,PPPBPPPB,PBPPPP,PPP-B-PPP-B
PPPPBP,PPPBPPPB,BBPBBP,PPP-B-PPP-B
BBBBBP,PPPBPPPB,PBPBPB,PPP-B-PPP-B
PPPBPB,PPPBPPPB,BBBPPP,PPP-B-PPP-B
BBBBBP,PPPBPPPB,BBBPBP,PPP-B-PPP-B
PBPBPP,PPPBPPPB,PPBBPP,PPP-B-PPP-B
PPPBBB,PPPBPPPB,PPBBPP,PPP-B-PPP-B
PBPPBB,PPPBPPPB,PBPPPB,PPP-B-PPP-B
BPBBPB,PPPBPPPB,BBPBPB,PPP-B-PPP-B
PBPBPB,PPPBPPPB,PBPBPB,PPP-B-PPP-B
PBPPBB,PPPBPPPB,PPBBPB,PPP-B-PPP-B
PPBBPP,PPPBPPPB,PBBBPP,PPP-B-PPP-B
PBBPPB,PPPBPPPB,PPBBPB,PPP-B-PPP-B
PPBBBB,PPPBPPPB,BPPBPB,PPP-B-PPP-B
PBBPPB,PPPBPPPB,PBBBBB,PPP-B-PPP-B
BPPBPB,PPPBPPPB,PPPPPP,PPP-B-PPP-B
BPPBPB,PPPBPPPB,BBPPPP,PPP-B-PPP-B
PPBPBB,PPPBPPPB,PPBPBP,PPP-B-PPP-B
BPPBBB,PPPBPPPB,PBBPPP,PPP-B-PPP-B
PBBPPB,PPPBPPPB,BPPPBB,PPP-B-PPP-B
BBBPPB,PPPBPPPB,BBPPBP,PPP-B-PPP-B
BBPBPB,PPPBPPPB,BBBBPB,PPP-B-PPP-B
BBBBPB,PPPBPPPB,BBBPBB,PPP-B-PPP-B
PBBPBP,PPPBPPPB,PPBPBP,PPP-B-PPP-B
BPPPPP,PPPBPPPB,PBPBPP,PPP-B-PPP-B
BBPBBB,PPPBPPPB,PBPPPB,PPP-B-PPP-B
BPPBPB,PPPBPPPB,BBPBPB,PPP-B-PPP-B
BBPPBB,PPPBPPPB,PPPBBP,PPP-B-PPP-B
BPPBBP,PPPBPPPB,BBPBPP,PPP-B-PPP-B
PBPBPP,PPPBPPPB,BBPBPP,PPP-B-PPP-B
PBPBBB,PPPBPPPB,BPBBBB,PPP-B-PPP-B
PBPPBP,PPPBPPPB,PBPBBB,PPP-B-PPP-B
BPPBBP,PPPBPPPB,PPPPBB,PPP-B-PPP-B
PPBPPB,PPPBPPPB,PBBPBB,PPP-B-PPP-B
BBPBBP,PPPBPPPB,PBBBPP,PPP-B-PPP-B
BBBPPP,PPPBPPPB,PPPBBB,PPP-B-PPP-B
PPPPBB,PPPBPPPB,BPBBPB,PPP-B-PPP-B
BPPBBP,PPPBPPPB,BBPBBP,PPP-B-PPP-B
PBBBBP,PPPBPPPB,PPPPBP,PPP-B-PPP-B
PBBBBP,PPPBPPPB,PBBBPB,PPP-B-PPP-B
BBBPBP,PPPBPPPB,BBPPBP,PPP-B-PPP-B
BPBPPP,PPPBPPPB,PPPPPB,PPP-B-PPP-B
BPPPBP,PPPBPPPB,BPPPBB,PPP-B-PPP-B
BBPBPB,PPPBPPPB,PPBPBP,PPP-B-PPP-B
BPBPPB,PPPBPPPB,BPBPPB,PPP-B-PPP-B
PBBPPB,PPPBPPPB,PPPBBB,PPP-B-PPP-B
BBBPBB,PPPBPPPB,BPBBPB,PPP-B-PPP-B
BPBBBP,PPPBPPPB,PPPPPP,PPP-B-PPP-B
BPPBBB,PPPBPPPB,BPBBPB,PPP-B-PPP-B
PPBPPP,PPPBPPPB,BBPBPP,PPP-B-PPP-B
BPPBBP,PPPBPPPB,BPPPBP,PPP-B-PPP-B
PBBBBB,PPPBPPPB,BPBBBB,PPP-B-PPP-B
BPPBPB,PPPBPPPB,PPBPPB,PPP-B-PPP-B
BBBPBB,PPPBPPPB,BBPBPB,PPP-B-PPP-B
BBBBPP,PPPBPPPB,BBBBBB,PPP-B-PPP-B
BBPBBP,PPPBPPPB,BBBBBB,PPP-B-PPP-B
BBPPPP,PPPBPPPB,PPPBPP,PPP-B-PPP-B
PBBPPP,PPPBPPPB,PPBPBB,PPP-B-PPP-B
BPBPPP,PPPBPPPB,PPBBBB,PPP-B-PPP-B
PBBPBB,PPPBPPPB,BPPBPB,PPP-B-PPP-B
PBPBPP,PPPBPPPB,BBBBBP,PPP-B-PPP-B
BPBPBP,PPPBPPPB,BPPPPB,PPP-B-PPP-B
BBBBBP,PPPBPPPB,PBBBBB,PPP-B-PPP-B
BBBBBB,PPPBPPPB,PPPPPB,PPP-B-PPP-B
PPBPPP,PPPBPPPB,BPBPBP,PPP-B-PPP-B
PBPPBB,PPPBPPPB,BPPBPB,PPP-B-PPP-B
BBPBBP,PPPBPPPB,PBPBBP,PPP-B-PPP-B
BBPBBB,PPPBPPPB,PPPBBP,PPP-B-PPP-B
BBBBBP,PPPBPPPB,PPPBPP,PPP-B-PPP-B
PPPBPP,PPPBPPPB,BPPPPB,PPP-B-PPP-B
BPBBBP,PPPBPPPB,BBBBPB,PPP-B-PPP-B
PPBPPB,PPPBPPPB,BPPPPP,PPP-B-PPP-B
BBBPBP,PPPBPPPB,BBPBPB,PPP-B-PPP-B
BBPPBP,PPPBPPPB,BBBBBP,PPP-B-PPP-B
PBBPBB,PPPBPPPB,BBBBPB,PPP-B-PPP-B
PBBBBB,PPPBPPPB,PBBBPB,PPP-B-PPP-B
PPPBBB,PPPBPPPB,PPPBBB,PPP-B-PPP-B
PPPBBB,PPPBPPPB,BBBBPP,PPP-B-PPP-B
BBPBPP,PPPBPPPB,BPBBPB,PPP-B-PPP-B
BPPPBP,PPPBPPPB,BPBPPP,PPP-B-PPP-B
BPBPPB,PPPBPPPB,PBBBPP,PPP-B-PPP-B
