before,red_not_tidt,after,length
PPPPPP,BBBBPBBPBPBPBBB,PPPPBB,15
PBPPPP,BPBPBBBBBBBBPBPBBBBPBB,PPBPPP,22
BPBPPP,BBBPBBPBBBPBB,PPPPPP,13
BBPBPP,BBBBBPBPBBBPBBB,PPPBPP,15
BBPBPP,BPBBBBBBBPB,PPPPPB,11
BPPPPP,BBBPBPBPBPBPBBPBPBB,PPPBPP,19
PPPPPP,BBBBPBPBBBPB,PPBPBB,12
BPBBPP,BBBPBPBBPBPBB,PPPPPB,13
PPPBPP,BPBBBBPBPBBPB,PPBPPP,13
PPPPPP,BBBBBBBPBBBBPBB,PPPPBP,15
BBPBPP,BBBBBPBPBBPB,PPBPPB,12
BPPPPP,BBBBBBPBBB,PPPBBB,10
PBPBPP,BBPBBBBBBBB,PPBBPB,11
PBBPPP,BBBBPBBBBPBBBBBB,PPPBBB,16
BPPPPP,BPBPBBPBBPB,PPBBPB,11
BBPBPP,BBPBPBPBBPBBB,PPPBPB,13
PBBPPP,BPBBBPBPBPB,PPPBBB,11
BBBBPP,BPBPBBPBBPB,PPBPPP,11
PBBBPP,BBBBBPBPBPBB,PPPPPP,12
BBPPPP,BPBPBBBPBPBPBBBPBBBBBPB,PPBPPB,23
PBPPPP,BBPBBPBPBBBPBBB,PPBBPB,15
BPPBPP,BBPBBPBPBB,PPBPBB,10
PBPPPP,BPBPBBBPBBBBBBBB,PPPBPP,16
BPBBPP,BBPBBBPBBBPB,PPBBPP,12
BBBPPP,BBPBBPBBBB,PPPBPP,10
BBBBPP,BPBPBBPBPBB,PPPBBP,11
BBBBPP,BBBPBPBBBBBBBPBPBBB,PPPBBB,19
PPBBPP,BBPBPBBPBPBPBPBPB,PPBBPP,17
PPBBPP,BBBBBBBBBBPB,PPPPBP,12
PPBBPP,BBBBPBPBBBPBB,PPPPPP,13
BBPBPP,BBBPBPBBPBBBBBPBBPBBBBBBB,PPBBBP,25
BBPBPP,BBBBPBBPBPB,PPBBPP,11
BPPBPP,BBBPBPBBBPB,PPPPBB,11
PBPBPP,BPBBBPBBBBB,PPPPPB,11
